id,lat,lng,label,population,risk
182,2.7456,101.7147,Kuala Lumpur,8711663,0.00244826672473792
221,11.5467,104.8442,Phnom Penh,12169535,0.0001852747279243824
348,34.4478,108.7539,Xi'an,22353249,0.03995305700503152
358,45.6233,126.2503,Harbin,12100114,0.04181903445011776
371,22.7947,100.9592,Simao,2213550,0.0005028868457255816
376,25.935,119.6633,Fuzhou,10913454,0.04577596171203243
391,36.2661,120.3744,Qingdao,8200069,0.03598289719517759
399,21.9731,100.7631,Jinghong,1382281,0.000304379569861937
407,29.8267,121.4619,Ningbo,6757958,0.0640387025543929
412,31.1433,121.8053,Shanghai,20308438,0.09235918745755553
414,24.4014,98.5322,Mangshi,1327739,0.0024614992726771823
420,40.08,116.5844,Beijing,28331507,0.1667467787125764
430,24.5442,118.1278,Xiamen,8240158,0.05064602530143606
455,23.3925,113.2989,Guangzhou,39293380,0.10127881805493286
458,24.9922,102.7436,Kunming,11115277,0.07425525148304724
460,26.5386,106.8008,Guiyang,7252992,0.04687437276744578
461,25.2181,110.0392,Guilin,4941136,0.07987964653208765
473,22.3089,113.9147,Hong Kong,36745880,0.0007675640075760542
475,19.9347,110.4589,Haikou,5945540,0.15098523716880774
538,13.6858,100.7489,Bangkok,23541053,0.00013233977197365564
663,47.1219,51.8214,Atyrau,350048,0.0001058699119014535
1129,10.8189,106.6519,Ho Chi Minh City,16228217,0.0003837820037880271
1314,-6.1256,106.6558,Jakarta,36994844,0.0002249747538390081
1612,-33.9461,151.1772,Sydney (AU),4670715,0.00014557231991291797
2803,37.4692,126.4506,Seoul,27019922,0.0001058699119014535
2821,1.3592,103.9894,Singapore,4091180,0.00023820968387510918
3127,35.7647,140.3864,Tokyo Narita,8512151,0.00013233977197365564
