id,lat,lng,label,population,risk
186,5.9372,116.0531,Kota Kinabalu,1537665,0.00014314873226327698
312,35.2931,116.3467,Jining,25722140,0.025403472090446282
315,30.5786,103.9472,Chengdu,62854385,0.10493384901249203
327,36.6469,119.1186,Weifang,9193768,0.05425353602128133
348,34.4478,108.7539,Xi'an,22353249,0.09945013488009087
358,45.6233,126.2503,Harbin,12100114,0.0858069172418318
412,31.1433,121.8053,Shanghai,20308438,0.1445090901934758
420,40.08,116.5844,Beijing,28331507,0.11720063218753758
430,24.5442,118.1278,Xiamen,8240158,0.0510271744481916
440,38.2806,114.6972,Shijiazhuang,24520869,0.038039139451892814
445,31.7419,118.8619,Nanjing,13651608,0.07276382542198281
455,23.3925,113.2989,Guangzhou,39293380,0.043710049757462885
456,28.1936,113.2178,Changsha,18325936,0.07100749540765831
457,30.2294,120.4344,Hangzhou,12817942,0.00020921791155626167
458,24.9922,102.7436,Kunming,11115277,0.00021472408942764968
460,26.5386,106.8008,Guiyang,7252992,0.00020371272471760796
473,22.3089,113.9147,Hong Kong,36745880,0.048824879703463095
475,19.9347,110.4589,Haikou,5945540,0.03869432209385306
538,13.6858,100.7489,Bangkok,23541053,0.00010460945129449796
1129,10.8189,106.6519,Ho Chi Minh City,16228217,0.00013213736755323524
1564,55.6203,12.6503,Copenhagen,2357021,0.00011011463813315173
1612,-33.9461,151.1772,Sydney (AU),4670715,0.00026427572613920466
2821,1.3592,103.9894,Singapore,4091180,0.00016517245271609472
3046,-37.0097,174.7917,Auckland,1473397,0.00022022927626630352
