id,lat,lng,label,population,risk
182,2.7456,101.7147,Kuala Lumpur,8711663,0.00010525859114884056
221,11.5467,104.8442,Phnom Penh,12169535,0.006805617309838896
315,30.5786,103.9472,Chengdu,62854385,0.012149128796739895
316,34.2294,117.2458,Xuzhou,20796535,0.0039373242535060025
322,39.1244,117.3461,Tianjin,14241195,0.039445607594445264
325,29.7194,106.6419,Chongqing,16205267,0.009118014060750737
328,37.1872,122.2289,Weihai,2392348,0.001355202732824526
343,36.5167,103.6167,Lanzhou,6850245,0.00036347068400910463
344,27.7069,118.0031,Wuyishan,6414192,0.00011183717908578873
347,39.7925,106.7994,Wuhai,1112404,0.002927500939844264
348,34.4478,108.7539,Xi'an,22353249,0.032347240457057426
350,38.4933,106.0119,Yinchuan,3423935,0.0028057958788530518
353,32.1506,112.2908,Xiangyang,11750932,0.0057119159638431075
358,45.6233,126.2503,Harbin,12100114,0.010399206939186056
363,23.4275,116.7625,Shantou,16909762,0.00537640472262516
370,29.9347,122.3619,Zhoushan,1484739,0.00019900420934889555
373,18.3028,109.4122,Sanya,2888131,0.0017762365053410531
376,25.935,119.6633,Fuzhou,10913454,0.013834908681809952
378,37.4017,121.3717,Yantai,6160152,0.0007335199559551571
379,43.9072,87.4742,Urumqi,5237049,0.004766234622665159
389,24.7956,118.5881,Quanzhou,9437088,0.00023847632904941957
391,36.2661,120.3744,Qingdao,8200069,0.0008766055757611584
394,38.9656,121.5386,Dalian,5749540,0.020068183216385423
402,30.5569,111.4797,Yichang,11664371,0.01232839694623853
403,29.345,120.0325,Yiwu,6139309,0.0004095210956071591
407,29.8267,121.4619,Ningbo,6757958,0.025771876093327054
412,31.1433,121.8053,Shanghai,20308438,0.052435159437253694
413,41.6397,123.4833,Shenyang,13195977,0.024584428833091795
420,40.08,116.5844,Beijing,28331507,0.17409091358327347
430,24.5442,118.1278,Xiamen,8240158,0.017201534955056476
438,31.9911,116.9892,Hefei,14358834,0.03554939995960432
440,38.2806,114.6972,Shijiazhuang,24520869,0.0392992326806708
445,31.7419,118.8619,Nanjing,13651608,0.048091603382109015
451,21.5394,109.2939,Beihai,5621760,0.00017433435656563122
453,37.7469,112.6283,Taiyuan,11233266,0.07496704840729786
455,23.3925,113.2989,Guangzhou,39293380,0.013492818852655056
456,28.1936,113.2178,Changsha,18325936,0.01317704337524795
457,30.2294,120.4344,Hangzhou,12817942,0.023822949730384898
458,24.9922,102.7436,Kunming,11115277,0.001980174803662368
460,26.5386,106.8008,Guiyang,7252992,0.01043374467387474
461,25.2181,110.0392,Guilin,4941136,0.0014785522927802648
465,27.9131,120.8522,Wenzhou,9918949,0.0005937236301176299
470,22.6083,108.1725,Nanning,8261012,0.0006907585422861593
472,28.8639,115.9022,Nanchang,10823928,0.05872106326740359
473,22.3089,113.9147,Hong Kong,36745880,0.020837885702033213
475,19.9347,110.4589,Haikou,5945540,0.012527401451626844
476,36.8572,117.2161,Jinan,24300017,0.00018420223847105343
477,30.7839,114.2081,Wuhan,30649978,0.0013190202031318936
481,34.5194,113.8411,Zhengzhou,32471775,0.11819538225457317
483,43.9961,125.6853,Changchun,16217434,0.0009752852829336332
484,42.16,118.8408,Chifeng,9056162,0.017525533519365057
538,13.6858,100.7489,Bangkok,23541053,0.001970306921756946
549,8.1122,98.3053,Phuket,711102,0.0002105168862582636
791,51.4775,-0.4614,London (UK),17233070,0.00038320644781994896
1137,11.9981,109.2192,Nha Trang,1733076,0.010601500442503423
1535,49.0097,2.5478,Paris,13528665,0.00012006056202668269
1612,-33.9461,151.1772,Sydney (AU),4670715,0.0004966884219096835
1648,-37.6733,144.8433,Melbourne (AU),4144035,0.00039307462576478866
1890,55.4089,37.9064,Moscow,24597359,0.00014801970877842107
2393,33.9425,-118.4081,Los Angeles,19797290,0.00017926844553805112
2518,40.6397,-73.7789,New York,16714154,0.00029439462255289635
2766,49.1939,-123.1844,Vancouver,2794226,0.0002713695647735778
2801,33.5114,126.4931,Jeju,527344,0.0017959725651913148
2803,37.4692,126.4506,Seoul,27019922,0.0008733162817926844
2821,1.3592,103.9894,Singapore,4091180,0.0010558740212992094
2825,25.0778,121.2328,Taipei,10434115,0.00021380618022673767
3046,-37.0097,174.7917,Auckland,1473397,0.00019571491538042144
3106,35.5522,139.7797,Tokyo,32212732,0.0006249720708378428
3127,35.7647,140.3864,Tokyo Narita,8512151,0.00046708448015399934
3141,34.8583,136.8053,Nagoya,11834566,0.00010361379614489476
3151,34.4272,135.2442,Osaka,19601735,0.00036347068400910463
3161,43.0614,74.4775,Bishkek,2096218,0.00022202956316763159
3181,25.2528,55.3644,Dubai,1501658,0.00018584703347499925
