id,lat,lng,label,population,risk
11,-8.8583,13.2311,Luanda,3965845,0.00030413111206735184
43,36.6942,3.2147,Algiers,8395497,0.0012367371149173392
52,30.1219,31.4056,Cairo,48049701,0.0009845494025294867
69,23.8433,90.3978,Dhaka,57695473,0.00034935190729376613
73,25.2611,51.565,Doha,698380,0.0003719398943969116
103,5.6053,-0.1667,Accra,9477081,0.00015690583898434995
105,24.9067,67.1608,Karachi,16780358,0.0004900338277356228
108,33.6167,73.0992,Islamabad,15343183,0.00039927852241048464
115,31.5217,74.4036,Lahore,16428675,0.00023524671399335507
146,44.5722,26.1022,Bucharest,5122809,0.00015833999868835816
151,31.7225,35.9933,Amman,7093425,0.00011975218200905912
173,5.2972,100.2767,Penang,2621408,0.0003346069694754043
182,2.7456,101.7147,Kuala Lumpur,8711663,0.0047101331229116245
183,6.3386,99.7322,Langkawi,116526,0.00017375719533860087
186,5.9372,116.0531,Kota Kinabalu,1537665,0.0013534417095721655
200,39.2236,125.67,Pyongyang,22431650,0.000265857026394639
216,-6.8781,39.2025,Dar Es Salaam,5846361,0.000181779512569601
221,11.5467,104.8442,Phnom Penh,12169535,0.0008799006942312223
222,13.4106,103.8128,Siem Reap,4814927,0.0010526270867783714
228,8.9778,38.7994,Addis Ababa,20326311,0.00037471857176468157
247,26.4711,49.7978,Dammam,251063,0.00031345314207626703
256,24.9578,46.6989,Riyadh,1668604,0.0002181712686727645
262,21.6794,39.1567,Jeddah,1257462,0.00020772880996642736
276,47.4647,8.5492,Zurich,2620529,0.00048039808285439803
279,46.2381,6.1089,Geneva,1102297,0.000584508987314013
296,-33.3931,-70.7858,Santiago (CL),10366280,0.0001863957146210736
310,41.6992,86.1303,Korla,1069639,0.0009365947509554258
312,35.2931,116.3467,Jining,25722140,0.00030941957295070534
313,46.1947,122.0083,Ulanhot,3271330,0.002497093011662137
314,49.2086,119.8167,Hailar,851974,0.003938959519057212
315,30.5786,103.9472,Chengdu,62854385,0.049504935046837034
317,40.9264,107.7389,Bayannur,1447780,0.0017441601109130006
319,41.5414,120.4339,Chaoyang,3891636,0.0004194463680382931
321,42.8408,93.6708,Hami,560104,0.0007406529254262356
322,39.1244,117.3461,Tianjin,14241195,0.00024239638772991144
323,28.8003,104.545,Yibin,52581734,0.0008889538142536746
325,29.7194,106.6419,Chongqing,16205267,0.02733110585891362
327,36.6469,119.1186,Weifang,9193768,0.0002806915901189708
328,37.1872,122.2289,Weihai,2392348,0.003430684996283454
329,46.75,125.1392,Daqing,6192883,0.003382371800749822
330,27.8111,107.2461,Zunyi,7545282,0.0019424772568974048
331,23.72,106.9603,Baise,3943002,0.00015054176235655947
334,30.8039,108.4272,Wanzhou,6879185,0.0005733942617086568
335,52.9164,122.4222,Mohe,253739,0.00013351113805609214
336,46.8433,130.4653,Jiamusi,4290598,0.0029694687692183967
337,26.2572,105.8728,Anshun,4959935,0.0007039474463836242
338,27.8833,109.3083,Tongren,3899266,0.0010950243836168922
339,42.065,127.6025,Baishan,3207170,0.0007303001006930067
340,40.0922,94.6817,Dunhuang,506179,0.00014265389205165256
341,27.8033,114.3078,Yichun (Jiangxi),6299510,0.0002825291067355352
343,36.5167,103.6167,Lanzhou,6850245,0.008161210045722088
344,27.7069,118.0031,Wuyishan,6414192,0.0017040036876036
345,23.4567,111.2481,Wuzhou,11705775,0.0004273790593633233
346,31.4947,120.4294,Wuxi,7494542,0.002932673656202678
347,39.7925,106.7994,Wuhai,1112404,0.0020946324469041885
348,34.4478,108.7539,Xi'an,22353249,0.02300008341278467
349,39.4922,109.8631,Ordos,1651796,0.0037313651640840154
351,41.2628,80.2919,Aksu,1817143,0.000847363239307404
352,37.5078,118.7894,Dongying,10565224,0.0013351562015810447
353,32.1506,112.2908,Xiangyang,11750932,0.003056011237471757
354,25.0536,99.1681,Baoshan,2095138,0.000360063267919428
355,40.5606,109.9964,Baotou,3343659,0.004744015103566343
356,43.4233,112.0911,Erenhot,360972,0.0009738380419038248
357,45.2925,131.1919,Jixi,2822034,0.0009806054754441717
358,45.6233,126.2503,Harbin,12100114,0.018511527689859614
359,49.5667,117.3306,Manzhouli,212335,0.0010398989415899282
360,30.3211,109.4853,Enshi,3774134,0.00018231732447538868
361,36.6367,109.5533,Yan'an,3357246,0.001680115995789678
362,31.9194,119.7783,Changzhou,6991084,0.001859251277917602
363,23.4275,116.7625,Shantou,16909762,0.0034794015487296425
366,36.0789,106.2164,Guyuan,5702804,0.0007842602930024253
367,32.39,105.6931,Guangyuan,7423759,0.0015802627494219644
368,43.5575,122.2,Tongliao,4930093,0.0015185491418008702
370,29.9347,122.3619,Zhoushan,1484739,0.0008622874450719824
371,22.7947,100.9592,Simao,2213550,0.00016927544828035975
372,29.2981,90.9122,Lhasa,1019683,0.0011007161933456638
373,18.3028,109.4122,Sanya,2888131,0.032595675460576616
374,47.7514,129.0178,Yichun (Heilongjiang),2862117,0.0010285601270182325
375,26.6742,100.2436,Lijiang,1495973,0.0021903176691531094
376,25.935,119.6633,Fuzhou,10913454,0.010438787262980559
378,37.4017,121.3717,Yantai,6160152,0.007859947253062752
379,43.9072,87.4742,Urumqi,5237049,0.01434081721402882
380,34.5719,118.8739,Lianyungang,7795627,0.001789246443079045
381,34.7414,112.3894,Luoyang,11740472,0.0018804499263368629
382,35.0494,118.4119,Linyi,12843250,0.002836360988074861
383,43.9553,81.3289,Yining,1687819,0.0005840159883612103
386,37.0381,79.865,Hotan,1394729,0.000670468822641462
387,38.27,109.7306,Yulin,3211960,0.002422247893872907
388,25.6503,100.3194,Dali,3767440,0.0016983118698076904
389,24.7956,118.5881,Quanzhou,9437088,0.002749908161861747
391,36.2661,120.3744,Qingdao,8200069,0.010404770827332613
392,38.5419,102.3486,Jinchang,2050162,0.0005151315983543519
393,29.5147,108.8317,Qianjiang,3949506,0.00025330814108527453
394,38.9656,121.5386,Dalian,5749540,0.01354844496982229
395,32.5631,119.7189,Yangzhou,8985870,0.0009616477005540316
397,24.2078,109.3914,Liuzhou,8005244,0.001510571637522855
398,28.8528,105.3933,Luzhou,9659760,0.0008108818492311322
399,21.9731,100.7631,Jinghong,1382281,0.001158396231841196
400,27.9892,102.1844,Xichang,4562370,0.0007602829591482563
401,47.31,119.9942,Aershan,489989,0.00019379058597317783
402,30.5569,111.4797,Yichang,11664371,0.0027201941972586838
403,29.345,120.0325,Yiwu,6139309,0.0016114108656618974
404,29.1044,110.4431,Zhangjiajie,2982561,0.0011276066595608336
405,31.4289,104.7408,Mianyang,8917604,0.002863430722236248
406,41.1056,122.8561,Anshan,8750351,0.0009540287321684492
407,29.8267,121.4619,Ningbo,6757958,0.007382596749495448
410,38.8075,100.6608,Zhangye,1204657,0.00027679247598664055
412,31.1433,121.8053,Shanghai,20308438,0.06713190102746097
413,41.6397,123.4833,Shenyang,13195977,0.008947307855341077
414,24.4014,98.5322,Mangshi,1327739,0.0006495838971616495
415,43.0303,89.0972,Turpan,816835,0.00021221055702466845
417,26.54,101.7981,Panzhihua,4045241,0.00011769058449329329
418,30.7939,106.1597,Nanchong,12341109,0.0009611547016012287
419,27.3258,103.7547,Zhaotong,7135359,0.0003370719239037263
421,24.9378,98.4856,Tengchong,1002556,0.0008382204853118436
422,30.7403,117.6867,Chizhou,4495819,0.0008481699531325166
423,28.9672,118.9,Quzhou,3373956,0.0009655019936662383
425,39.8572,98.3414,Jiayuguan,1106084,0.00037996221162791183
426,50.3781,124.1156,Jiagedaqi,850410,0.0003808137464731474
427,26.8578,114.7364,Ji'an,5652245,0.0009681462241079152
428,40.0256,124.2869,Dandong,3017061,0.0002515602584418184
429,40.8514,111.8242,Hohhot,4401373,0.010290620821079215
430,24.5442,118.1278,Xiamen,8240158,0.016750964400525044
431,45.4661,84.9539,Karamay,5802370,0.000635600860215415
432,32.9811,112.6156,Nanyang,12735325,0.001184255895264914
433,50.1717,127.3094,Heihe,1020239,0.0002827980167219981
434,28.5653,121.4303,Taizhou,5349916,0.0009702974636639275
435,29.3392,117.1764,Jingdezhen,4398562,0.0009805606544240485
436,44.5242,129.5689,Mudanjiang,3143833,0.002187135634872783
437,25.0856,104.9594,Xingyi,7357766,0.0009765270852984863
438,31.9911,116.9892,Hefei,14358834,0.004190564598519153
439,36.5286,102.0403,Xining,3472426,0.004640666099978854
441,42.8828,129.4514,Yanji,1789684,0.0016246320098031429
442,33.4261,120.2031,Yancheng,6283873,0.0019834403940319177
443,29.7328,118.2572,Huangshan,1892668,0.0008259853229419271
445,31.7419,118.8619,Nanjing,13651608,0.00951406913043548
447,24.2642,116.0983,Meixian,6486268,0.0003157388285583725
449,33.7875,119.1278,Huai'an,10190694,0.0013468087310250505
450,25.8514,114.7753,Ganzhou,7056603,0.0022829104910948115
451,21.5394,109.2939,Beihai,5621760,0.0012284010666797527
452,27.3006,105.3017,Bijie,6594987,0.0014472446022515365
453,37.7469,112.6283,Taiyuan,11233266,0.005788395784147375
454,32.8808,115.7336,Fuyang,25324297,0.0009977705466707322
455,23.3925,113.2989,Guangzhou,39293380,0.04943116554479225
456,28.1936,113.2178,Changsha,18325936,0.01839361302446712
457,30.2294,120.4344,Hangzhou,12817942,0.028431284240353495
458,24.9922,102.7436,Kunming,11115277,0.02240580423366334
460,26.5386,106.8008,Guiyang,7252992,0.011545912353974137
461,25.2181,110.0392,Guilin,4941136,0.004124862242792622
462,34.5597,105.86,Tianshui,8609117,0.0007283281290832108
463,27.4414,109.7003,Huaihua,5255897,0.0011021055400966867
465,27.9131,120.8522,Wenzhou,9918949,0.005884708452275189
466,37.5728,105.1514,Zhongwei,2009788,0.0001778803984372708
467,25.6756,116.7456,Longyan,5754349,0.0005303247060382548
468,43.9156,115.9633,Xilinhot,881461,0.00176612065213725
