id,lat,lng,label,population,risk
182,2.7456,101.7147,Kuala Lumpur,8711663,0.001304482560213141
186,5.9372,116.0531,Kota Kinabalu,1537665,0.0004172813015384848
221,11.5467,104.8442,Phnom Penh,12169535,0.000505969499645444
222,13.4106,103.8128,Siem Reap,4814927,0.00011038173319431167
312,35.2931,116.3467,Jining,25722140,0.0016442413642492285
315,30.5786,103.9472,Chengdu,62854385,0.028641510883518125
316,34.2294,117.2458,Xuzhou,20796535,0.0001894992979693441
319,41.5414,120.4339,Chaoyang,3891636,0.0016646588225488613
322,39.1244,117.3461,Tianjin,14241195,0.0286683087831804
325,29.7194,106.6419,Chongqing,16205267,0.014534021913951816
327,36.6469,119.1186,Weifang,9193768,0.005454644781935743
328,37.1872,122.2289,Weihai,2392348,0.013594181942255442
339,42.065,127.6025,Baishan,3207170,0.005545256233032371
343,36.5167,103.6167,Lanzhou,6850245,0.002800378533577206
346,31.4947,120.4294,Wuxi,7494542,0.013284411229850916
348,34.4478,108.7539,Xi'an,22353249,0.029792224640362262
349,39.4922,109.8631,Ordos,1651796,0.002119265743384338
355,40.5606,109.9964,Baotou,3343659,0.00018918025006039936
362,31.9194,119.7783,Changzhou,6991084,0.003798280515931089
363,23.4275,116.7625,Shantou,16909762,0.0027758137970054697
368,43.5575,122.2,Tongliao,4930093,0.0035341394193375312
373,18.3028,109.4122,Sanya,2888131,0.031070547339307003
375,26.6742,100.2436,Lijiang,1495973,0.00035634803197256087
376,25.935,119.6633,Fuzhou,10913454,0.005149659386197179
378,37.4017,121.3717,Yantai,6160152,0.01851223109452032
379,43.9072,87.4742,Urumqi,5237049,0.003655996575923638
380,34.5719,118.8739,Lianyungang,7795627,0.0037724397025716335
382,35.0494,118.4119,Linyi,12843250,0.005251427514938339
388,25.6503,100.3194,Dali,3767440,0.00011484805937536008
389,24.7956,118.5881,Quanzhou,9437088,0.001303206426001392
391,36.2661,120.3744,Qingdao,8200069,0.040510100791082825
394,38.9656,121.5386,Dalian,5749540,0.004302016909910039
395,32.5631,119.7189,Yangzhou,8985870,0.005697101783411719
399,21.9731,100.7631,Jinghong,1382281,0.00013813671915937682
402,30.5569,111.4797,Yichang,11664371,0.00015855412003497988
403,29.345,120.0325,Yiwu,6139309,0.0012936357926694652
405,31.4289,104.7408,Mianyang,8917604,0.0003892073250885045
407,29.8267,121.4619,Ningbo,6757958,0.018327198122732025
412,31.1433,121.8053,Shanghai,20308438,0.10499473391934802
420,40.08,116.5844,Beijing,28331507,0.08099244659620057
429,40.8514,111.8242,Hohhot,4401373,0.007627187219311629
430,24.5442,118.1278,Xiamen,8240158,0.020617778811452568
436,44.5242,129.5689,Mudanjiang,3143833,0.0010361861559662823
438,31.9911,116.9892,Hefei,14358834,0.014520622992832704
439,36.5286,102.0403,Xining,3472426,0.0005005461445856208
440,38.2806,114.6972,Shijiazhuang,24520869,0.019475040620667742
441,42.8828,129.4514,Yanji,1789684,0.0047419499671956964
442,33.4261,120.2031,Yancheng,6283873,0.0018777657707871368
445,31.7419,118.8619,Nanjing,13651608,0.04434762104149248
449,33.7875,119.1278,Huai'an,10190694,0.0014550611141888289
451,21.5394,109.2939,Beihai,5621760,0.0017558992316552894
453,37.7469,112.6283,Taiyuan,11233266,0.015619974113442832
455,23.3925,113.2989,Guangzhou,39293380,0.043003898746800766
456,28.1936,113.2178,Changsha,18325936,0.014611225306121238
457,30.2294,120.4344,Hangzhou,12817942,0.03884129463283783
458,24.9922,102.7436,Kunming,11115277,0.010617065050858179
460,26.5386,106.8008,Guiyang,7252992,0.003687260744342918
461,25.2181,110.0392,Guilin,4941136,0.002019092681915813
465,27.9131,120.8522,Wenzhou,9918949,0.00864072134329918
469,21.2153,110.3583,Zhanjiang,11700739,0.001060749424525416
470,22.6083,108.1725,Nanning,8261012,0.01095778094119707
472,28.8639,115.9022,Nanchang,10823928,0.010902590074599913
473,22.3089,113.9147,Hong Kong,36745880,0.061026430464279136
475,19.9347,110.4589,Haikou,5945540,0.0306618796996457
476,36.8572,117.2161,Jinan,24300017,0.02594545268968156
477,30.7839,114.2081,Wuhan,30649978,0.019194939009409856
481,34.5194,113.8411,Zhengzhou,32471775,0.02225723485903584
531,18.7714,98.9628,Chiang Mai,1497016,0.00026638369965385235
538,13.6858,100.7489,Bangkok,23541053,0.006447442457138747
549,8.1122,98.3053,Phuket,711102,0.0022794149306919523
596,14.5086,121.0194,Manila,26922690,0.0009526008544216287
615,10.3075,123.9794,Cebu,4439843,0.0001339893834632435
626,-26.1392,28.2461,Johannesburg,13748925,0.00010400129183168387
730,52.4606,9.6894,Hannover,2991682,0.00039463068014832783
733,50.0331,8.5706,Frankfurt,6970523,0.000408348649176388
748,48.3539,11.7861,Munich,4802084,0.00046449660207634836
750,51.2894,6.7667,Duesseldorf,5382885,0.00010495837813448841
758,7.1803,79.8853,Colombo,9032691,0.00011165780998203132
791,51.4775,-0.4614,London (UK),17233070,0.0004708770434389762
827,15.1189,145.7294,Saipan,118045,0.00011676217455693948
1099,28.5664,77.1031,Delhi,62390146,0.00032635988291697165
1125,21.2211,105.8072,Hanoi,20834462,0.00019970802711916048
1129,10.8189,106.6519,Ho Chi Minh City,16228217,0.0004804477341949328
1137,11.9981,109.2192,Nha Trang,1733076,0.0017833351697114095
1238,-8.7481,115.1672,Denpasar,5493498,0.0009356926360002397
1314,-6.1256,106.6558,Jakarta,36994844,0.0003145560864945205
