id,lat,lng,label,population,risk
221,11.5467,104.8442,Phnom Penh,12169535,0.002900962745184949
315,30.5786,103.9472,Chengdu,62854385,0.047972013398715665
322,39.1244,117.3461,Tianjin,14241195,0.03458513268053711
325,29.7194,106.6419,Chongqing,16205267,0.012320835598623896
358,45.6233,126.2503,Harbin,12100114,0.0008962326827450391
362,31.9194,119.7783,Changzhou,6991084,0.00010849146775329362
363,23.4275,116.7625,Shantou,16909762,0.0003254735541976968
389,24.7956,118.5881,Quanzhou,9437088,0.0002405673357928904
391,36.2661,120.3744,Qingdao,8200069,0.030726617132612988
412,31.1433,121.8053,Shanghai,20308438,0.06605703791893944
420,40.08,116.5844,Beijing,28331507,0.0976751703448029
445,31.7419,118.8619,Nanjing,13651608,0.0003254735541976968
451,21.5394,109.2939,Beihai,5621760,0.00015094457695569684
455,23.3925,113.2989,Guangzhou,39293380,0.10009971410977224
457,30.2294,120.4344,Hangzhou,12817942,0.08517508837944243
458,24.9922,102.7436,Kunming,11115277,0.06224097548021771
460,26.5386,106.8008,Guiyang,7252992,0.030424727978701594
465,27.9131,120.8522,Wenzhou,9918949,0.012613290822608331
469,21.2153,110.3583,Zhanjiang,11700739,0.0007877412149917454
470,22.6083,108.1725,Nanning,8261012,0.03745307624644662
473,22.3089,113.9147,Hong Kong,36745880,0.2657092931083473
475,19.9347,110.4589,Haikou,5945540,0.03409456407902437
476,36.8572,117.2161,Jinan,24300017,0.06445797108866964
483,43.9961,125.6853,Changchun,16217434,0.0006415140275306196
596,14.5086,121.0194,Manila,26922690,0.0009292510129583002
875,16.9072,96.1333,Yangon,11684460,0.00035377619304075497
1125,21.2211,105.8072,Hanoi,20834462,0.00022169947593897422
1129,10.8189,106.6519,Ho Chi Minh City,16228217,0.006518910957316183
1314,-6.1256,106.6558,Jakarta,36994844,0.0014198204635332233
2803,37.4692,126.4506,Seoul,27019922,0.00013207671710178078
2821,1.3592,103.9894,Singapore,4091180,0.00045755027129947766
2825,25.0778,121.2328,Taipei,10434115,0.00010377407825872258
3181,25.2528,55.3644,Dubai,1501658,0.00022641686543354526
