id,lat,lng,label,population,risk
182,2.7456,101.7147,Kuala Lumpur,8711663,0.00019060950451247732
221,11.5467,104.8442,Phnom Penh,12169535,0.00022328614777953067
315,30.5786,103.9472,Chengdu,62854385,0.023548496393350944
322,39.1244,117.3461,Tianjin,14241195,0.052080081876678584
325,29.7194,106.6419,Chongqing,16205267,0.05310392911974615
412,31.1433,121.8053,Shanghai,20308438,0.13640591919993014
413,41.6397,123.4833,Shenyang,13195977,0.0613546168576888
420,40.08,116.5844,Beijing,28331507,0.18661257777335252
430,24.5442,118.1278,Xiamen,8240158,0.03404293553619196
453,37.7469,112.6283,Taiyuan,11233266,0.15205853303968575
455,23.3925,113.2989,Guangzhou,39293380,0.05324007918594637
456,28.1936,113.2178,Changsha,18325936,0.02511149844752797
458,24.9922,102.7436,Kunming,11115277,0.03966865187993158
475,19.9347,110.4589,Haikou,5945540,0.1306876213209198
477,30.7839,114.2081,Wuhan,30649978,0.04828422128554534
486,39.7189,113.1461,Datong,7535077,0.00027230013240041816
538,13.6858,100.7489,Bangkok,23541053,0.00025051635707551087
733,50.0331,8.5706,Frankfurt,6970523,0.0001307036322291361
1603,-27.3842,153.1175,Brisbane,1972855,0.00034309789234621303
1612,-33.9461,151.1772,Sydney (AU),4670715,0.0004955862801799488
1648,-37.6733,144.8433,Melbourne (AU),4144035,0.00014704195386266273
2803,37.4692,126.4506,Seoul,27019922,0.00023417803544198423
2821,1.3592,103.9894,Singapore,4091180,0.0002614082447379645
