id,lat,lng,label,population,risk
52,30.1219,31.4056,Cairo,48049701,0.0009500500425016113
69,23.8433,90.3978,Dhaka,57695473,0.00010640492477897586
73,25.2611,51.565,Doha,698380,0.00017074278591605032
105,24.9067,67.1608,Karachi,16780358,0.00011963087560784895
108,33.6167,73.0992,Islamabad,15343183,0.00013516070203967097
173,5.2972,100.2767,Penang,2621408,0.00020274105305950646
182,2.7456,101.7147,Kuala Lumpur,8711663,0.0038740094941348037
183,6.3386,99.7322,Langkawi,116526,0.0007496981852382164
186,5.9372,116.0531,Kota Kinabalu,1537665,0.0007641187416447308
221,11.5467,104.8442,Phnom Penh,12169535,0.001017715713714609
222,13.4106,103.8128,Siem Reap,4814927,0.0005560019788450101
223,10.5797,103.6369,Sihanoukville,1091383,0.0010105480956079337
228,8.9778,38.7994,Addis Ababa,20326311,0.000400618363615286
276,47.4647,8.5492,Zurich,2620529,0.00015896741660347658
310,41.6992,86.1303,Korla,1069639,0.0024625017080614213
311,41.1025,121.0619,Jinzhou,4242220,0.000445415949903461
312,35.2931,116.3467,Jining,25722140,0.0009527805497887144
313,46.1947,122.0083,Ulanhot,3271330,0.0003167402276293122
314,49.2086,119.8167,Hailar,851974,0.00019813330185360856
316,34.2294,117.2458,Xuzhou,20796535,0.0027795832471817256
321,42.8408,93.6708,Hami,560104,0.000724782200649103
322,39.1244,117.3461,Tianjin,14241195,0.017027176622861274
325,29.7194,106.6419,Chongqing,16205267,0.00010017592095211212
326,29.3167,100.06,Daocheng,321512,0.0021585607842176577
328,37.1872,122.2289,Weihai,2392348,0.0005071086239465952
329,46.75,125.1392,Daqing,6192883,0.0005794673819178243
330,27.8111,107.2461,Zunyi,7545282,0.0014993963704764328
333,32.8567,103.6831,Jiuzhaigou,1011157,0.0003473757379205724
334,30.8039,108.4272,Wanzhou,6879185,0.00010580762199015532
338,27.8833,109.3083,Tongren,3899266,0.00034464272616252837
340,40.0922,94.6817,Dunhuang,506179,0.00029873586984904545
341,27.8033,114.3078,Yichun (Jiangxi),6299510,0.0003690467435151547
342,29.3519,89.31,Xigaze,533212,0.0008253847686445397
343,36.5167,103.6167,Lanzhou,6850245,0.009524221742590905
344,27.7069,118.0031,Wuyishan,6414192,0.0008308457985779168
346,31.4947,120.4294,Wuxi,7494542,0.009870400385822065
348,34.4478,108.7539,Xi'an,22353249,0.00547767756953276
349,39.4922,109.8631,Ordos,1651796,0.0018870447745606745
351,41.2628,80.2919,Aksu,1817143,0.0015267015662208288
352,37.5078,118.7894,Dongying,10565224,0.0003262970415320995
353,32.1506,112.2908,Xiangyang,11750932,0.0018331170214130371
355,40.5606,109.9964,Baotou,3343659,0.0006303233009281964
358,45.6233,126.2503,Harbin,12100114,0.01134035834069665
360,30.3211,109.4853,Enshi,3774134,0.00024915987660947673
362,31.9194,119.7783,Changzhou,6991084,0.00598470085792702
363,23.4275,116.7625,Shantou,16909762,0.004279918247297143
365,30.5511,97.1106,Qamdo,458789,0.00357211645459616
366,36.0789,106.2164,Guyuan,5702804,0.00022893697877859428
370,29.9347,122.3619,Zhoushan,1484739,0.00027629441660837666
371,22.7947,100.9592,Simao,2213550,0.0014351438448916918
372,29.2981,90.9122,Lhasa,1019683,0.027629782803377776
373,18.3028,109.4122,Sanya,2888131,0.028626507660727187
375,26.6742,100.2436,Lijiang,1495973,0.0067363616072771935
376,25.935,119.6633,Fuzhou,10913454,0.01235397828580102
377,27.7917,99.6781,Deqen,748566,0.002992137105441848
378,37.4017,121.3717,Yantai,6160152,0.0033385717399708388
379,43.9072,87.4742,Urumqi,5237049,0.017777472110888308
380,34.5719,118.8739,Lianyungang,7795627,0.0004689666731694378
381,34.7414,112.3894,Luoyang,11740472,0.00014079240307771415
382,35.0494,118.4119,Linyi,12843250,0.002099001330031977
383,43.9553,81.3289,Yining,1687819,0.000543885298041445
384,34.8189,102.6208,Xiahe,2164199,0.00020060783320205328
386,37.0381,79.865,Hotan,1394729,0.0008427918236359861
387,38.27,109.7306,Yulin,3211960,0.0009728328072332716
388,25.6503,100.3194,Dali,3767440,0.0036880781932779228
389,24.7956,118.5881,Quanzhou,9437088,0.0039124074208506205
390,32.8267,97.1219,Yushu,353799,0.001258257390701111
391,36.2661,120.3744,Qingdao,8200069,0.012784120385211315
392,38.5419,102.3486,Jinchang,2050162,0.0002642630713571447
393,29.5147,108.8317,Qianjiang,3949506,0.0005468718119855477
394,38.9656,121.5386,Dalian,5749540,0.0076064586266575765
395,32.5631,119.7189,Yangzhou,8985870,0.002123917314621091
396,29.3058,94.3386,Nyingchi,182206,0.004474382412224664
397,24.2078,109.3914,Liuzhou,8005244,0.0008930504398575377
399,21.9731,100.7631,Jinghong,1382281,0.0069860334511231605
400,27.9892,102.1844,Xichang,4562370,0.005888706041137482
402,30.5569,111.4797,Yichang,11664371,0.0017875514765905453
403,29.345,120.0325,Yiwu,6139309,0.0009303390965480457
404,29.1044,110.4431,Zhangjiajie,2982561,0.0006675266220663711
406,41.1056,122.8561,Anshan,8750351,0.0016262801843841205
407,29.8267,121.4619,Ningbo,6757958,0.004325142465269471
408,36.5258,114.425,Handan,26271177,0.0016535000599353536
410,38.8075,100.6608,Zhangye,1204657,0.0003866244542520966
411,39.9678,119.7292,Qinhuangdao,4523764,0.00024335751982593776
412,31.1433,121.8053,Shanghai,20308438,0.07597541772568356
413,41.6397,123.4833,Shenyang,13195977,0.014883207050795629
414,24.4014,98.5322,Mangshi,1327739,0.0004986610800691156
415,43.0303,89.0972,Turpan,816835,0.0004204999653143475
416,23.7389,100.025,Lincang,2848292,0.00044925574257504266
417,26.54,101.7981,Panzhihua,4045241,0.00418767788762685
419,27.3258,103.7547,Zhaotong,7135359,0.00036051386408534193
420,40.08,116.5844,Beijing,28331507,0.09425334282500747
421,24.9378,98.4856,Tengchong,1002556,0.0022574567793989665
422,30.7403,117.6867,Chizhou,4495819,0.00018115287854631647
425,39.8572,98.3414,Jiayuguan,1106084,0.00023030222474256044
427,26.8578,114.7364,Ji'an,5652245,0.0003344886094709206
429,40.8514,111.8242,Hohhot,4401373,0.003786803532713736
430,24.5442,118.1278,Xiamen,8240158,0.014348025287929491
431,45.4661,84.9539,Karamay,5802370,0.0007240142421147866
432,32.9811,112.6156,Nanyang,12735325,0.0012347066674351346
434,28.5653,121.4303,Taizhou,5349916,0.00048065670692967825
435,29.3392,117.1764,Jingdezhen,4398562,0.0002809021678142745
437,25.0856,104.9594,Xingyi,7357766,0.0011873492296053515
438,31.9911,116.9892,Hefei,14358834,0.009221731415622613
439,36.5286,102.0403,Xining,3472426,0.006380967461634238
440,38.2806,114.6972,Shijiazhuang,24520869,0.008424590457002277
442,33.4261,120.2031,Yancheng,6283873,0.0004987464002622782
443,29.7328,118.2572,Huangshan,1892668,0.0007830617137048097
444,30.1447,101.7378,Kangding,2282364,0.0013307079904319116
445,31.7419,118.8619,Nanjing,13651608,0.0254647370393946
449,33.7875,119.1278,Huai'an,10190694,0.0015607477330285757
450,25.8514,114.7753,Ganzhou,7056603,0.0024917694525586048
451,21.5394,109.2939,Beihai,5621760,0.0044203693235246935
452,27.3006,105.3017,Bijie,6594987,0.0009790617957009648
453,37.7469,112.6283,Taiyuan,11233266,0.011344027477622736
454,32.8808,115.7336,Fuyang,25324297,0.0008532019316254228
455,23.3925,113.2989,Guangzhou,39293380,0.059229484582127574
456,28.1936,113.2178,Changsha,18325936,0.018011955455152617
457,30.2294,120.4344,Hangzhou,12817942,0.0353951235110865
458,24.9922,102.7436,Kunming,11115277,0.030345198860527087
460,26.5386,106.8008,Guiyang,7252992,0.00795033339428579
461,25.2181,110.0392,Guilin,4941136,0.003196328755376825
463,27.4414,109.7003,Huaihua,5255897,0.00036213511670630784
