id,lat,lng,label,population,risk
73,25.2611,51.565,Doha,698380,0.0004757385378519984
182,2.7456,101.7147,Kuala Lumpur,8711663,0.003363400001321196
183,6.3386,99.7322,Langkawi,116526,0.0002789863764755317
186,5.9372,116.0531,Kota Kinabalu,1537665,0.0005602862429912958
221,11.5467,104.8442,Phnom Penh,12169535,0.001067887918767602
222,13.4106,103.8128,Siem Reap,4814927,0.0012708444552844474
223,10.5797,103.6369,Sihanoukville,1091383,0.001105114131752694
310,41.6992,86.1303,Korla,1069639,0.0035388049350536764
312,35.2931,116.3467,Jining,25722140,0.0016836980173674245
315,30.5786,103.9472,Chengdu,62854385,0.00012345646149781
316,34.2294,117.2458,Xuzhou,20796535,0.00505256627992009
317,40.9264,107.7389,Bayannur,1447780,0.0002950756773722412
322,39.1244,117.3461,Tianjin,14241195,0.01997702282137053
331,23.72,106.9603,Baise,3943002,0.002186988176932377
338,27.8833,109.3083,Tongren,3899266,0.0001769823098638046
341,27.8033,114.3078,Yichun (Jiangxi),6299510,0.0011472828265445408
342,29.3519,89.31,Xigaze,533212,0.001464967643822981
343,36.5167,103.6167,Lanzhou,6850245,0.006379565537479878
346,31.4947,120.4294,Wuxi,7494542,0.00823288474455061
348,34.4478,108.7539,Xi'an,22353249,0.02013328883132857
349,39.4922,109.8631,Ordos,1651796,0.00028235146322237313
350,38.4933,106.0119,Yinchuan,3423935,0.00043746072816029766
351,41.2628,80.2919,Aksu,1817143,0.0017762377893340282
352,37.5078,118.7894,Dongying,10565224,0.0005737465710500722
353,32.1506,112.2908,Xiangyang,11750932,0.00197246417128578
354,25.0536,99.1681,Baoshan,2095138,0.0021949802437596835
355,40.5606,109.9964,Baotou,3343659,0.0005830005501395916
358,45.6233,126.2503,Harbin,12100114,0.007515070579339061
361,36.6367,109.5533,Yan'an,3357246,0.0011980745348305055
362,31.9194,119.7783,Changzhou,6991084,0.006609653064598467
363,23.4275,116.7625,Shantou,16909762,0.008286095129047495
365,30.5511,97.1106,Qamdo,458789,0.0020512281323959067
366,36.0789,106.2164,Guyuan,5702804,0.0008095126749557375
368,43.5575,122.2,Tongliao,4930093,0.0004213714272635882
370,29.9347,122.3619,Zhoushan,1484739,0.000667548255278889
371,22.7947,100.9592,Simao,2213550,0.0015057692780391075
372,29.2981,90.9122,Lhasa,1019683,0.01544320505524529
373,18.3028,109.4122,Sanya,2888131,0.0278541552545066
375,26.6742,100.2436,Lijiang,1495973,0.013102264339466518
376,25.935,119.6633,Fuzhou,10913454,0.014289823001873881
377,27.7917,99.6781,Deqen,748566,0.0046316154837677094
378,37.4017,121.3717,Yantai,6160152,0.003424181802605589
379,43.9072,87.4742,Urumqi,5237049,0.015002589555893757
380,34.5719,118.8739,Lianyungang,7795627,0.0010727252144036707
381,34.7414,112.3894,Luoyang,11740472,0.002836659420699039
382,35.0494,118.4119,Linyi,12843250,0.0023381014084566483
387,38.27,109.7306,Yulin,3211960,0.0001698315052589139
388,25.6503,100.3194,Dali,3767440,0.005249528756852161
389,24.7956,118.5881,Quanzhou,9437088,0.00925197896227478
391,36.2661,120.3744,Qingdao,8200069,0.011683671739404641
393,29.5147,108.8317,Qianjiang,3949506,0.003092201796399497
394,38.9656,121.5386,Dalian,5749540,0.007655352455642489
395,32.5631,119.7189,Yangzhou,8985870,0.006247065412448151
396,29.3058,94.3386,Nyingchi,182206,0.0028020621616232913
397,24.2078,109.3914,Liuzhou,8005244,0.001524908182884958
399,21.9731,100.7631,Jinghong,1382281,0.007887963788356916
400,27.9892,102.1844,Xichang,4562370,0.001351501275323599
402,30.5569,111.4797,Yichang,11664371,0.00023913117172391743
403,29.345,120.0325,Yiwu,6139309,0.0020327201742168684
404,29.1044,110.4431,Zhangjiajie,2982561,0.0014833704536885125
407,29.8267,121.4619,Ningbo,6757958,0.013895267082414335
408,36.5258,114.425,Handan,26271177,0.0009328639692114509
412,31.1433,121.8053,Shanghai,20308438,0.07220951853834119
413,41.6397,123.4833,Shenyang,13195977,0.008171156513801705
414,24.4014,98.5322,Mangshi,1327739,0.001970360977872562
417,26.54,101.7981,Panzhihua,4045241,0.000855572235919141
419,27.3258,103.7547,Zhaotong,7135359,0.0014907315738490069
420,40.08,116.5844,Beijing,28331507,0.06412921925313265
421,24.9378,98.4856,Tengchong,1002556,0.0015855848358558432
423,28.9672,118.9,Quzhou,3373956,0.000672175235359354
427,26.8578,114.7364,Ji'an,5652245,0.0011866122329428506
429,40.8514,111.8242,Hohhot,4401373,0.005060768662302999
430,24.5442,118.1278,Xiamen,8240158,0.019144690690952988
432,32.9811,112.6156,Nanyang,12735325,0.0003681610616952941
434,28.5653,121.4303,Taizhou,5349916,0.002337996260143141
437,25.0856,104.9594,Xingyi,7357766,0.001395773144600074
438,31.9911,116.9892,Hefei,14358834,0.01495116688201239
439,36.5286,102.0403,Xining,3472426,0.003774465871717245
440,38.2806,114.6972,Shijiazhuang,24520869,0.013771810620916529
441,42.8828,129.4514,Yanji,1789684,0.000341661036688949
442,33.4261,120.2031,Yancheng,6283873,0.0016245987594564525
443,29.7328,118.2572,Huangshan,1892668,0.0006491454454133576
445,31.7419,118.8619,Nanjing,13651608,0.030545800651579656
447,24.2642,116.0983,Meixian,6486268,0.0011893463540942908
449,33.7875,119.1278,Huai'an,10190694,0.001615975727033745
450,25.8514,114.7753,Ganzhou,7056603,0.0017496325970855868
451,21.5394,109.2939,Beihai,5621760,0.002221900899877236
452,27.3006,105.3017,Bijie,6594987,0.0019074760021035406
453,37.7469,112.6283,Taiyuan,11233266,0.011127907328180302
454,32.8808,115.7336,Fuyang,25324297,0.0013962989429533786
455,23.3925,113.2989,Guangzhou,39293380,0.06484966239118213
456,28.1936,113.2178,Changsha,18325936,0.022376116346667176
