id,lat,lng,label,population,risk
173,5.2972,100.2767,Penang,2621408,0.0001986595218739271
182,2.7456,101.7147,Kuala Lumpur,8711663,0.0014240240118570829
186,5.9372,116.0531,Kota Kinabalu,1537665,0.0005146275873983196
221,11.5467,104.8442,Phnom Penh,12169535,0.0002277316302322994
222,13.4106,103.8128,Siem Reap,4814927,0.0011840514721512489
312,35.2931,116.3467,Jining,25722140,0.004659955415563061
315,30.5786,103.9472,Chengdu,62854385,0.022733125613678625
316,34.2294,117.2458,Xuzhou,20796535,0.01174131266370398
319,41.5414,120.4339,Chaoyang,3891636,0.0018493950996496863
322,39.1244,117.3461,Tianjin,14241195,0.029237630754546638
325,29.7194,106.6419,Chongqing,16205267,0.0185648461089406
327,36.6469,119.1186,Weifang,9193768,0.005271745069852703
328,37.1872,122.2289,Weihai,2392348,0.005193454376376818
329,46.75,125.1392,Daqing,6192883,0.003853076464497172
330,27.8111,107.2461,Zunyi,7545282,0.0017348917099100074
336,46.8433,130.4653,Jiamusi,4290598,0.005322493797344006
339,42.065,127.6025,Baishan,3207170,0.003899744888830628
343,36.5167,103.6167,Lanzhou,6850245,0.0017035244338943073
344,27.7069,118.0031,Wuyishan,6414192,0.0001012424159525214
346,31.4947,120.4294,Wuxi,7494542,0.014268547293452366
348,34.4478,108.7539,Xi'an,22353249,0.033265394954127475
349,39.4922,109.8631,Ordos,1651796,0.0012623422115304887
352,37.5078,118.7894,Dongying,10565224,0.0015224612279954644
353,32.1506,112.2908,Xiangyang,11750932,0.0025560516990766773
355,40.5606,109.9964,Baotou,3343659,0.003111737311180175
357,45.2925,131.1919,Jixi,2822034,0.00266341454681429
358,45.6233,126.2503,Harbin,12100114,0.004955011933141418
360,30.3211,109.4853,Enshi,3774134,0.0007622507012630318
362,31.9194,119.7783,Changzhou,6991084,0.00755722202439474
363,23.4275,116.7625,Shantou,16909762,0.0015813705158991033
368,43.5575,122.2,Tongliao,4930093,0.00045163799633683634
370,29.9347,122.3619,Zhoushan,1484739,0.0015660694134846994
373,18.3028,109.4122,Sanya,2888131,0.00944027961362081
374,47.7514,129.0178,Yichun (Heilongjiang),2862117,0.001426319179514411
375,26.6742,100.2436,Lijiang,1495973,0.00024379780383359658
376,25.935,119.6633,Fuzhou,10913454,0.010699306547276995
377,27.7917,99.6781,Deqen,748566,0.00025552868115031967
378,37.4017,121.3717,Yantai,6160152,0.018491421469359132
379,43.9072,87.4742,Urumqi,5237049,0.0018226181589486427
380,34.5719,118.8739,Lianyungang,7795627,0.00759011944278423
381,34.7414,112.3894,Luoyang,11740472,0.001802216643159418
382,35.0494,118.4119,Linyi,12843250,0.012094003457648977
388,25.6503,100.3194,Dali,3767440,0.0002394625075490225
389,24.7956,118.5881,Quanzhou,9437088,0.0007403190890033733
391,36.2661,120.3744,Qingdao,8200069,0.028005635754718226
395,32.5631,119.7189,Yangzhou,8985870,0.0038418556193372602
399,21.9731,100.7631,Jinghong,1382281,0.0001968743863734104
402,30.5569,111.4797,Yichang,11664371,0.0018241482554190766
403,29.345,120.0325,Yiwu,6139309,0.0014013273743138837
404,29.1044,110.4431,Zhangjiajie,2982561,0.0007296082760002731
405,31.4289,104.7408,Mianyang,8917604,0.00012240895702528631
407,29.8267,121.4619,Ningbo,6757958,0.02509995350054077
408,36.5258,114.425,Handan,26271177,0.0024826063340421768
412,31.1433,121.8053,Shanghai,20308438,0.09023655657648393
413,41.6397,123.4833,Shenyang,13195977,0.00019100894771504882
420,40.08,116.5844,Beijing,28331507,0.07709289647415242
429,40.8514,111.8242,Hohhot,4401373,0.012095788593149493
430,24.5442,118.1278,Xiamen,8240158,0.014080088506521374
432,32.9811,112.6156,Nanyang,12735325,0.0031071469758655193
436,44.5242,129.5689,Mudanjiang,3143833,0.007867069658134043
438,31.9911,116.9892,Hefei,14358834,0.008941718153920435
439,36.5286,102.0403,Xining,3472426,0.003062518726062661
440,38.2806,114.6972,Shijiazhuang,24520869,0.015538030001081568
441,42.8828,129.4514,Yanji,1789684,0.0043914207996556655
442,33.4261,120.2031,Yancheng,6283873,0.003542718798601059
443,29.7328,118.2572,Huangshan,1892668,0.00010634278342398918
445,31.7419,118.8619,Nanjing,13651608,0.04156650633852663
447,24.2642,116.0983,Meixian,6486268,0.0002812855575377409
449,33.7875,119.1278,Huai'an,10190694,0.0019284508643124668
451,21.5394,109.2939,Beihai,5621760,0.0005210030582134924
453,37.7469,112.6283,Taiyuan,11233266,0.011498279931057277
455,23.3925,113.2989,Guangzhou,39293380,0.0303186547211482
456,28.1936,113.2178,Changsha,18325936,0.011593146876194624
457,30.2294,120.4344,Hangzhou,12817942,0.019686673061217262
458,24.9922,102.7436,Kunming,11115277,0.010562361559024198
460,26.5386,106.8008,Guiyang,7252992,0.008313607286999411
461,25.2181,110.0392,Guilin,4941136,0.0071655134261785205
465,27.9131,120.8522,Wenzhou,9918949,0.008836140441683337
469,21.2153,110.3583,Zhanjiang,11700739,0.0009802916287092072
470,22.6083,108.1725,Nanning,8261012,0.00767504064610537
472,28.8639,115.9022,Nanchang,10823928,0.009414522691330036
473,22.3089,113.9147,Hong Kong,36745880,0.04120463491985566
475,19.9347,110.4589,Haikou,5945540,0.009587170343689812
476,36.8572,117.2161,Jinan,24300017,0.023253108607578496
477,30.7839,114.2081,Wuhan,30649978,0.0189014707292843
479,26.3417,111.6089,Yongzhou,18814432,0.0013334924089076616
480,35.1164,111.0336,Yuncheng,12627248,0.0014589615588738167
481,34.5194,113.8411,Zhengzhou,32471775,0.02765575020649072
483,43.9961,125.6853,Changchun,16217434,0.00343892622186448
484,42.16,118.8408,Chifeng,9056162,0.003045432442244388
486,39.7189,113.1461,Datong,7535077,0.0012567318119022096
488,47.2397,123.9181,Qiqihar,4106294,0.003744948545572665
530,9.5503,100.0625,Ko Samui,127979,0.00017927811630167887
531,18.7714,98.9628,Chiang Mai,1497016,0.0003032171697973996
538,13.6858,100.7489,Bangkok,23541053,0.0056940559188010855
549,8.1122,98.3053,Phuket,711102,0.0014857385454782141
566,27.6967,85.3592,Kathmandu,4670436,0.00011348327952270283
596,14.5086,121.0194,Manila,26922690,0.0008522722720556415
615,10.3075,123.9794,Cebu,4439843,0.0002001896183443615
733,50.0331,8.5706,Frankfurt,6970523,0.00033356438149947714
748,48.3539,11.7861,Munich,4802084,0.00017978814845849035
750,51.2894,6.7667,Duesseldorf,5382885,0.0001272542854666718
758,7.1803,79.8853,Colombo,9032691,0.0001601517038561598
791,51.4775,-0.4614,London (UK),17233070,0.0006691688916262003
827,15.1189,145.7294,Saipan,118045,0.00022314129491764312
837,52.3081,4.7642,Amsterdam,9166721,0.00011526841502321953
875,16.9072,96.1333,Yangon,11684460,0.00022314129491764312
1090,19.0886,72.8681,Mumbai,28236589,0.00016754723898495578
1099,28.5664,77.1031,Delhi,62390146,0.00022237622373074933
1125,21.2211,105.8072,Hanoi,20834462,0.00029072122129378264
1129,10.8189,106.6519,Ho Chi Minh City,16228217,0.0005054469167690071
1137,11.9981,109.2192,Nha Trang,1733076,0.00017188253526952978
1139,16.0439,108.1994,Da Nang,1821939,0.00013286468509495105
1184,-17.755,177.4436,Nadi,336626,0.00010353758360984956
