id,lat,lng,label,population,risk
182,2.7456,101.7147,Kuala Lumpur,8711663,0.0003703200166274773
221,11.5467,104.8442,Phnom Penh,12169535,0.00014962409951816593
310,41.6992,86.1303,Korla,1069639,0.0005423882023897528
314,49.2086,119.8167,Hailar,851974,0.016754175073285554
315,30.5786,103.9472,Chengdu,62854385,0.025402457047777768
316,34.2294,117.2458,Xuzhou,20796535,0.00010847750581612635
322,39.1244,117.3461,Tianjin,14241195,0.04160302254886064
325,29.7194,106.6419,Chongqing,16205267,0.00020573364181931898
328,37.1872,122.2289,Weihai,2392348,0.016851431209288746
339,42.065,127.6025,Baishan,3207170,0.00693134304227388
343,36.5167,103.6167,Lanzhou,6850245,0.00016832728028521695
348,34.4478,108.7539,Xi'an,22353249,0.022323938271296823
358,45.6233,126.2503,Harbin,12100114,0.03860743504240169
373,18.3028,109.4122,Sanya,2888131,0.04160302254886064
378,37.4017,121.3717,Yantai,6160152,0.05082361660301347
379,43.9072,87.4742,Urumqi,5237049,0.0006134593466717772
385,41.7181,82.9867,Kuqa,945321,0.00010473727364818884
391,36.2661,120.3744,Qingdao,8200069,0.13503962538244604
394,38.9656,121.5386,Dalian,5749540,0.05651681958213086
407,29.8267,121.4619,Ningbo,6757958,0.005068521589323559
412,31.1433,121.8053,Shanghai,20308438,0.07146428207145812
413,41.6397,123.4833,Shenyang,13195977,0.015905057534214468
420,40.08,116.5844,Beijing,28331507,0.28230355221907594
429,40.8514,111.8242,Hohhot,4401373,0.002670793071628483
430,24.5442,118.1278,Xiamen,8240158,0.00010847750581612635
438,31.9911,116.9892,Hefei,14358834,0.00014214296187316976
442,33.4261,120.2031,Yancheng,6283873,0.00011595864346112254
445,31.7419,118.8619,Nanjing,13651608,0.019406264964146987
453,37.7469,112.6283,Taiyuan,11233266,0.00010847750581612635
455,23.3925,113.2989,Guangzhou,39293380,0.034731528607746726
456,28.1936,113.2178,Changsha,18325936,0.010589656382678676
457,30.2294,120.4344,Hangzhou,12817942,0.02198354280524933
458,24.9922,102.7436,Kunming,11115277,0.0003478766036924888
460,26.5386,106.8008,Guiyang,7252992,0.0003778011542724735
465,27.9131,120.8522,Wenzhou,9918949,0.0037331247168547587
470,22.6083,108.1725,Nanning,8261012,0.0002655827429792885
472,28.8639,115.9022,Nanchang,10823928,0.021471079826748687
473,22.3089,113.9147,Hong Kong,36745880,0.032677935788267075
475,19.9347,110.4589,Haikou,5945540,0.0001571052371631621
477,30.7839,114.2081,Wuhan,30649978,0.014356446555590475
538,13.6858,100.7489,Bangkok,23541053,0.0006508657082058793
549,8.1122,98.3053,Phuket,711102,0.0002730645539334058
730,52.4606,9.6894,Hannover,2991682,0.00020947387398725651
791,51.4775,-0.4614,London (UK),17233070,0.00014214296187316976
1314,-6.1256,106.6558,Jakarta,36994844,0.00023191728692224507
1612,-33.9461,151.1772,Sydney (AU),4670715,0.0002655827429792885
1648,-37.6733,144.8433,Melbourne (AU),4144035,0.00018328955557520932
1855,59.8003,30.2625,St Petersburg,2791267,0.00010847750581612635
2393,33.9425,-118.4081,Los Angeles,19797290,0.0002730645539334058
2803,37.4692,126.4506,Seoul,27019922,0.001062332318535396
2821,1.3592,103.9894,Singapore,4091180,0.0003142111476354454
3151,34.4272,135.2442,Osaka,19601735,0.00018703046105226798
3181,25.2528,55.3644,Dubai,1501658,0.00044139183421862285
