id,lat,lng,label,population,risk
69,23.8433,90.3978,Dhaka,57695473,0.00011272986918061668
182,2.7456,101.7147,Kuala Lumpur,8711663,0.00015782242559476565
221,11.5467,104.8442,Phnom Penh,12169535,0.0005298306895198494
315,30.5786,103.9472,Chengdu,62854385,0.05635935445620376
322,39.1244,117.3461,Tianjin,14241195,0.031947676986193614
325,29.7194,106.6419,Chongqing,16205267,0.07484143532863634
348,34.4478,108.7539,Xi'an,22353249,0.02130596658110313
370,29.9347,122.3619,Zhoushan,1484739,0.07362958745944749
391,36.2661,120.3744,Qingdao,8200069,0.05000138313825605
412,31.1433,121.8053,Shanghai,20308438,0.08656535288368868
420,40.08,116.5844,Beijing,28331507,0.12548537902559284
430,24.5442,118.1278,Xiamen,8240158,0.03162076026411285
455,23.3925,113.2989,Guangzhou,39293380,0.11186759743625252
457,30.2294,120.4344,Hangzhou,12817942,0.05095958854814605
458,24.9922,102.7436,Kunming,11115277,0.06732798158337501
465,27.9131,120.8522,Wenzhou,9918949,0.018882271857295282
473,22.3089,113.9147,Hong Kong,36745880,0.10660310716829756
475,19.9347,110.4589,Haikou,5945540,0.08721918734242007
538,13.6858,100.7489,Bangkok,23541053,0.00015782242559476565
596,14.5086,121.0194,Manila,26922690,0.00034946249300292796
1125,21.2211,105.8072,Hanoi,20834462,0.00014654852556385048
1129,10.8189,106.6519,Ho Chi Minh City,16228217,0.0009638413453356175
1314,-6.1256,106.6558,Jakarta,36994844,0.00019164108197799952
1612,-33.9461,151.1772,Sydney (AU),4670715,0.00024236957383776884
2803,37.4692,126.4506,Seoul,27019922,0.00010145698371953871
2821,1.3592,103.9894,Singapore,4091180,0.00038328216395599904
3041,-43.4894,172.5322,Christchurch,450914,0.00010145698371953871
3151,34.4272,135.2442,Osaka,19601735,0.00012400275464169463
3181,25.2528,55.3644,Dubai,1501658,0.00012400275464169463
