id,lat,lng,label,population,risk
69,23.8433,90.3978,Dhaka,57695473,0.00013853772020913722
173,5.2972,100.2767,Penang,2621408,0.0004738302026843429
182,2.7456,101.7147,Kuala Lumpur,8711663,0.006714254581197548
186,5.9372,116.0531,Kota Kinabalu,1537665,0.002131924454350859
219,-24.5553,25.9183,Gaborone,785835,0.00012982077040967247
221,11.5467,104.8442,Phnom Penh,12169535,0.0008713867724063954
222,13.4106,103.8128,Siem Reap,4814927,0.0002587075598974351
223,10.5797,103.6369,Sihanoukville,1091383,0.005816405501664074
279,46.2381,6.1089,Geneva,1102297,0.00011612262638517849
312,35.2931,116.3467,Jining,25722140,0.0016730377222661348
315,30.5786,103.9472,Chengdu,62854385,0.045073329157984315
316,34.2294,117.2458,Xuzhou,20796535,0.001599877321685054
322,39.1244,117.3461,Tianjin,14241195,0.025935820170510854
325,29.7194,106.6419,Chongqing,16205267,0.04230475372507218
328,37.1872,122.2289,Weihai,2392348,0.00044207546775448987
330,27.8111,107.2461,Zunyi,7545282,0.006595641357699854
338,27.8833,109.3083,Tongren,3899266,0.0008386981125923673
343,36.5167,103.6167,Lanzhou,6850245,0.007261867763693931
346,31.4947,120.4294,Wuxi,7494542,0.00045919807773793915
348,34.4478,108.7539,Xi'an,22353249,0.046542763073991
353,32.1506,112.2908,Xiangyang,11750932,0.0018498678757452895
355,40.5606,109.9964,Baotou,3343659,0.0026188301097532663
358,45.6233,126.2503,Harbin,12100114,0.014834433608542075
362,31.9194,119.7783,Changzhou,6991084,0.005464924390127329
363,23.4275,116.7625,Shantou,16909762,0.006367131916541668
366,36.0789,106.2164,Guyuan,5702804,0.0006101886714341803
370,29.9347,122.3619,Zhoushan,1484739,0.005318292355387422
371,22.7947,100.9592,Simao,2213550,0.00017247170659829007
372,29.2981,90.9122,Lhasa,1019683,0.0005223962019444304
373,18.3028,109.4122,Sanya,2888131,0.0070059620905244925
375,26.6742,100.2436,Lijiang,1495973,0.0021882735345639705
378,37.4017,121.3717,Yantai,6160152,0.004161424426341033
379,43.9072,87.4742,Urumqi,5237049,0.005129009328421163
380,34.5719,118.8739,Lianyungang,7795627,0.000862981112222411
381,34.7414,112.3894,Luoyang,11740472,0.0020693490214507976
382,35.0494,118.4119,Linyi,12843250,0.006698065896098274
387,38.27,109.7306,Yulin,3211960,0.0031938395242609038
388,25.6503,100.3194,Dali,3767440,0.0002331792336922668
391,36.2661,120.3744,Qingdao,8200069,0.018923631615223938
394,38.9656,121.5386,Dalian,5749540,0.013061461944990038
395,32.5631,119.7189,Yangzhou,8985870,0.005580424381243813
397,24.2078,109.3914,Liuzhou,8005244,0.0016559150562449507
398,28.8528,105.3933,Luzhou,9659760,0.0011154622633951614
399,21.9731,100.7631,Jinghong,1382281,0.00041561321666514617
402,30.5569,111.4797,Yichang,11664371,0.008056046978253862
404,29.1044,110.4431,Zhangjiajie,2982561,0.00012048112930377815
405,31.4289,104.7408,Mianyang,8917604,0.001110169779554652
407,29.8267,121.4619,Ningbo,6757958,0.00046698110265322863
412,31.1433,121.8053,Shanghai,20308438,0.06040805522030007
413,41.6397,123.4833,Shenyang,13195977,0.019757971224897704
414,24.4014,98.5322,Mangshi,1327739,0.00029637735789875806
419,27.3258,103.7547,Zhaotong,7135359,0.00010429244420450412
420,40.08,116.5844,Beijing,28331507,0.07251220588523777
429,40.8514,111.8242,Hohhot,4401373,0.002675801825235073
430,24.5442,118.1278,Xiamen,8240158,0.0026605471210577078
436,44.5242,129.5689,Mudanjiang,3143833,0.00018087736678227458
438,31.9911,116.9892,Hefei,14358834,0.0006316697843362293
