id,lat,lng,label,population,risk
182,2.7456,101.7147,Kuala Lumpur,8711663,0.0007845156369097863
221,11.5467,104.8442,Phnom Penh,12169535,0.0005159900645819653
222,13.4106,103.8128,Siem Reap,4814927,0.00017111908395737131
315,30.5786,103.9472,Chengdu,62854385,0.07687724641539907
325,29.7194,106.6419,Chongqing,16205267,0.043801233609850325
348,34.4478,108.7539,Xi'an,22353249,0.008829747291089603
358,45.6233,126.2503,Harbin,12100114,0.013881710671567777
362,31.9194,119.7783,Changzhou,6991084,0.027257962055524616
371,22.7947,100.9592,Simao,2213550,0.0001053039787632472
373,18.3028,109.4122,Sanya,2888131,0.016566964973240852
375,26.6742,100.2436,Lijiang,1495973,0.02787662376002836
376,25.935,119.6633,Fuzhou,10913454,0.014229214464902225
379,43.9072,87.4742,Urumqi,5237049,0.00035540128372724307
391,36.2661,120.3744,Qingdao,8200069,0.030714568878294976
394,38.9656,121.5386,Dalian,5749540,0.0006239268560550639
399,21.9731,100.7631,Jinghong,1382281,0.000663415729624187
403,29.345,120.0325,Yiwu,6139309,0.00021850592178767041
407,29.8267,121.4619,Ningbo,6757958,0.01669596237091925
412,31.1433,121.8053,Shanghai,20308438,0.0773484824548606
413,41.6397,123.4833,Shenyang,13195977,0.00040805327310886665
414,24.4014,98.5322,Mangshi,1327739,0.0013110360045944006
420,40.08,116.5844,Beijing,28331507,0.13409948590819507
429,40.8514,111.8242,Hohhot,4401373,0.0005923354728787384
430,24.5442,118.1278,Xiamen,8240158,0.011322821428731629
440,38.2806,114.6972,Shijiazhuang,24520869,0.00012636505883692364
445,31.7419,118.8619,Nanjing,13651608,0.0024219938808965782
453,37.7469,112.6283,Taiyuan,11233266,0.0007423939506308116
455,23.3925,113.2989,Guangzhou,39293380,0.02398829327126232
457,30.2294,120.4344,Hangzhou,12817942,0.06401961790873405
458,24.9922,102.7436,Kunming,11115277,0.06087629115728034
461,25.2181,110.0392,Guilin,4941136,0.00950895894923614
465,27.9131,120.8522,Wenzhou,9918949,0.0007081697547446348
469,21.2153,110.3583,Zhanjiang,11700739,0.012025726505793316
470,22.6083,108.1725,Nanning,8261012,0.02448319970361065
472,28.8639,115.9022,Nanchang,10823928,0.12414035199957107
473,22.3089,113.9147,Hong Kong,36745880,0.04727363588727465
475,19.9347,110.4589,Haikou,5945540,0.05059334734810544
476,36.8572,117.2161,Jinan,24300017,0.02393561825585236
477,30.7839,114.2081,Wuhan,30649978,0.0005791723570662379
481,34.5194,113.8411,Zhengzhou,32471775,0.03974176148496696
483,43.9961,125.6853,Changchun,16217434,0.00042384872776284033
538,13.6858,100.7489,Bangkok,23541053,0.0004975617972181403
549,8.1122,98.3053,Phuket,711102,0.0001237322461270722
596,14.5086,121.0194,Manila,26922690,0.00018164938706002036
615,10.3075,123.9794,Cebu,4439843,0.0005265203676846144
1125,21.2211,105.8072,Hanoi,20834462,0.0002764230627206185
1129,10.8189,106.6519,Ho Chi Minh City,16228217,0.0006291920076063885
1314,-6.1256,106.6558,Jakarta,36994844,0.00013163021038824818
1535,49.0097,2.5478,Paris,13528665,0.00021587358294619728
1612,-33.9461,151.1772,Sydney (AU),4670715,0.00015532362930339769
2803,37.4692,126.4506,Seoul,27019922,0.00040805327310886665
2821,1.3592,103.9894,Singapore,4091180,0.00045544011093916583
2825,25.0778,121.2328,Taipei,10434115,0.00034223816791474263
3106,35.5522,139.7797,Tokyo,32212732,0.0016295807535939935
3127,35.7647,140.3864,Tokyo Narita,8512151,0.00023693418915149542
3151,34.4272,135.2442,Osaka,19601735,0.0003317078648120935
3181,25.2528,55.3644,Dubai,1501658,0.0004922966456668158
