id,lat,lng,label,population,risk
315,30.5786,103.9472,Chengdu,62854385,0.006236905579063844
325,29.7194,106.6419,Chongqing,16205267,0.00012325995063536098
348,34.4478,108.7539,Xi'an,22353249,0.36312090812538905
362,31.9194,119.7783,Changzhou,6991084,0.00029582299406032163
372,29.2981,90.9122,Lhasa,1019683,0.0028596060057331195
391,36.2661,120.3744,Qingdao,8200069,0.00303216904915808
407,29.8267,121.4619,Ningbo,6757958,0.00036977541458335867
412,31.1433,121.8053,Shanghai,20308438,0.013410574358452805
413,41.6397,123.4833,Shenyang,13195977,0.000246519901270722
420,40.08,116.5844,Beijing,28331507,0.006286208671853443
430,24.5442,118.1278,Xiamen,8240158,0.0034019489010641626
438,31.9911,116.9892,Hefei,14358834,0.0011093306810728003
439,36.5286,102.0403,Xining,3472426,0.5881424733397427
442,33.4261,120.2031,Yancheng,6283873,0.00017256304342496058
445,31.7419,118.8619,Nanjing,13651608,0.0021940075970894386
455,23.3925,113.2989,Guangzhou,39293380,0.0003944291796395206
457,30.2294,120.4344,Hangzhou,12817942,0.000246519901270722
458,24.9922,102.7436,Kunming,11115277,0.002465181263416323
472,28.8639,115.9022,Nanchang,10823928,0.0007888583592790412
473,22.3089,113.9147,Hong Kong,36745880,0.0008628107798020784
475,19.9347,110.4589,Haikou,5945540,0.00014790927836879863
476,36.8572,117.2161,Jinan,24300017,0.00022186613621456012
477,30.7839,114.2081,Wuhan,30649978,0.00044373227242912024
481,34.5194,113.8411,Zhengzhou,32471775,0.002292618219991362
2874,40.4936,-3.5667,Madrid,6752288,0.00017256304342496058
3151,34.4272,135.2442,Osaka,19601735,0.00034512608684992115
