id,lat,lng,label,population,risk
182,2.7456,101.7147,Kuala Lumpur,8711663,0.0013164027565342109
186,5.9372,116.0531,Kota Kinabalu,1537665,0.00018266925684642813
221,11.5467,104.8442,Phnom Penh,12169535,0.0015139837975053161
222,13.4106,103.8128,Siem Reap,4814927,0.003430585490070489
312,35.2931,116.3467,Jining,25722140,0.002428426465634473
315,30.5786,103.9472,Chengdu,62854385,0.020431983023024847
316,34.2294,117.2458,Xuzhou,20796535,0.008134592732742361
322,39.1244,117.3461,Tianjin,14241195,0.020702807173948002
323,28.8003,104.545,Yibin,52581734,0.0025466242363178337
325,29.7194,106.6419,Chongqing,16205267,0.002163961743931948
328,37.1872,122.2289,Weihai,2392348,0.00010021590639083615
330,27.8111,107.2461,Zunyi,7545282,0.003778411820313926
331,23.72,106.9603,Baise,3943002,0.0020639651458983924
334,30.8039,108.4272,Wanzhou,6879185,0.0020510269790998533
338,27.8833,109.3083,Tongren,3899266,0.010252722700930913
343,36.5167,103.6167,Lanzhou,6850245,0.009162847359660388
346,31.4947,120.4294,Wuxi,7494542,0.005696078911592262
348,34.4478,108.7539,Xi'an,22353249,0.02540440222205152
349,39.4922,109.8631,Ordos,1651796,0.0011736444234527624
353,32.1506,112.2908,Xiangyang,11750932,0.005785330268510697
354,25.0536,99.1681,Baoshan,2095138,0.005746954345357296
355,40.5606,109.9964,Baotou,3343659,0.0013911809065701838
358,45.6233,126.2503,Harbin,12100114,0.007230018151243894
360,30.3211,109.4853,Enshi,3774134,0.0010800072546398355
362,31.9194,119.7783,Changzhou,6991084,0.00352509985284019
363,23.4275,116.7625,Shantou,16909762,0.014383942381252825
372,29.2981,90.9122,Lhasa,1019683,0.0017370025553589382
373,18.3028,109.4122,Sanya,2888131,0.02681553861024036
375,26.6742,100.2436,Lijiang,1495973,0.011927885233580071
376,25.935,119.6633,Fuzhou,10913454,0.024251151817987288
378,37.4017,121.3717,Yantai,6160152,0.001361138069435896
379,43.9072,87.4742,Urumqi,5237049,0.0062458409516280575
380,34.5719,118.8739,Lianyungang,7795627,0.0013927159466541074
381,34.7414,112.3894,Luoyang,11740472,0.00011381191931652342
387,38.27,109.7306,Yulin,3211960,0.000539016838393022
388,25.6503,100.3194,Dali,3767440,0.004148543619542595
389,24.7956,118.5881,Quanzhou,9437088,0.020509831253228663
391,36.2661,120.3744,Qingdao,8200069,0.017384937140352327
394,38.9656,121.5386,Dalian,5749540,0.007148880532514945
395,32.5631,119.7189,Yangzhou,8985870,0.005723709554158198
398,28.8528,105.3933,Luzhou,9659760,0.0009216792913065617
399,21.9731,100.7631,Jinghong,1382281,0.0036496570132718343
400,27.9892,102.1844,Xichang,4562370,0.0031632699965573963
402,30.5569,111.4797,Yichang,11664371,0.008762641619696537
403,29.345,120.0325,Yiwu,6139309,0.0007166423977454643
405,31.4289,104.7408,Mianyang,8917604,0.001805640545059216
407,29.8267,121.4619,Ningbo,6757958,0.016601849639117656
412,31.1433,121.8053,Shanghai,20308438,0.06542234428131505
413,41.6397,123.4833,Shenyang,13195977,0.007517289086903305
420,40.08,116.5844,Beijing,28331507,0.0564939188062229
421,24.9378,98.4856,Tengchong,1002556,0.003226864328236034
427,26.8578,114.7364,Ji'an,5652245,0.005312539264721947
429,40.8514,111.8242,Hohhot,4401373,0.0008609357314384902
430,24.5442,118.1278,Xiamen,8240158,0.03660292623891721
432,32.9811,112.6156,Nanyang,12735325,0.002144883456270061
434,28.5653,121.4303,Taizhou,5349916,0.0041077555412931885
437,25.0856,104.9594,Xingyi,7357766,0.025683997996763654
438,31.9911,116.9892,Hefei,14358834,0.02095937742634597
439,36.5286,102.0403,Xining,3472426,0.003782766528607525
440,38.2806,114.6972,Shijiazhuang,24520869,0.007338128526939283
442,33.4261,120.2031,Yancheng,6283873,0.005049171005861131
445,31.7419,118.8619,Nanjing,13651608,0.04799267182806104
447,24.2642,116.0983,Meixian,6486268,0.0003701629028295616
449,33.7875,119.1278,Huai'an,10190694,0.0016453389643998034
451,21.5394,109.2939,Beihai,5621760,0.003589132761761043
452,27.3006,105.3017,Bijie,6594987,0.013421277148902316
453,37.7469,112.6283,Taiyuan,11233266,0.013297137080677802
455,23.3925,113.2989,Guangzhou,39293380,0.021176256023863898
456,28.1936,113.2178,Changsha,18325936,0.0039316650220246685
457,30.2294,120.4344,Hangzhou,12817942,0.04813279865821685
458,24.9922,102.7436,Kunming,11115277,0.003442207925142384
465,27.9131,120.8522,Wenzhou,9918949,0.04855054764575867
469,21.2153,110.3583,Zhanjiang,11700739,0.0054320527671319506
470,22.6083,108.1725,Nanning,8261012,0.0063949587139301356
471,30.5825,117.0503,Anqing,4642340,0.0007767280720140405
472,28.8639,115.9022,Nanchang,10823928,0.016611937034105632
473,22.3089,113.9147,Hong Kong,36745880,0.05568561285699065
475,19.9347,110.4589,Haikou,5945540,0.0215062886945712
476,36.8572,117.2161,Jinan,24300017,0.01801188960393714
477,30.7839,114.2081,Wuhan,30649978,0.018017810455915557
478,25.4483,107.9608,Libo,3257335,0.005593245769568093
479,26.3417,111.6089,Yongzhou,18814432,0.001225835667889132
480,35.1164,111.0336,Yuncheng,12627248,0.004370246645669575
481,34.5194,113.8411,Zhengzhou,32471775,0.03542665031253882
482,28.9186,111.6408,Changde,10758043,0.0014144257372416286
483,43.9961,125.6853,Changchun,16217434,0.0025345632240037236
487,31.1319,107.4306,Dazhou,9124364,0.0014865724238243144
538,13.6858,100.7489,Bangkok,23541053,0.004999611264350395
549,8.1122,98.3053,Phuket,711102,0.001787220142996823
596,14.5086,121.0194,Manila,26922690,0.00025942102420853933
791,51.4775,-0.4614,London (UK),17233070,0.0002975776390046609
1129,10.8189,106.6519,Ho Chi Minh City,16228217,0.00016139804350112186
1137,11.9981,109.2192,Nha Trang,1733076,0.002462197268536104
1238,-8.7481,115.1672,Denpasar,5493498,0.0009357139209468097
1314,-6.1256,106.6558,Jakarta,36994844,0.0002061333564028066
1535,49.0097,2.5478,Paris,13528665,0.0002092034365706542
1612,-33.9461,151.1772,Sydney (AU),4670715,0.0004146789468463124
1648,-37.6733,144.8433,Melbourne (AU),4144035,0.00034626018655862216
1890,55.4089,37.9064,Moscow,24597359,0.0001260922005155673
2375,37.6189,-122.3917,San Francisco,7595097,0.00013552170990404415
2393,33.9425,-118.4081,Los Angeles,19797290,0.00029450755883681325
2518,40.6397,-73.7789,New York,16714154,0.00018617791425649017
2766,49.1939,-123.1844,Vancouver,2794226,0.00019187945787762443
2803,37.4692,126.4506,Seoul,27019922,0.0024207513046872004
2804,35.8942,128.6589,Daegu,4110186,0.0001947302296881916
2806,35.1403,129.0628,Pusan,4350635,0.0004368273146760476
2821,1.3592,103.9894,Singapore,4091180,0.0007561147442682293
2825,25.0778,121.2328,Taipei,10434115,0.00541779886860677
2828,22.5772,120.35,Kaohsiung,5680715,0.00012389931430449512
3046,-37.0097,174.7917,Auckland,1473397,0.00014385475645081156
3106,35.5522,139.7797,Tokyo,32212732,0.00027235919100707806
3127,35.7647,140.3864,Tokyo Narita,8512151,0.0006298032353953812
3151,34.4272,135.2442,Osaka,19601735,0.0018801994262102547
3158,42.7753,141.6922,Sapporo,3205804,0.00011381191931652342
3181,25.2528,55.3644,Dubai,1501658,0.00017740625099516176
