id,lat,lng,label,population,risk
315,30.5786,103.9472,Chengdu,62854385,0.026539331329718037
322,39.1244,117.3461,Tianjin,14241195,0.12825529562740978
325,29.7194,106.6419,Chongqing,16205267,0.07614601866449787
343,36.5167,103.6167,Lanzhou,6850245,0.22378936547433434
348,34.4478,108.7539,Xi'an,22353249,0.17482567217934342
358,45.6233,126.2503,Harbin,12100114,0.02568864795742048
376,25.935,119.6633,Fuzhou,10913454,0.01938765873500606
379,43.9072,87.4742,Urumqi,5237049,0.00015826679813670192
412,31.1433,121.8053,Shanghai,20308438,0.12219170749245005
420,40.08,116.5844,Beijing,28331507,0.17309420301288092
473,22.3089,113.9147,Hong Kong,36745880,0.02961563698828362
