id,lat,lng,label,population,risk
173,5.2972,100.2767,Penang,2621408,0.0001713497583620863
179,1.6389,103.6703,Johor Bahru,3162256,0.0010087872450769073
182,2.7456,101.7147,Kuala Lumpur,8711663,0.0023132217792695923
221,11.5467,104.8442,Phnom Penh,12169535,0.0004582609867986248
312,35.2931,116.3467,Jining,25722140,0.0022436396819225084
314,49.2086,119.8167,Hailar,851974,0.0007819556968644879
315,30.5786,103.9472,Chengdu,62854385,0.019296159493263163
316,34.2294,117.2458,Xuzhou,20796535,0.002339736542507464
322,39.1244,117.3461,Tianjin,14241195,0.02722223545562881
325,29.7194,106.6419,Chongqing,16205267,0.04279713179067755
328,37.1872,122.2289,Weihai,2392348,0.000109584143619485
330,27.8111,107.2461,Zunyi,7545282,0.005634464474759984
331,23.72,106.9603,Baise,3943002,0.0005824052683336655
334,30.8039,108.4272,Wanzhou,6879185,0.004050935194735242
336,46.8433,130.4653,Jiamusi,4290598,0.00012460408436622841
337,26.2572,105.8728,Anshun,4959935,0.0018520487538528085
341,27.8033,114.3078,Yichun (Jiangxi),6299510,0.0014382344820693393
343,36.5167,103.6167,Lanzhou,6850245,0.016772198961408916
344,27.7069,118.0031,Wuyishan,6414192,0.0011292531591376828
347,39.7925,106.7994,Wuhai,1112404,0.001019975541543117
348,34.4478,108.7539,Xi'an,22353249,0.03571462389070035
349,39.4922,109.8631,Ordos,1651796,0.0013669664777913929
353,32.1506,112.2908,Xiangyang,11750932,0.003054715654618109
355,40.5606,109.9964,Baotou,3343659,0.0011674160492605706
358,45.6233,126.2503,Harbin,12100114,0.01426126590975802
361,36.6367,109.5533,Yan'an,3357246,0.0014141719546184382
362,31.9194,119.7783,Changzhou,6991084,0.003684786202610007
363,23.4275,116.7625,Shantou,16909762,0.007612956496716155
367,32.39,105.6931,Guangyuan,7423759,0.0006512210644122598
372,29.2981,90.9122,Lhasa,1019683,0.00011326251109375014
375,26.6742,100.2436,Lijiang,1495973,0.00022391950959426094
376,25.935,119.6633,Fuzhou,10913454,0.00934423278289565
378,37.4017,121.3717,Yantai,6160152,0.003700112641794051
379,43.9072,87.4742,Urumqi,5237049,0.00795780172320238
380,34.5719,118.8739,Lianyungang,7795627,0.0011097885772358037
381,34.7414,112.3894,Luoyang,11740472,0.0031348729963815627
382,35.0494,118.4119,Linyi,12843250,0.0024186677801712425
387,38.27,109.7306,Yulin,3211960,0.0016029938895142386
389,24.7956,118.5881,Quanzhou,9437088,0.004464136414468875
391,36.2661,120.3744,Qingdao,8200069,0.005169459832650285
393,29.5147,108.8317,Qianjiang,3949506,0.0017823134072870754
394,38.9656,121.5386,Dalian,5749540,0.005761827320938103
397,24.2078,109.3914,Liuzhou,8005244,0.0023254829306168273
398,28.8528,105.3933,Luzhou,9659760,0.0016184736055045515
399,21.9731,100.7631,Jinghong,1382281,0.00020047003419319768
400,27.9892,102.1844,Xichang,4562370,0.001788750508985612
402,30.5569,111.4797,Yichang,11664371,0.002236129725342946
403,29.345,120.0325,Yiwu,6139309,0.00028936346422350924
404,29.1044,110.4431,Zhangjiajie,2982561,0.0009819659282264976
405,31.4289,104.7408,Mianyang,8917604,0.007217840477978458
406,41.1056,122.8561,Anshan,8750351,0.0010771432107366957
407,29.8267,121.4619,Ningbo,6757958,0.0048482173583713935
408,36.5258,114.425,Handan,26271177,0.0011710943891472176
412,31.1433,121.8053,Shanghai,20308438,0.040319150603963065
413,41.6397,123.4833,Shenyang,13195977,0.016667979064606944
420,40.08,116.5844,Beijing,28331507,0.0705252934851756
423,28.9672,118.9,Quzhou,3373956,0.0006601104018977673
427,26.8578,114.7364,Ji'an,5652245,0.0017191684116385293
429,40.8514,111.8242,Hohhot,4401373,0.009459794252970102
430,24.5442,118.1278,Xiamen,8240158,0.0139824777175385
431,45.4661,84.9539,Karamay,5802370,0.00019035456502039576
432,32.9811,112.6156,Nanyang,12735325,0.0014708798485684475
435,29.3392,117.1764,Jingdezhen,4398562,0.0005820987423087463
436,44.5242,129.5689,Mudanjiang,3143833,0.000358025983495835
438,31.9911,116.9892,Hefei,14358834,0.012492133287068174
439,36.5286,102.0403,Xining,3472426,0.00222202936267096
440,38.2806,114.6972,Shijiazhuang,24520869,0.021571065133191212
442,33.4261,120.2031,Yancheng,6283873,0.0008090835397398163
443,29.7328,118.2572,Huangshan,1892668,0.0007456320180663511
445,31.7419,118.8619,Nanjing,13651608,0.02418238646495117
447,24.2642,116.0983,Meixian,6486268,0.0017671402173216816
449,33.7875,119.1278,Huai'an,10190694,0.00029089609434810465
450,25.8514,114.7753,Ganzhou,7056603,0.0029454380370235425
452,27.3006,105.3017,Bijie,6594987,0.0017302034588860885
453,37.7469,112.6283,Taiyuan,11233266,0.033074948639553
454,32.8808,115.7336,Fuyang,25324297,0.0023716155801504647
455,23.3925,113.2989,Guangzhou,39293380,0.05239838919732253
456,28.1936,113.2178,Changsha,18325936,0.034462759080152235
457,30.2294,120.4344,Hangzhou,12817942,0.031812508557000886
458,24.9922,102.7436,Kunming,11115277,0.025083122196533192
460,26.5386,106.8008,Guiyang,7252992,0.015030960455275268
461,25.2181,110.0392,Guilin,4941136,0.007932513064064181
462,34.5597,105.86,Tianshui,8609117,0.0004305201194610764
