id,lat,lng,label,population,risk
182,2.7456,101.7147,Kuala Lumpur,8711663,0.000359481258567634
221,11.5467,104.8442,Phnom Penh,12169535,0.0006012019537717897
222,13.4106,103.8128,Siem Reap,4814927,0.00014875059632364743
315,30.5786,103.9472,Chengdu,62854385,0.1201040114041822
325,29.7194,106.6419,Chongqing,16205267,0.054982076249442326
349,39.4922,109.8631,Ordos,1651796,0.033902824959785874
358,45.6233,126.2503,Harbin,12100114,0.01084022717953025
376,25.935,119.6633,Fuzhou,10913454,0.0005144303077362199
394,38.9656,121.5386,Dalian,5749540,0.06033711110468078
412,31.1433,121.8053,Shanghai,20308438,0.22463255585463776
413,41.6397,123.4833,Shenyang,13195977,0.0815961041392533
429,40.8514,111.8242,Hohhot,4401373,0.047482548517223416
430,24.5442,118.1278,Xiamen,8240158,0.06993154855364966
438,31.9911,116.9892,Hefei,14358834,0.06788622311276239
455,23.3925,113.2989,Guangzhou,39293380,0.056531565625495925
465,27.9131,120.8522,Wenzhou,9918949,0.07308011158161958
473,22.3089,113.9147,Hong Kong,36745880,0.04287746621208042
475,19.9347,110.4589,Haikou,5945540,0.04735858950101502
538,13.6858,100.7489,Bangkok,23541053,0.00015494904916858602
566,27.6967,85.3592,Kathmandu,4670436,0.00011776167899573948
596,14.5086,121.0194,Manila,26922690,0.0006631809040598673
1129,10.8189,106.6519,Ho Chi Minh City,16228217,0.00014875059632364743
1314,-6.1256,106.6558,Jakarta,36994844,0.0005330245506387738
1612,-33.9461,151.1772,Sydney (AU),4670715,0.0004338571145455884
1648,-37.6733,144.8433,Melbourne (AU),4144035,0.00028510651822194087
2393,33.9425,-118.4081,Los Angeles,19797290,0.00013635480626603198
2803,37.4692,126.4506,Seoul,27019922,0.00033468967845240287
2821,1.3592,103.9894,Singapore,4091180,0.0004338571145455884
2825,25.0778,121.2328,Taipei,10434115,0.00046484714750575794
3046,-37.0097,174.7917,Auckland,1473397,0.000272709612532064
3106,35.5522,139.7797,Tokyo,32212732,0.00030989809833717203
3127,35.7647,140.3864,Tokyo Narita,8512151,0.00010536477330586248
3141,34.8583,136.8053,Nagoya,11834566,0.00014875059632364743
3151,34.4272,135.2442,Osaka,19601735,0.00013015746905335502
