id,lat,lng,label,population,risk
43,36.6942,3.2147,Algiers,8395497,0.00024713398540053994
69,23.8433,90.3978,Dhaka,57695473,0.00031683842369841213
73,25.2611,51.565,Doha,698380,0.00015622571500226322
105,24.9067,67.1608,Karachi,16780358,0.0001055315680879161
108,33.6167,73.0992,Islamabad,15343183,0.0002819862155169602
151,31.7225,35.9933,Amman,7093425,0.00030428675217089926
173,5.2972,100.2767,Penang,2621408,0.00031525423640561313
182,2.7456,101.7147,Kuala Lumpur,8711663,0.00579863078557799
186,5.9372,116.0531,Kota Kinabalu,1537665,0.0022980535372920164
221,11.5467,104.8442,Phnom Penh,12169535,0.0005171778170091628
222,13.4106,103.8128,Siem Reap,4814927,0.0005492272407244964
223,10.5797,103.6369,Sihanoukville,1091383,0.001083953032509201
271,33.8208,35.4883,Beirut,4273551,0.00011138090032475294
310,41.6992,86.1303,Korla,1069639,0.0006513466928571822
311,41.1025,121.0619,Jinzhou,4242220,0.0012649165223819784
313,46.1947,122.0083,Ulanhot,3271330,0.0009825647167455384
314,49.2086,119.8167,Hailar,851974,0.00014672056931050082
315,30.5786,103.9472,Chengdu,62854385,0.05054901296711098
322,39.1244,117.3461,Tianjin,14241195,0.016660583430268886
323,28.8003,104.545,Yibin,52581734,0.0017277443570869
325,29.7194,106.6419,Chongqing,16205267,0.04110284066643682
327,36.6469,119.1186,Weifang,9193768,0.0021235486672752514
328,37.1872,122.2289,Weihai,2392348,0.003077597946945502
329,46.75,125.1392,Daqing,6192883,0.0007161767205268098
330,27.8111,107.2461,Zunyi,7545282,0.0017387118413216135
336,46.8433,130.4653,Jiamusi,4290598,0.00027479641542198815
337,26.2572,105.8728,Anshun,4959935,0.0012689379259563842
338,27.8833,109.3083,Tongren,3899266,0.003004968809626759
339,42.065,127.6025,Baishan,3207170,0.002962195621111375
340,40.0922,94.6817,Dunhuang,506179,0.0003577837054863329
343,36.5167,103.6167,Lanzhou,6850245,0.010301392351547171
344,27.7069,118.0031,Wuyishan,6414192,0.0007740606675361287
348,34.4478,108.7539,Xi'an,22353249,0.0373910784112902
349,39.4922,109.8631,Ordos,1651796,0.0016880176944072665
351,41.2628,80.2919,Aksu,1817143,0.001833032205740152
353,32.1506,112.2908,Xiangyang,11750932,0.0035477374304952428
354,25.0536,99.1681,Baoshan,2095138,0.002272584604117511
355,40.5606,109.9964,Baotou,3343659,0.0017651556522347747
358,45.6233,126.2503,Harbin,12100114,0.02036186564005012
360,30.3211,109.4853,Enshi,3774134,0.0035493216177880428
361,36.6367,109.5533,Yan'an,3357246,0.0008295073982638416
363,23.4275,116.7625,Shantou,16909762,0.008079014477409649
367,32.39,105.6931,Guangyuan,7423759,0.003864332134758992
368,43.5575,122.2,Tongliao,4930093,0.0006442787634470264
372,29.2981,90.9122,Lhasa,1019683,0.0007039906171838084
373,18.3028,109.4122,Sanya,2888131,0.014839249889002403
375,26.6742,100.2436,Lijiang,1495973,0.007053676550213757
376,25.935,119.6633,Fuzhou,10913454,0.00027382151574836453
378,37.4017,121.3717,Yantai,6160152,0.005034440853853104
379,43.9072,87.4742,Urumqi,5237049,0.010378286611874985
381,34.7414,112.3894,Luoyang,11740472,0.003419295994264276
382,35.0494,118.4119,Linyi,12843250,0.0029351425006440713
383,43.9553,81.3289,Yining,1687819,0.0006891236000595053
386,37.0381,79.865,Hotan,1394729,0.0016503626578897596
387,38.27,109.7306,Yulin,3211960,0.0017789259428705746
388,25.6503,100.3194,Dali,3767440,0.00036168326031089086
389,24.7956,118.5881,Quanzhou,9437088,0.007288015144652122
391,36.2661,120.3744,Qingdao,8200069,0.017726744768567882
393,29.5147,108.8317,Qianjiang,3949506,0.0008359660181198538
394,38.9656,121.5386,Dalian,5749540,0.009407298666983336
397,24.2078,109.3914,Liuzhou,8005244,0.0027564943783030525
398,28.8528,105.3933,Luzhou,9659760,0.000735065163160487
399,21.9731,100.7631,Jinghong,1382281,0.006242204587529754
400,27.9892,102.1844,Xichang,4562370,0.001036061670060972
401,47.31,119.9942,Aershan,489989,0.0003267091595096545
402,30.5569,111.4797,Yichang,11664371,0.002764537185451864
405,31.4289,104.7408,Mianyang,8917604,0.005105973220813408
411,39.9678,119.7292,Qinhuangdao,4523764,0.00107140133904672
413,41.6397,123.4833,Shenyang,13195977,0.017229186574431354
414,24.4014,98.5322,Mangshi,1327739,0.0002933192679361855
418,30.7939,106.1597,Nanchong,12341109,0.0002674847446422001
419,27.3258,103.7547,Zhaotong,7135359,0.0007676020257451484
420,40.08,116.5844,Beijing,28331507,0.07730614053510754
421,24.9378,98.4856,Tengchong,1002556,0.0013385205155044086
425,39.8572,98.3414,Jiayuguan,1106084,0.0007201981241012152
