id,lat,lng,label,population,risk
173,5.2972,100.2767,Penang,2621408,0.0003108473306328577
182,2.7456,101.7147,Kuala Lumpur,8711663,0.0016291806851844485
186,5.9372,116.0531,Kota Kinabalu,1537665,0.00018736004172675497
221,11.5467,104.8442,Phnom Penh,12169535,0.000668108848107702
311,41.1025,121.0619,Jinzhou,4242220,0.00027763349303433553
312,35.2931,116.3467,Jining,25722140,0.001722221985034639
313,46.1947,122.0083,Ulanhot,3271330,0.0005275897411514543
314,49.2086,119.8167,Hailar,851974,0.0031987468342834463
315,30.5786,103.9472,Chengdu,62854385,0.0282960496416584
316,34.2294,117.2458,Xuzhou,20796535,0.008988597780522026
322,39.1244,117.3461,Tianjin,14241195,0.031031506197215918
325,29.7194,106.6419,Chongqing,16205267,0.0152153383069996
328,37.1872,122.2289,Weihai,2392348,0.004967595894002645
329,46.75,125.1392,Daqing,6192883,0.0021974673527137213
330,27.8111,107.2461,Zunyi,7545282,0.0009238127472328844
335,52.9164,122.4222,Mohe,253739,0.002937507314720332
336,46.8433,130.4653,Jiamusi,4290598,0.0035070402326778413
339,42.065,127.6025,Baishan,3207170,0.0030390649713936376
343,36.5167,103.6167,Lanzhou,6850245,0.0022570497070631052
344,27.7069,118.0031,Wuyishan,6414192,0.0027731414594101738
346,31.4947,120.4294,Wuxi,7494542,0.0055388311161810345
348,34.4478,108.7539,Xi'an,22353249,0.028608174452641282
349,39.4922,109.8631,Ordos,1651796,0.00143883990707251
353,32.1506,112.2908,Xiangyang,11750932,0.002170182806149499
355,40.5606,109.9964,Baotou,3343659,0.0013462244595547547
356,43.4233,112.0911,Erenhot,360972,0.00011518385824920525
357,45.2925,131.1919,Jixi,2822034,0.006968941740264211
362,31.9194,119.7783,Changzhou,6991084,0.005937822828077515
363,23.4275,116.7625,Shantou,16909762,0.003926896070809034
366,36.0789,106.2164,Guyuan,5702804,0.0005529250281821408
367,32.39,105.6931,Guangyuan,7423759,0.0008005383461693553
368,43.5575,122.2,Tongliao,4930093,0.0018120696223334282
372,29.2981,90.9122,Lhasa,1019683,0.0007756279775513747
373,18.3028,109.4122,Sanya,2888131,0.03946888224391461
374,47.7514,129.0178,Yichun (Heilongjiang),2862117,0.0013696453123696966
375,26.6742,100.2436,Lijiang,1495973,0.0013711348281727352
376,25.935,119.6633,Fuzhou,10913454,0.01014512020213985
378,37.4017,121.3717,Yantai,6160152,0.016245179777159925
379,43.9072,87.4742,Urumqi,5237049,0.0007411366979264782
380,34.5719,118.8739,Lianyungang,7795627,0.00248912067959668
382,35.0494,118.4119,Linyi,12843250,0.0046646262183415365
387,38.27,109.7306,Yulin,3211960,0.0020899160415339814
389,24.7956,118.5881,Quanzhou,9437088,0.003304988483377101
391,36.2661,120.3744,Qingdao,8200069,0.036240753974759066
394,38.9656,121.5386,Dalian,5749540,0.004136824446619953
395,32.5631,119.7189,Yangzhou,8985870,0.002826155820873893
397,24.2078,109.3914,Liuzhou,8005244,0.00011007401349642088
399,21.9731,100.7631,Jinghong,1382281,0.00021525114672991908
401,47.31,119.9942,Aershan,489989,0.0005695319278195798
402,30.5569,111.4797,Yichang,11664371,0.0017767267146909487
403,29.345,120.0325,Yiwu,6139309,0.00020226368532902858
404,29.1044,110.4431,Zhangjiajie,2982561,0.0001237002150723205
405,31.4289,104.7408,Mianyang,8917604,0.0007664728805532504
406,41.1056,122.8561,Anshan,8750351,0.0033181888326205646
407,29.8267,121.4619,Ningbo,6757958,0.0054342927231225465
408,36.5258,114.425,Handan,26271177,0.00037237808724333547
411,39.9678,119.7292,Qinhuangdao,4523764,0.0006057265018032856
412,31.1433,121.8053,Shanghai,20308438,0.09740209621868068
413,41.6397,123.4833,Shenyang,13195977,0.00041708897972651235
420,40.08,116.5844,Beijing,28331507,0.08794062721010218
426,50.3781,124.1156,Jiagedaqi,850410,0.002992650784551651
429,40.8514,111.8242,Hohhot,4401373,0.01368409584025191
430,24.5442,118.1278,Xiamen,8240158,0.018401310606048372
