id,lat,lng,label,population,risk
69,23.8433,90.3978,Dhaka,57695473,0.00017784919542224793
182,2.7456,101.7147,Kuala Lumpur,8711663,0.0007997524516764957
186,5.9372,116.0531,Kota Kinabalu,1537665,0.00015926788627923565
221,11.5467,104.8442,Phnom Penh,12169535,0.001070128680139141
222,13.4106,103.8128,Siem Reap,4814927,0.004542548291171098
315,30.5786,103.9472,Chengdu,62854385,0.040982287489367886
322,39.1244,117.3461,Tianjin,14241195,0.0001793660174827499
323,28.8003,104.545,Yibin,52581734,0.0002601375771677442
325,29.7194,106.6419,Chongqing,16205267,0.05391484165724445
330,27.8111,107.2461,Zunyi,7545282,0.0022627419361731307
343,36.5167,103.6167,Lanzhou,6850245,0.035838313176274665
348,34.4478,108.7539,Xi'an,22353249,0.05014284668592565
349,39.4922,109.8631,Ordos,1651796,0.002603271901639582
353,32.1506,112.2908,Xiangyang,11750932,0.001948756629796166
354,25.0536,99.1681,Baoshan,2095138,0.0004015826335918938
355,40.5606,109.9964,Baotou,3343659,0.008196609152776558
358,45.6233,126.2503,Harbin,12100114,0.03174778243239739
363,23.4275,116.7625,Shantou,16909762,0.0047814501547187895
370,29.9347,122.3619,Zhoushan,1484739,0.00013689459024264375
371,22.7947,100.9592,Simao,2213550,0.0007314947763771553
373,18.3028,109.4122,Sanya,2888131,0.021253164855123824
375,26.6742,100.2436,Lijiang,1495973,0.013068690347088954
376,25.935,119.6633,Fuzhou,10913454,0.0007694156691780803
377,27.7917,99.6781,Deqen,748566,0.00026544652263717623
378,37.4017,121.3717,Yantai,6160152,0.019153482928638856
379,43.9072,87.4742,Urumqi,5237049,0.020497021481361646
387,38.27,109.7306,Yulin,3211960,0.00016230159865791486
388,25.6503,100.3194,Dali,3767440,0.0001888462577474
389,24.7956,118.5881,Quanzhou,9437088,0.01754298096296071
391,36.2661,120.3744,Qingdao,8200069,0.020602441638431657
394,38.9656,121.5386,Dalian,5749540,0.01329621590866753
398,28.8528,105.3933,Luzhou,9659760,0.0009738095236898137
399,21.9731,100.7631,Jinghong,1382281,0.0010166601223162077
404,29.1044,110.4431,Zhangjiajie,2982561,0.0001315856447732117
408,36.5258,114.425,Handan,26271177,0.004153479541964857
412,31.1433,121.8053,Shanghai,20308438,0.006215240575648898
413,41.6397,123.4833,Shenyang,13195977,0.03242277500683061
414,24.4014,98.5322,Mangshi,1327739,0.0005873952472182899
416,23.7389,100.025,Lincang,2848292,0.00019756801872412375
420,40.08,116.5844,Beijing,28331507,0.03545720784527258
429,40.8514,111.8242,Hohhot,4401373,0.011219665757507082
430,24.5442,118.1278,Xiamen,8240158,0.0448157143684561
