id,lat,lng,label,population,risk
182,2.7456,101.7147,Kuala Lumpur,8711663,0.0003054416569538101
222,13.4106,103.8128,Siem Reap,4814927,0.0017750430587534331
312,35.2931,116.3467,Jining,25722140,0.0026739616826968577
313,46.1947,122.0083,Ulanhot,3271330,0.020421077088185708
314,49.2086,119.8167,Hailar,851974,0.042403761130216086
315,30.5786,103.9472,Chengdu,62854385,0.01839239723927397
316,34.2294,117.2458,Xuzhou,20796535,0.0004264579612599822
317,40.9264,107.7389,Bayannur,1447780,0.008956445534376658
322,39.1244,117.3461,Tianjin,14241195,0.023773061384324324
325,29.7194,106.6419,Chongqing,16205267,0.019944886472705824
328,37.1872,122.2289,Weihai,2392348,0.00033320914134883845
329,46.75,125.1392,Daqing,6192883,0.00029590961338438106
338,27.8833,109.3083,Tongren,3899266,0.0028952722401523238
343,36.5167,103.6167,Lanzhou,6850245,0.0034506208090670553
347,39.7925,106.7994,Wuhai,1112404,0.015830748538226167
348,34.4478,108.7539,Xi'an,22353249,0.04332505947093818
349,39.4922,109.8631,Ordos,1651796,0.00035186580157673314
350,38.4933,106.0119,Yinchuan,3423935,0.0060081250849636685
353,32.1506,112.2908,Xiangyang,11750932,0.0018023960707937207
356,43.4233,112.0911,Erenhot,360972,0.0096506324589747
358,45.6233,126.2503,Harbin,12100114,0.02663683626188423
359,49.5667,117.3306,Manzhouli,212335,0.010546234295772974
363,23.4275,116.7625,Shantou,16909762,0.0006092256482858237
368,43.5575,122.2,Tongliao,4930093,0.0466836747279602
370,29.9347,122.3619,Zhoushan,1484739,0.00012723286743389638
373,18.3028,109.4122,Sanya,2888131,0.025285764479460446
375,26.6742,100.2436,Lijiang,1495973,0.003922252601640071
376,25.935,119.6633,Fuzhou,10913454,0.0035621049206056867
378,37.4017,121.3717,Yantai,6160152,0.005962951179051579
379,43.9072,87.4742,Urumqi,5237049,0.009760043125833348
380,34.5719,118.8739,Lianyungang,7795627,0.003259149873983155
381,34.7414,112.3894,Luoyang,11740472,0.007757887344252408
387,38.27,109.7306,Yulin,3211960,0.0005495464035426916
389,24.7956,118.5881,Quanzhou,9437088,0.0009925819162093091
391,36.2661,120.3744,Qingdao,8200069,0.009405283212415315
394,38.9656,121.5386,Dalian,5749540,0.019657265709623815
395,32.5631,119.7189,Yangzhou,8985870,0.0035426262865130313
399,21.9731,100.7631,Jinghong,1382281,0.0002449335421002519
401,47.31,119.9942,Aershan,489989,0.0023805387542428108
402,30.5569,111.4797,Yichang,11664371,0.003994779444993392
407,29.8267,121.4619,Ningbo,6757958,0.0022462604535707646
408,36.5258,114.425,Handan,26271177,0.003175018699885755
412,31.1433,121.8053,Shanghai,20308438,0.03127855528088359
413,41.6397,123.4833,Shenyang,13195977,0.01228439229891669
420,40.08,116.5844,Beijing,28331507,0.09516021348314467
426,50.3781,124.1156,Jiagedaqi,850410,0.0006237309871168655
430,24.5442,118.1278,Xiamen,8240158,0.011497786731221378
438,31.9911,116.9892,Hefei,14358834,0.012262012582138014
439,36.5286,102.0403,Xining,3472426,0.0065386072521693905
440,38.2806,114.6972,Shijiazhuang,24520869,0.011919685794975432
441,42.8828,129.4514,Yanji,1789684,0.00021012069906612893
445,31.7419,118.8619,Nanjing,13651608,0.023044062848796558
451,21.5394,109.2939,Beihai,5621760,0.00022959933315878383
453,37.7469,112.6283,Taiyuan,11233266,0.01538771302555955
455,23.3925,113.2989,Guangzhou,39293380,0.03518257251629712
456,28.1936,113.2178,Changsha,18325936,0.018014843136722518
457,30.2294,120.4344,Hangzhou,12817942,0.029342295307173506
458,24.9922,102.7436,Kunming,11115277,0.011847158951622113
460,26.5386,106.8008,Guiyang,7252992,0.0016270882893607706
461,25.2181,110.0392,Guilin,4941136,0.00029715288125049236
465,27.9131,120.8522,Wenzhou,9918949,0.0009934107863197354
