id,lat,lng,label,population,risk
315,30.5786,103.9472,Chengdu,62854385,0.0006934922401544244
330,27.8111,107.2461,Zunyi,7545282,0.00016739438180050868
343,36.5167,103.6167,Lanzhou,6850245,0.000227178653262169
346,31.4947,120.4294,Wuxi,7494542,0.0001235530131719354
348,34.4478,108.7539,Xi'an,22353249,0.019605098739961947
358,45.6233,126.2503,Harbin,12100114,0.06565059497798116
368,43.5575,122.2,Tongliao,4930093,0.014248470630884968
373,18.3028,109.4122,Sanya,2888131,0.0022518562899179148
375,26.6742,100.2436,Lijiang,1495973,0.00034276057372032
376,25.935,119.6633,Fuzhou,10913454,0.00014746700871880685
378,37.4017,121.3717,Yantai,6160152,0.09382069960766017
379,43.9072,87.4742,Urumqi,5237049,0.00036268866420754016
391,36.2661,120.3744,Qingdao,8200069,0.18476380533201786
394,38.9656,121.5386,Dalian,5749540,0.08318316984639543
402,30.5569,111.4797,Yichang,11664371,0.0002909481123779624
407,29.8267,121.4619,Ningbo,6757958,0.0008967568978697221
412,31.1433,121.8053,Shanghai,20308438,0.0324785418883115
413,41.6397,123.4833,Shenyang,13195977,0.04352658687006648
420,40.08,116.5844,Beijing,28331507,0.2640729853796161
430,24.5442,118.1278,Xiamen,8240158,0.0008369733438135799
445,31.7419,118.8619,Nanjing,13651608,0.039393534047151985
453,37.7469,112.6283,Taiyuan,11233266,0.0005420400437814844
455,23.3925,113.2989,Guangzhou,39293380,0.013714402397222786
457,30.2294,120.4344,Hangzhou,12817942,0.00898749706918444
458,24.9922,102.7436,Kunming,11115277,0.0008090741606125753
460,26.5386,106.8008,Guiyang,7252992,0.001414882946104335
461,25.2181,110.0392,Guilin,4941136,0.0008847999000962864
465,27.9131,120.8522,Wenzhou,9918949,0.0004145011255498978
469,21.2153,110.3583,Zhanjiang,11700739,0.0005101549555208288
470,22.6083,108.1725,Nanning,8261012,0.00041051522049024647
472,28.8639,115.9022,Nanchang,10823928,0.0008529155292411487
473,22.3089,113.9147,Hong Kong,36745880,0.012973082883380137
475,19.9347,110.4589,Haikou,5945540,0.003240281830104434
476,36.8572,117.2161,Jinan,24300017,0.0662005871532727
477,30.7839,114.2081,Wuhan,30649978,0.0003148613905193155
538,13.6858,100.7489,Bangkok,23541053,0.00013949519859950414
549,8.1122,98.3053,Phuket,711102,0.00041051522049024647
1090,19.0886,72.8681,Mumbai,28236589,0.00013949519859950414
1099,28.5664,77.1031,Delhi,62390146,0.00016739438180050868
1129,10.8189,106.6519,Ho Chi Minh City,16228217,0.000115581920458151
1612,-33.9461,151.1772,Sydney (AU),4670715,0.0001913083773473801
1890,55.4089,37.9064,Moscow,24597359,0.0007174055182957777
2518,40.6397,-73.7789,New York,16714154,0.0002391349336300864
2766,49.1939,-123.1844,Vancouver,2794226,0.00016340919414637565
2803,37.4692,126.4506,Seoul,27019922,0.03246259970288393
2821,1.3592,103.9894,Singapore,4091180,0.00034674576137445304
2825,25.0778,121.2328,Taipei,10434115,0.00010761082774436664
3106,35.5522,139.7797,Tokyo,32212732,0.001319229116133404
3141,34.8583,136.8053,Nagoya,11834566,0.0017138021511960814
3151,34.4272,135.2442,Osaka,19601735,0.0004503714014646866
3181,25.2528,55.3644,Dubai,1501658,0.00025906302411730654
