id,lat,lng,label,population,risk
69,23.8433,90.3978,Dhaka,57695473,0.00024751436759783455
115,31.5217,74.4036,Lahore,16428675,0.00019921887991210057
173,5.2972,100.2767,Penang,2621408,0.00013492548374552596
182,2.7456,101.7147,Kuala Lumpur,8711663,0.0012958281419893324
186,5.9372,116.0531,Kota Kinabalu,1537665,0.0001313033588434773
221,11.5467,104.8442,Phnom Penh,12169535,0.0007392227401346671
222,13.4106,103.8128,Siem Reap,4814927,0.0017993085562888651
315,30.5786,103.9472,Chengdu,62854385,0.05865788092403223
325,29.7194,106.6419,Chongqing,16205267,0.057485508094933774
328,37.1872,122.2289,Weihai,2392348,0.0038974453509472563
330,27.8111,107.2461,Zunyi,7545282,0.004829849987492442
336,46.8433,130.4653,Jiamusi,4290598,0.0050136747007397935
338,27.8833,109.3083,Tongren,3899266,0.0008816943989247531
339,42.065,127.6025,Baishan,3207170,0.0005910159687510454
342,29.3519,89.31,Xigaze,533212,0.0003779121680495912
343,36.5167,103.6167,Lanzhou,6850245,0.021162476364983016
344,27.7069,118.0031,Wuyishan,6414192,0.005741125399111761
348,34.4478,108.7539,Xi'an,22353249,0.043990241306568666
353,32.1506,112.2908,Xiangyang,11750932,0.004574487628274419
358,45.6233,126.2503,Harbin,12100114,0.037363195696146434
363,23.4275,116.7625,Shantou,16909762,0.006898405878121101
370,29.9347,122.3619,Zhoushan,1484739,0.0027996287139026746
371,22.7947,100.9592,Simao,2213550,0.00027286945924184265
372,29.2981,90.9122,Lhasa,1019683,0.00027105839679081843
373,18.3028,109.4122,Sanya,2888131,0.03848183979587367
375,26.6742,100.2436,Lijiang,1495973,0.011945283716457507
376,25.935,119.6633,Fuzhou,10913454,0.010538979623974938
378,37.4017,121.3717,Yantai,6160152,0.0036758898711419384
379,43.9072,87.4742,Urumqi,5237049,0.024364768651095613
381,34.7414,112.3894,Luoyang,11740472,0.0015825825763529453
382,35.0494,118.4119,Linyi,12843250,0.0016813261416838152
383,43.9553,81.3289,Yining,1687819,0.00158650657216304
387,38.27,109.7306,Yulin,3211960,0.003450410341194108
389,24.7956,118.5881,Quanzhou,9437088,0.011537186848229677
394,38.9656,121.5386,Dalian,5749540,0.027522991316240617
399,21.9731,100.7631,Jinghong,1382281,0.00043345195987183946
404,29.1044,110.4431,Zhangjiajie,2982561,0.0017199228643655876
405,31.4289,104.7408,Mianyang,8917604,0.008766233588629848
407,29.8267,121.4619,Ningbo,6757958,0.0030371821021888327
412,31.1433,121.8053,Shanghai,20308438,0.01956993286365081
413,41.6397,123.4833,Shenyang,13195977,0.02193399668432257
414,24.4014,98.5322,Mangshi,1327739,0.0001400569088553869
418,30.7939,106.1597,Nanchong,12341109,0.0017416558311075467
420,40.08,116.5844,Beijing,28331507,0.0015856010137713194
423,28.9672,118.9,Quzhou,3373956,0.001039258407803959
429,40.8514,111.8242,Hohhot,4401373,0.00954047052881215
430,24.5442,118.1278,Xiamen,8240158,0.03145514905065988
432,32.9811,112.6156,Nanyang,12735325,0.0011210588496619364
434,28.5653,121.4303,Taizhou,5349916,0.0056774356904288606
436,44.5242,129.5689,Mudanjiang,3143833,0.003161542973471425
438,31.9911,116.9892,Hefei,14358834,0.00011530545036263666
439,36.5286,102.0403,Xining,3472426,0.002034145323732279
441,42.8828,129.4514,Yanji,1789684,0.00013884953388803732
443,29.7328,118.2572,Huangshan,1892668,0.0013350682087551107
445,31.7419,118.8619,Nanjing,13651608,0.0007615593943603012
449,33.7875,119.1278,Huai'an,10190694,0.00023332752156801832
450,25.8514,114.7753,Ganzhou,7056603,0.0027443907386560554
451,21.5394,109.2939,Beihai,5621760,0.0006870032023064218
452,27.3006,105.3017,Bijie,6594987,0.0008152881237315253
453,37.7469,112.6283,Taiyuan,11233266,0.0004941231224715317
455,23.3925,113.2989,Guangzhou,39293380,0.052348378081303104
456,28.1936,113.2178,Changsha,18325936,0.025037283245129004
457,30.2294,120.4344,Hangzhou,12817942,0.007219268954140631
458,24.9922,102.7436,Kunming,11115277,0.04242486401366391
460,26.5386,106.8008,Guiyang,7252992,0.024792787369281963
461,25.2181,110.0392,Guilin,4941136,0.00886131531812592
463,27.4414,109.7003,Huaihua,5255897,0.0009167085989723916
465,27.9131,120.8522,Wenzhou,9918949,0.011163802417806273
469,21.2153,110.3583,Zhanjiang,11700739,0.002729600259474981
470,22.6083,108.1725,Nanning,8261012,0.041180953484262366
472,28.8639,115.9022,Nanchang,10823928,0.019957805956679658
473,22.3089,113.9147,Hong Kong,36745880,0.07180179811962392
474,39.5425,76.02,Kashi,3476362,0.0004002488222752255
475,19.9347,110.4589,Haikou,5945540,0.05006249257758727
477,30.7839,114.2081,Wuhan,30649978,0.010464725357161522
479,26.3417,111.6089,Yongzhou,18814432,0.001296431829473007
482,28.9186,111.6408,Changde,10758043,0.0041247359976785275
483,43.9961,125.6853,Changchun,16217434,0.02454859331001055
488,47.2397,123.9181,Qiqihar,4106294,0.001828587698075384
512,60.3172,24.9633,Helsinki,1565388,0.0014404127341384886
529,12.6797,101.005,U-Tapao,1370585,0.0010057533992992994
531,18.7714,98.9628,Chiang Mai,1497016,0.002919160030983452
538,13.6858,100.7489,Bangkok,23541053,0.012468384109807513
549,8.1122,98.3053,Phuket,711102,0.0010537470160769877
566,27.6967,85.3592,Kathmandu,4670436,0.00018986158808409942
575,17.9883,102.5633,Vientiane,1706759,0.0001986151924284258
596,14.5086,121.0194,Manila,26922690,0.0006459520730896189
733,50.0331,8.5706,Frankfurt,6970523,0.00019620038816130984
791,51.4775,-0.4614,London (UK),17233070,0.0002490235591408131
875,16.9072,96.1333,Yangon,11684460,0.00013703841710459614
884,21.7022,95.9781,Mandalay,7168138,0.0001261719337336164
1099,28.5664,77.1031,Delhi,62390146,0.0007220174566864769
1124,10.2269,103.9672,Phuquoc,87833,0.00010926852119347205
1125,21.2211,105.8072,Hanoi,20834462,0.000190465329900191
1129,10.8189,106.6519,Ho Chi Minh City,16228217,0.0007437504234284364
1238,-8.7481,115.1672,Denpasar,5493498,0.0021470360241602165
1314,-6.1256,106.6558,Jakarta,36994844,0.0011941057958404205
1535,49.0097,2.5478,Paris,13528665,0.002184163157566925
1595,-34.945,138.5306,Adelaide,1303638,0.00011983318798882281
1603,-27.3842,153.1175,Brisbane,1972855,0.0006136544395523088
