id,lat,lng,label,population,risk
69,23.8433,90.3978,Dhaka,57695473,0.000328082971060866
115,31.5217,74.4036,Lahore,16428675,0.0003064983810344612
173,5.2972,100.2767,Penang,2621408,0.00012518953429851404
182,2.7456,101.7147,Kuala Lumpur,8711663,0.000194259756159595
221,11.5467,104.8442,Phnom Penh,12169535,0.00037988583171643303
315,30.5786,103.9472,Chengdu,62854385,0.04820232056938783
322,39.1244,117.3461,Tianjin,14241195,0.01656819858600301
325,29.7194,106.6419,Chongqing,16205267,0.0691176212415839
349,39.4922,109.8631,Ordos,1651796,0.04205507859414187
358,45.6233,126.2503,Harbin,12100114,0.034919270476892424
376,25.935,119.6633,Fuzhou,10913454,0.02319893211427653
391,36.2661,120.3744,Qingdao,8200069,0.02282336273434197
394,38.9656,121.5386,Dalian,5749540,0.0788824119102192
406,41.1056,122.8561,Anshan,8750351,0.0199181000725508
407,29.8267,121.4619,Ningbo,6757958,0.0304556125370036
412,31.1433,121.8053,Shanghai,20308438,0.037155416287138206
413,41.6397,123.4833,Shenyang,13195977,0.034673207860077264
420,40.08,116.5844,Beijing,28331507,0.029803763823702763
429,40.8514,111.8242,Hohhot,4401373,0.027852531804465036
430,24.5442,118.1278,Xiamen,8240158,0.07172933565472522
453,37.7469,112.6283,Taiyuan,11233266,0.029255519277635
455,23.3925,113.2989,Guangzhou,39293380,0.07589944534596421
456,28.1936,113.2178,Changsha,18325936,0.053827219817413334
458,24.9922,102.7436,Kunming,11115277,0.025331472203211185
460,26.5386,106.8008,Guiyang,7252992,0.04780516737646588
465,27.9131,120.8522,Wenzhou,9918949,0.017729440671178712
470,22.6083,108.1725,Nanning,8261012,0.03407316123039296
473,22.3089,113.9147,Hong Kong,36745880,0.034712059811309176
475,19.9347,110.4589,Haikou,5945540,0.0631948572931267
483,43.9961,125.6853,Changchun,16217434,0.022249217146465942
538,13.6858,100.7489,Bangkok,23541053,0.0002978647004317041
575,17.9883,102.5633,Vientiane,1706759,0.00151090886922395
875,16.9072,96.1333,Yangon,11684460,0.000194259756159595
1129,10.8189,106.6519,Ho Chi Minh City,16228217,0.001200093259368598
1314,-6.1256,106.6558,Jakarta,36994844,0.000328082971060866
1603,-27.3842,153.1175,Brisbane,1972855,0.000289231019828947
1612,-33.9461,151.1772,Sydney (AU),4670715,0.0004489560535775139
1648,-37.6733,144.8433,Melbourne (AU),4144035,0.00016835871435132388
2803,37.4692,126.4506,Seoul,27019922,0.00010360494427210912
2821,1.3592,103.9894,Singapore,4091180,0.0005568782266705139
3046,-37.0097,174.7917,Auckland,1473397,0.00012518953429851404
