id,lat,lng,label,population,risk
173,5.2972,100.2767,"Penang",2621408,0.0013685726066779166
177,1.4842,110.3439,"Kuching",936145,0.0002254056566294382
182,2.7456,101.7147,"Kuala Lumpur",8711663,0.011618342453384105
186,5.9372,116.0531,"Kota Kinabalu",1537665,0.0008139349497742113
188,2.2642,111.9825,"Sibu",379973,0.00010920609294453102
221,11.5467,104.8442,"Phnom Penh",12169535,0.0014379696006007261
222,13.4106,103.8128,"Siem Reap",4814927,0.0009575704892737317
276,47.4647,8.5492,"Zurich",2620529,0.00032654227087387084
279,46.2381,6.1089,"Geneva",1102297,0.00010974400009142239
315,30.5786,103.9472,"Chengdu",62854385,0.002233075863574344
322,39.1244,117.3461,"Tianjin",14241195,0.0025553144899412047
325,29.7194,106.6419,"Chongqing",16205267,0.0020135877665585296
346,31.4947,120.4294,"Wuxi",7494542,0.008545509579327547
348,34.4478,108.7539,"Xi'an",22353249,0.0009387418024731386
358,45.6233,126.2503,"Harbin",12100114,0.00012749677576526306
373,18.3028,109.4122,"Sanya",2888131,0.0003803384082093144
376,25.935,119.6633,"Fuzhou",10913454,0.010036737313283856
389,24.7956,118.5881,"Quanzhou",9437088,0.003774333997505978
391,36.2661,120.3744,"Qingdao",8200069,0.0016230281542285816
394,38.9656,121.5386,"Dalian",5749540,0.00038410414556943305
407,29.8267,121.4619,"Ningbo",6757958,0.004995505327324255
412,31.1433,121.8053,"Shanghai",20308438,0.04288301865219748
413,41.6397,123.4833,"Shenyang",13195977,0.00035397834352145376
420,40.08,116.5844,"Beijing",28331507,0.0061644944349137035
430,24.5442,118.1278,"Xiamen",8240158,0.009468650525213321
438,31.9911,116.9892,"Hefei",14358834,0.00028404334561878315
445,31.7419,118.8619,"Nanjing",13651608,0.006994568148422172
453,37.7469,112.6283,"Taiyuan",11233266,0.00017107161214710326
455,23.3925,113.2989,"Guangzhou",39293380,0.005253726612235039
456,28.1936,113.2178,"Changsha",18325936,0.00382759213086156
457,30.2294,120.4344,"Hangzhou",12817942,0.009562793765550347
458,24.9922,102.7436,"Kunming",11115277,0.004731366482799849
460,26.5386,106.8008,"Guiyang",7252992,0.0003039479435461288
461,25.2181,110.0392,"Guilin",4941136,0.0021782038151121484
465,27.9131,120.8522,"Wenzhou",9918949,0.0006310282183998608
470,22.6083,108.1725,"Nanning",8261012,0.0005648589578573088
472,28.8639,115.9022,"Nanchang",10823928,0.0030631495770828128
473,22.3089,113.9147,"Hong Kong",36745880,0.16357401821781445
475,19.9347,110.4589,"Haikou",5945540,0.003874394700623658
476,36.8572,117.2161,"Jinan",24300017,0.0010275053903434324
477,30.7839,114.2081,"Wuhan",30649978,0.009088312213836977
481,34.5194,113.8411,"Zhengzhou",32471775,0.0010834533499323809
512,60.3172,24.9633,"Helsinki",1565388,0.0001759132606339744
531,18.7714,98.9628,"Chiang Mai",1497016,0.0003954012608168192
538,13.6858,100.7489,"Bangkok",23541053,0.014300077807963819
549,8.1122,98.3053,"Phuket",711102,0.0005272016810890923
566,27.6967,85.3592,"Kathmandu",4670436,0.00014309763235262896
575,17.9883,102.5633,"Vientiane",1706759,0.00012642086463851053
