id,lat,lng,label,population,risk
310,41.6992,86.1303,Korla,1069639,0.0428416430080505
315,30.5786,103.9472,Chengdu,62854385,0.03655110486167325
322,39.1244,117.3461,Tianjin,14241195,0.0012142321205584339
325,29.7194,106.6419,Chongqing,16205267,0.00274307594060442
343,36.5167,103.6167,Lanzhou,6850245,0.01739208813204446
348,34.4478,108.7539,Xi'an,22353249,0.041469254514135655
351,41.2628,80.2919,Aksu,1817143,0.01684619743178358
358,45.6233,126.2503,Harbin,12100114,0.00013094665825698142
364,44.8958,82.3,Bole,532021,0.02230343543225924
373,18.3028,109.4122,Sanya,2888131,0.00014285092774478993
378,37.4017,121.3717,Yantai,6160152,0.0002465878709023394
379,43.9072,87.4742,Urumqi,5237049,0.6150306252813543
383,43.9553,81.3289,Yining,1687819,0.039559474988806534
385,41.7181,82.9867,Kuqa,945321,0.0019863067533872378
386,37.0381,79.865,Hotan,1394729,0.02032733251335236
394,38.9656,121.5386,Dalian,5749540,0.0001615575494802284
403,29.345,120.0325,Yiwu,6139309,0.0001054373781650008
409,32.0997,80.0533,Shiquande,67845,0.0052106538601996155
412,31.1433,121.8053,Shanghai,20308438,0.01979504309306935
413,41.6397,123.4833,Shenyang,13195977,0.0005441936897708157
415,43.0303,89.0972,Turpan,816835,0.004363752740429058
420,40.08,116.5844,Beijing,28331507,0.01802301257824484
424,46.6728,83.3411,Tacheng,371870,0.0006598349024161736
431,45.4661,84.9539,Karamay,5802370,0.01472723985450561
438,31.9911,116.9892,Hefei,14358834,0.0004421571816207175
439,36.5286,102.0403,Xining,3472426,0.00011904238876917293
440,38.2806,114.6972,Shijiazhuang,24520869,0.0003469233318271616
445,31.7419,118.8619,Nanjing,13651608,0.0007601703633409958
455,23.3925,113.2989,Guangzhou,39293380,0.008841445646278197
456,28.1936,113.2178,Changsha,18325936,0.0008605061303747302
457,30.2294,120.4344,Hangzhou,12817942,0.0011360041513839528
458,24.9922,102.7436,Kunming,11115277,0.0003248155339679081
459,47.7506,88.0858,Altay,258536,0.003916493335459249
460,26.5386,106.8008,Guiyang,7252992,0.0007176552026299404
465,27.9131,120.8522,Wenzhou,9918949,0.0002006715340674689
472,28.8639,115.9022,Nanchang,10823928,0.00029760581886847617
473,22.3089,113.9147,Hong Kong,36745880,0.005703829295895382
475,19.9347,110.4589,Haikou,5945540,0.0007278590371102973
476,36.8572,117.2161,Jinan,24300017,0.002255002422148831
477,30.7839,114.2081,Wuhan,30649978,0.0006292240111929264
481,34.5194,113.8411,Zhengzhou,32471775,0.04894171314873173
483,43.9961,125.6853,Changchun,16217434,0.00014115018662842638
2803,37.4692,126.4506,Seoul,27019922,0.00012414430600935148
