id,lat,lng,label,population,risk
69,23.8433,90.3978,Dhaka,57695473,0.00045540947877502753
173,5.2972,100.2767,Penang,2621408,0.0005184852901751617
177,1.4842,110.3439,Kuching,936145,0.00024681391565988713
182,2.7456,101.7147,Kuala Lumpur,8711663,0.0034689628191123725
183,6.3386,99.7322,Langkawi,116526,0.0011409576467017052
186,5.9372,116.0531,Kota Kinabalu,1537665,0.0017226223293339467
221,11.5467,104.8442,Phnom Penh,12169535,0.0010295133408293974
222,13.4106,103.8128,Siem Reap,4814927,0.002077255493519525
223,10.5797,103.6369,Sihanoukville,1091383,0.0035639390605903343
311,41.1025,121.0619,Jinzhou,4242220,0.0002477460706000028
312,35.2931,116.3467,Jining,25722140,0.0006077650209554834
314,49.2086,119.8167,Hailar,851974,0.00024567461724897874
315,30.5786,103.9472,Chengdu,62854385,0.03683327388479156
316,34.2294,117.2458,Xuzhou,20796535,0.006167551370747533
322,39.1244,117.3461,Tianjin,14241195,0.018612026964763884
323,28.8003,104.545,Yibin,52581734,0.0020510515927824368
325,29.7194,106.6419,Chongqing,16205267,0.02489330125684864
330,27.8111,107.2461,Zunyi,7545282,0.003292164105018114
334,30.8039,108.4272,Wanzhou,6879185,0.0012689735980253038
338,27.8833,109.3083,Tongren,3899266,0.0007279094271734723
341,27.8033,114.3078,Yichun (Jiangxi),6299510,0.0011499684715751243
343,36.5167,103.6167,Lanzhou,6850245,0.0069636116896064
344,27.7069,118.0031,Wuyishan,6414192,0.0006391475643916816
346,31.4947,120.4294,Wuxi,7494542,0.00846800620053941
348,34.4478,108.7539,Xi'an,22353249,0.02285343552334759
349,39.4922,109.8631,Ordos,1651796,0.0006271331312271218
353,32.1506,112.2908,Xiangyang,11750932,0.002265447229009064
354,25.0536,99.1681,Baoshan,2095138,0.01527315155032613
355,40.5606,109.9964,Baotou,3343659,0.0001247016185047209
358,45.6233,126.2503,Harbin,12100114,0.006753566122195714
360,30.3211,109.4853,Enshi,3774134,0.0005609501304789024
