id,lat,lng,label,population,risk
182,2.7456,101.7147,Kuala Lumpur,8711663,0.0003970592004867065
221,11.5467,104.8442,Phnom Penh,12169535,0.00018533999613567242
310,41.6992,86.1303,Korla,1069639,0.004509825022594436
315,30.5786,103.9472,Chengdu,62854385,0.03823895864982402
316,34.2294,117.2458,Xuzhou,20796535,0.0007841833632907298
317,40.9264,107.7389,Bayannur,1447780,0.0028321728815034627
321,42.8408,93.6708,Hami,560104,0.0005779455080067263
322,39.1244,117.3461,Tianjin,14241195,0.014639802030515204
325,29.7194,106.6419,Chongqing,16205267,0.020783427970003817
330,27.8111,107.2461,Zunyi,7545282,0.0054783205982378725
337,26.2572,105.8728,Anshun,4959935,0.0002466631746481149
338,27.8833,109.3083,Tongren,3899266,0.00039842953775346405
340,40.0922,94.6817,Dunhuang,506179,0.021895125208336683
346,31.4947,120.4294,Wuxi,7494542,0.002138775256289432
348,34.4478,108.7539,Xi'an,22353249,0.002302189609493808
351,41.2628,80.2919,Aksu,1817143,0.005922314312604479
353,32.1506,112.2908,Xiangyang,11750932,0.001618727083628254
358,45.6233,126.2503,Harbin,12100114,0.0036317726315439054
363,23.4275,116.7625,Shantou,16909762,0.0009328664367129775
366,36.0789,106.2164,Guyuan,5702804,0.007750718221100912
372,29.2981,90.9122,Lhasa,1019683,0.0021973577602683587
373,18.3028,109.4122,Sanya,2888131,0.01198680250411542
375,26.6742,100.2436,Lijiang,1495973,0.010063857525643087
376,25.935,119.6633,Fuzhou,10913454,0.007991201689965543
378,37.4017,121.3717,Yantai,6160152,0.002651629127467235
379,43.9072,87.4742,Urumqi,5237049,0.07871193198262981
380,34.5719,118.8739,Lianyungang,7795627,0.0018924546967909032
381,34.7414,112.3894,Luoyang,11740472,0.002441280260382959
383,43.9553,81.3289,Yining,1687819,0.0035546903894663703
386,37.0381,79.865,Hotan,1394729,0.00018225670645257097
387,38.27,109.7306,Yulin,3211960,0.0037605856296007868
388,25.6503,100.3194,Dali,3767440,0.0037133085622370944
389,24.7956,118.5881,Quanzhou,9437088,0.001848603472594104
391,36.2661,120.3744,Qingdao,8200069,0.01598171821129771
392,38.5419,102.3486,Jinchang,2050162,0.004144289793933574
394,38.9656,121.5386,Dalian,5749540,0.002288486113494645
395,32.5631,119.7189,Yangzhou,8985870,0.00903780722980369
396,29.3058,94.3386,Nyingchi,182206,0.0019948884249666294
398,28.8528,105.3933,Luzhou,9659760,0.00477704350290709
399,21.9731,100.7631,Jinghong,1382281,0.0021637841889038294
402,30.5569,111.4797,Yichang,11664371,0.0033028884192350173
405,31.4289,104.7408,Mianyang,8917604,0.009212869573107092
407,29.8267,121.4619,Ningbo,6757958,0.005773973792666024
410,38.8075,100.6608,Zhangye,1204657,0.004613629149702714
412,31.1433,121.8053,Shanghai,20308438,0.06231910845969664
413,41.6397,123.4833,Shenyang,13195977,0.018118095346537414
414,24.4014,98.5322,Mangshi,1327739,0.0010072079425912047
415,43.0303,89.0972,Turpan,816835,0.00020692302391738245
420,40.08,116.5844,Beijing,28331507,0.062384885326824735
422,30.7403,117.6867,Chizhou,4495819,0.00025282975401431777
425,39.8572,98.3414,Jiayuguan,1106084,0.015154026177293972
429,40.8514,111.8242,Hohhot,4401373,0.0028523855720184147
430,24.5442,118.1278,Xiamen,8240158,0.015576779479028456
431,45.4661,84.9539,Karamay,5802370,0.001106215827600037
432,32.9811,112.6156,Nanyang,12735325,0.0071247972890140406
434,28.5653,121.4303,Taizhou,5349916,0.00011339654964137436
438,31.9911,116.9892,Hefei,14358834,0.032377282347098586
440,38.2806,114.6972,Shijiazhuang,24520869,0.020893398676478298
442,33.4261,120.2031,Yancheng,6283873,0.0027650256771086096
445,31.7419,118.8619,Nanjing,13651608,0.030559511833001294
449,33.7875,119.1278,Huai'an,10190694,0.007644502908191427
451,21.5394,109.2939,Beihai,5621760,0.0006368706271352398
453,37.7469,112.6283,Taiyuan,11233266,0.012096430595440312
455,23.3925,113.2989,Guangzhou,39293380,0.037713086451280416
456,28.1936,113.2178,Changsha,18325936,0.02874037091997145
457,30.2294,120.4344,Hangzhou,12817942,0.028960312209588824
458,24.9922,102.7436,Kunming,11115277,0.023033544270034487
460,26.5386,106.8008,Guiyang,7252992,0.014314686214857004
461,25.2181,110.0392,Guilin,4941136,0.004553333693307442
462,34.5597,105.86,Tianshui,8609117,0.0023796227853389146
463,27.4414,109.7003,Huaihua,5255897,0.0036934384252059345
465,27.9131,120.8522,Wenzhou,9918949,0.01603242118349409
469,21.2153,110.3583,Zhanjiang,11700739,0.0006776385616489371
470,22.6083,108.1725,Nanning,8261012,0.01305910214520134
472,28.8639,115.9022,Nanchang,10823928,0.01869741125347669
473,22.3089,113.9147,Hong Kong,36745880,0.03638247564544736
474,39.5425,76.02,Kashi,3476362,0.003503644863786197
475,19.9347,110.4589,Haikou,5945540,0.03749040442546374
476,36.8572,117.2161,Jinan,24300017,0.024018826631360183
477,30.7839,114.2081,Wuhan,30649978,0.03279215611705053
481,34.5194,113.8411,Zhengzhou,32471775,0.023359687807809858
483,43.9961,125.6853,Changchun,16217434,0.003007235224806865
486,39.7189,113.1461,Datong,7535077,0.002641351474634966
538,13.6858,100.7489,Bangkok,23541053,0.008118644350755667
549,8.1122,98.3053,Phuket,711102,0.001434757486425133
596,14.5086,121.0194,Manila,26922690,0.00010928547617530786
615,10.3075,123.9794,Cebu,4439843,0.00017985858540284837
733,50.0331,8.5706,Frankfurt,6970523,0.00012401675595743626
875,16.9072,96.1333,Yangon,11684460,0.0004419382084664704
884,21.7022,95.9781,Mandalay,7168138,0.00031723622220986166
1314,-6.1256,106.6558,Jakarta,36994844,0.0001414887102730798
1612,-33.9461,151.1772,Sydney (AU),4670715,0.0006567407025006058
1648,-37.6733,144.8433,Melbourne (AU),4144035,0.00030147722031056187
1890,55.4089,37.9064,Moscow,24597359,0.0001243593711070225
2393,33.9425,-118.4081,Los Angeles,19797290,0.00021583027781710051
2766,49.1939,-123.1844,Vancouver,2794226,0.00013566474605646318
2803,37.4692,126.4506,Seoul,27019922,0.0004847616488803043
2821,1.3592,103.9894,Singapore,4091180,0.000698878974281061
2825,25.0778,121.2328,Taipei,10434115,0.003148038766446566
3046,-37.0097,174.7917,Auckland,1473397,0.00010860030754192908
3106,35.5522,139.7797,Tokyo,32212732,0.00033059716472523244
3127,35.7647,140.3864,Tokyo Narita,8512151,0.0002182283988668232
3141,34.8583,136.8053,Nagoya,11834566,0.00019938604561862836
3151,34.4272,135.2442,Osaka,19601735,0.00034806911904087606
3161,43.0614,74.4775,Bishkek,2096218,0.00010140594439276116
3181,25.2528,55.3644,Dubai,1501658,0.0004813358057134104
