id,lat,lng,label,population,risk
315,30.5786,103.9472,Chengdu,62854385,0.33641624123763597
316,34.2294,117.2458,Xuzhou,20796535,0.00018077740288550701
322,39.1244,117.3461,Tianjin,14241195,0.000657655559849635
323,28.8003,104.545,Yibin,52581734,0.013598819662562442
325,29.7194,106.6419,Chongqing,16205267,0.1525760754852651
333,32.8567,103.6831,Jiuzhaigou,1011157,0.002817633094334215
334,30.8039,108.4272,Wanzhou,6879185,0.003896063311552921
343,36.5167,103.6167,Lanzhou,6850245,0.006663826732364331
346,31.4947,120.4294,Wuxi,7494542,0.00011012874548096015
348,34.4478,108.7539,Xi'an,22353249,0.13890245140592394
358,45.6233,126.2503,Harbin,12100114,0.003784895719733947
362,31.9194,119.7783,Changzhou,6991084,0.00012986869601364586
365,30.5511,97.1106,Qamdo,458789,0.01879357068229599
369,36.4006,94.7883,Golmud,187051,0.00012051814391631001
373,18.3028,109.4122,Sanya,2888131,0.0006638891989108449
375,26.6742,100.2436,Lijiang,1495973,0.011032612441507241
376,25.935,119.6633,Fuzhou,10913454,0.001743358449478607
377,27.7917,99.6781,Deqen,748566,0.016947356159746692
379,43.9072,87.4742,Urumqi,5237049,0.002099718462526425
384,34.8189,102.6208,Xiahe,2164199,0.004340734052850902
388,25.6503,100.3194,Dali,3767440,0.00010077819338362429
390,32.8267,97.1219,Yushu,353799,0.005692408347590458
391,36.2661,120.3744,Qingdao,8200069,0.0007823294631400851
394,38.9656,121.5386,Dalian,5749540,0.00016623205806497524
399,21.9731,100.7631,Jinghong,1382281,0.00022129633729993432
400,27.9892,102.1844,Xichang,4562370,0.0004249306037542529
405,31.4289,104.7408,Mianyang,8917604,0.03641624465974897
407,29.8267,121.4619,Ningbo,6757958,0.00014856980020831756
409,32.0997,80.0533,Shiquande,67845,0.017310988845204774
412,31.1433,121.8053,Shanghai,20308438,0.009866910342376384
413,41.6397,123.4833,Shenyang,13195977,0.0026243882263152466
418,30.7939,106.1597,Nanchong,12341109,0.004562030390150836
420,40.08,116.5844,Beijing,28331507,0.025516617640280462
430,24.5442,118.1278,Xiamen,8240158,0.0017901112099652863
438,31.9911,116.9892,Hefei,14358834,0.00017246569712618513
439,36.5286,102.0403,Xining,3472426,0.03147188047994538
445,31.7419,118.8619,Nanjing,13651608,0.00265971255501752
451,21.5394,109.2939,Beihai,5621760,0.0001631151450288493
453,37.7469,112.6283,Taiyuan,11233266,0.0003386977551911604
455,23.3925,113.2989,Guangzhou,39293380,0.004754236224820749
456,28.1936,113.2178,Changsha,18325936,0.018710454746769026
457,30.2294,120.4344,Hangzhou,12817942,0.006002015413140557
458,24.9922,102.7436,Kunming,11115277,0.026890109952250826
460,26.5386,106.8008,Guiyang,7252992,0.008229524879004598
461,25.2181,110.0392,Guilin,4941136,0.00024311435453073198
465,27.9131,120.8522,Wenzhou,9918949,0.00043324230951357473
470,22.6083,108.1725,Nanning,8261012,0.00035636001304781804
472,28.8639,115.9022,Nanchang,10823928,0.006983823383360821
473,22.3089,113.9147,Hong Kong,36745880,0.004876832435435171
475,19.9347,110.4589,Haikou,5945540,0.0007677843053305952
476,36.8572,117.2161,Jinan,24300017,0.0009329773300465144
477,30.7839,114.2081,Wuhan,30649978,0.0011075209068597694
481,34.5194,113.8411,Zhengzhou,32471775,0.043037474391000766
487,31.1319,107.4306,Dazhou,9124364,0.008608741568610186
538,13.6858,100.7489,Bangkok,23541053,0.0004696054845538622
566,27.6967,85.3592,Kathmandu,4670436,0.009705873077034606
2821,1.3592,103.9894,Singapore,4091180,0.0003511652203246221
2825,25.0778,121.2328,Taipei,10434115,0.00037817784326757376
3127,35.7647,140.3864,Tokyo Narita,8512151,0.00037609996358050376
