id,lat,lng,label,population,risk
182,2.7456,101.7147,Kuala Lumpur,8711663,0.00024114274749655366
221,11.5467,104.8442,Phnom Penh,12169535,0.0011412045648651714
222,13.4106,103.8128,Siem Reap,4814927,0.011561031447875044
315,30.5786,103.9472,Chengdu,62854385,0.037782623899043466
322,39.1244,117.3461,Tianjin,14241195,0.04536403087518078
325,29.7194,106.6419,Chongqing,16205267,0.034150122319729664
328,37.1872,122.2289,Weihai,2392348,0.0002672539058797543
348,34.4478,108.7539,Xi'an,22353249,0.0259005807171277
358,45.6233,126.2503,Harbin,12100114,0.033650941499415415
363,23.4275,116.7625,Shantou,16909762,0.0007480036130088277
373,18.3028,109.4122,Sanya,2888131,0.0005621544815372805
375,26.6742,100.2436,Lijiang,1495973,0.006779645534967512
376,25.935,119.6633,Fuzhou,10913454,0.03304578053417378
378,37.4017,121.3717,Yantai,6160152,0.027534822397912058
394,38.9656,121.5386,Dalian,5749540,0.0728404878048703
397,24.2078,109.3914,Liuzhou,8005244,0.0006865657396498357
407,29.8267,121.4619,Ningbo,6757958,0.008043725293611742
412,31.1433,121.8053,Shanghai,20308438,0.0917448550571142
413,41.6397,123.4833,Shenyang,13195977,0.03867654173554756
420,40.08,116.5844,Beijing,28331507,0.097205126940943
430,24.5442,118.1278,Xiamen,8240158,0.02063230166916549
453,37.7469,112.6283,Taiyuan,11233266,0.018896687759984772
455,23.3925,113.2989,Guangzhou,39293380,0.048282319768597516
456,28.1936,113.2178,Changsha,18325936,0.05394840768494709
457,30.2294,120.4344,Hangzhou,12817942,0.036994685930997286
458,24.9922,102.7436,Kunming,11115277,0.023624315568261882
460,26.5386,106.8008,Guiyang,7252992,0.0006727422665262187
461,25.2181,110.0392,Guilin,4941136,0.02213291653524471
465,27.9131,120.8522,Wenzhou,9918949,0.01189586665503939
469,21.2153,110.3583,Zhanjiang,11700739,0.00010751593279140776
470,22.6083,108.1725,Nanning,8261012,0.0001643456131499106
472,28.8639,115.9022,Nanchang,10823928,0.007137520048317527
473,22.3089,113.9147,Hong Kong,36745880,0.06569682405215771
475,19.9347,110.4589,Haikou,5945540,0.024238692090096096
476,36.8572,117.2161,Jinan,24300017,0.008555419702075571
477,30.7839,114.2081,Wuhan,30649978,0.034137834910939545
483,43.9961,125.6853,Changchun,16217434,0.025283132343095947
538,13.6858,100.7489,Bangkok,23541053,0.00032254779837422325
549,8.1122,98.3053,Phuket,711102,0.01201566999662092
596,14.5086,121.0194,Manila,26922690,0.00033176335496681403
1125,21.2211,105.8072,Hanoi,20834462,0.0001013722283963473
1129,10.8189,106.6519,Ho Chi Minh City,16228217,0.0002611099250152313
1137,11.9981,109.2192,Nha Trang,1733076,0.011662403399801931
1314,-6.1256,106.6558,Jakarta,36994844,0.00033022729063331765
1612,-33.9461,151.1772,Sydney (AU),4670715,0.00021042394905178893
2803,37.4692,126.4506,Seoul,27019922,0.00015973797308834652
2821,1.3592,103.9894,Singapore,4091180,0.0005268280430309519
2825,25.0778,121.2328,Taipei,10434115,0.0001781690862735279
3046,-37.0097,174.7917,Auckland,1473397,0.00017048959401443358
3106,35.5522,139.7797,Tokyo,32212732,0.0001612737609523804
3141,34.8583,136.8053,Nagoya,11834566,0.00010751593279140776
3151,34.4272,135.2442,Osaka,19601735,0.0001582019087548502
