id,lat,lng,label,population,risk
221,11.5467,104.8442,Phnom Penh,12169535,0.0043498164031877526
315,30.5786,103.9472,Chengdu,62854385,0.037254645976010456
316,34.2294,117.2458,Xuzhou,20796535,0.00027052853292883986
322,39.1244,117.3461,Tianjin,14241195,0.015840165714721383
325,29.7194,106.6419,Chongqing,16205267,0.051617583095971836
343,36.5167,103.6167,Lanzhou,6850245,0.0001601814524875775
348,34.4478,108.7539,Xi'an,22353249,0.07292883538129401
358,45.6233,126.2503,Harbin,12100114,0.0018403067673071
362,31.9194,119.7783,Changzhou,6991084,0.0001850986385107352
363,23.4275,116.7625,Shantou,16909762,0.0005980105423783527
373,18.3028,109.4122,Sanya,2888131,0.039262253941005285
376,25.935,119.6633,Fuzhou,10913454,0.018933447684031664
378,37.4017,121.3717,Yantai,6160152,0.00022425403348260854
379,43.9072,87.4742,Urumqi,5237049,0.0002812075100032817
380,34.5719,118.8739,Lianyungang,7795627,0.00052325962503469
382,35.0494,118.4119,Linyi,12843250,0.0015911355478013336
391,36.2661,120.3744,Qingdao,8200069,0.017943882551208767
394,38.9656,121.5386,Dalian,5749540,0.0008009072624378878
399,21.9731,100.7631,Jinghong,1382281,0.00035239919547267064
403,29.345,120.0325,Yiwu,6139309,0.00013526426646441993
404,29.1044,110.4431,Zhangjiajie,2982561,0.00012814516199006204
407,29.8267,121.4619,Ningbo,6757958,0.0005410570658576797
412,31.1433,121.8053,Shanghai,20308438,0.14864482803587187
413,41.6397,123.4833,Shenyang,13195977,0.0010251612959204964
414,24.4014,98.5322,Mangshi,1327739,0.00014594324353886176
420,40.08,116.5844,Beijing,28331507,0.11997590791319558
430,24.5442,118.1278,Xiamen,8240158,0.07622145419806375
445,31.7419,118.8619,Nanjing,13651608,0.02947694713031435
452,27.3006,105.3017,Bijie,6594987,0.012771800931434249
453,37.7469,112.6283,Taiyuan,11233266,0.0012067000618311474
455,23.3925,113.2989,Guangzhou,39293380,0.00018865787038500916
456,28.1936,113.2178,Changsha,18325936,0.00011390695304134624
457,30.2294,120.4344,Hangzhou,12817942,0.08051787699733091
458,24.9922,102.7436,Kunming,11115277,0.04087118757035543
465,27.9131,120.8522,Wenzhou,9918949,0.0512616246686249
472,28.8639,115.9022,Nanchang,10823928,0.0004022335675189858
473,22.3089,113.9147,Hong Kong,36745880,0.0032321054676489828
475,19.9347,110.4589,Haikou,5945540,0.05400962590621106
476,36.8572,117.2161,Jinan,24300017,0.0006300468328758683
477,30.7839,114.2081,Wuhan,30649978,0.0931472945578264
481,34.5194,113.8411,Zhengzhou,32471775,0.0005730933563551952
483,43.9961,125.6853,Changchun,16217434,0.0007439537859172147
538,13.6858,100.7489,Bangkok,23541053,0.0004342698580165013
596,14.5086,121.0194,Manila,26922690,0.0006941194138708996
626,-26.1392,28.2461,Johannesburg,13748925,0.00010322797596690444
733,50.0331,8.5706,Frankfurt,6970523,0.00016730055696193542
742,52.5597,13.2878,Berlin,5387837,0.00011034708044126233
748,48.3539,11.7861,Munich,4802084,0.00020289672005953488
791,51.4775,-0.4614,London (UK),17233070,0.00019933684745945094
1314,-6.1256,106.6558,Jakarta,36994844,0.00015306234801321962
1535,49.0097,2.5478,Paris,13528665,0.0001815387659106512
1564,55.6203,12.6503,Copenhagen,2357021,0.00014950247541313573
1612,-33.9461,151.1772,Sydney (AU),4670715,0.0009432906333766656
1648,-37.6733,144.8433,Melbourne (AU),4144035,0.0006905601819966253
2375,37.6189,-122.3917,San Francisco,7595097,0.00022069416088252465
2393,33.9425,-118.4081,Los Angeles,19797290,0.0021784677538310548
2518,40.6397,-73.7789,New York,16714154,0.00024205211503140826
2682,43.6772,-79.6306,Toronto,7618258,0.0002313731379569665
2766,49.1939,-123.1844,Vancouver,2794226,0.0003844354859701861
2801,33.5114,126.4931,Jeju,527344,0.00010678784856698836
2803,37.4692,126.4506,Seoul,27019922,0.0022603384163748857
2806,35.1403,129.0628,Pusan,4350635,0.00013170503459014596
2821,1.3592,103.9894,Singapore,4091180,0.00017086042956201936
2825,25.0778,121.2328,Taipei,10434115,0.0011711045394593581
2852,52.1658,20.9672,Warsaw,6532383,0.00020289672005953488
3046,-37.0097,174.7917,Auckland,1473397,0.00015662157988749362
3106,35.5522,139.7797,Tokyo,32212732,0.00019933684745945094
3127,35.7647,140.3864,Tokyo Narita,8512151,0.0010714357953667275
3141,34.8583,136.8053,Nagoya,11834566,0.00016374132508766148
3144,34.4361,132.9194,Hiroshima,1535236,0.0007866690534891719
3147,33.5858,130.4506,Fukuoka,3931988,0.00011390695304134624
3151,34.4272,135.2442,Osaka,19601735,0.0013917987003418829
