id,lat,lng,label,population,risk
182,2.7456,101.7147,Kuala Lumpur,8711663,0.00020379651819418007
221,11.5467,104.8442,Phnom Penh,12169535,0.000292006943270566
315,30.5786,103.9472,Chengdu,62854385,0.005018872656762605
325,29.7194,106.6419,Chongqing,16205267,0.08205096054105222
343,36.5167,103.6167,Lanzhou,6850245,0.02167544566784305
358,45.6233,126.2503,Harbin,12100114,0.000264631275229158
363,23.4275,116.7625,Shantou,16909762,0.0007908523889680737
373,18.3028,109.4122,Sanya,2888131,0.00032850801649689714
376,25.935,119.6633,Fuzhou,10913454,0.02021845184069626
378,37.4017,121.3717,Yantai,6160152,0.0007543518632551031
379,43.9072,87.4742,Urumqi,5237049,0.06566510222615309
391,36.2661,120.3744,Qingdao,8200069,0.0046629889722242975
394,38.9656,121.5386,Dalian,5749540,0.021495982833457515
395,32.5631,119.7189,Yangzhou,8985870,0.020042030990543486
407,29.8267,121.4619,Ningbo,6757958,0.03835026894177998
412,31.1433,121.8053,Shanghai,20308438,0.14191546312665956
413,41.6397,123.4833,Shenyang,13195977,0.03926887481328353
420,40.08,116.5844,Beijing,28331507,0.12762536440904454
429,40.8514,111.8242,Hohhot,4401373,0.05693834754189608
430,24.5442,118.1278,Xiamen,8240158,0.0013900756491596511
439,36.5286,102.0403,Xining,3472426,0.0272144560173924
445,31.7419,118.8619,Nanjing,13651608,0.0015543296574080994
455,23.3925,113.2989,Guangzhou,39293380,0.02549587235173586
457,30.2294,120.4344,Hangzhou,12817942,0.0853482075479255
458,24.9922,102.7436,Kunming,11115277,0.02146556572869671
460,26.5386,106.8008,Guiyang,7252992,0.0015786633412167464
461,25.2181,110.0392,Guilin,4941136,0.0007665187051594266
465,27.9131,120.8522,Wenzhou,9918949,0.0009611903656820443
470,22.6083,108.1725,Nanning,8261012,0.027469961887436643
473,22.3089,113.9147,Hong Kong,36745880,0.0516274679418629
475,19.9347,110.4589,Haikou,5945540,0.062215768052935674
476,36.8572,117.2161,Jinan,24300017,0.0159478476262366
483,43.9961,125.6853,Changchun,16217434,0.0004593029357517759
538,13.6858,100.7489,Bangkok,23541053,0.020273203176779067
596,14.5086,121.0194,Manila,26922690,0.0005383879556432389
1314,-6.1256,106.6558,Jakarta,36994844,0.0002767986646468422
1612,-33.9461,151.1772,Sydney (AU),4670715,0.0003680505264426286
1648,-37.6733,144.8433,Melbourne (AU),4144035,0.00017033742920061028
2334,29.9844,-95.3414,Houston,5803516,0.0001003772669807094
2375,37.6189,-122.3917,San Francisco,7595097,0.00021596336009850348
2393,33.9425,-118.4081,Los Angeles,19797290,0.00021596336009850348
2803,37.4692,126.4506,Seoul,27019922,0.0005262211137389155
2806,35.1403,129.0628,Pusan,4350635,0.00012471149830271705
2821,1.3592,103.9894,Singapore,4091180,0.0008729793930922977
3057,-41.3269,174.8069,Wellington,399837,0.00010341925121347067
3106,35.5522,139.7797,Tokyo,32212732,0.00028592352231840434
3110,34.7569,133.8553,Okayama,2017693,0.00020683850242694132
3127,35.7647,140.3864,Tokyo Narita,8512151,0.0004258438467582061
3141,34.8583,136.8053,Nagoya,11834566,0.000176420850152772
3147,33.5858,130.4506,Fukuoka,3931988,0.00011254465639839363
3151,34.4272,135.2442,Osaka,19601735,0.0006600580172265555
