id,lat,lng,label,population,risk
69,23.8433,90.3978,Dhaka,57695473,0.0003354951826466196
173,5.2972,100.2767,Penang,2621408,0.0001854140774524596
182,2.7456,101.7147,Kuala Lumpur,8711663,0.00042298637512273055
186,5.9372,116.0531,Kota Kinabalu,1537665,0.00045057978662199746
221,11.5467,104.8442,Phnom Penh,12169535,0.0008876993991047235
222,13.4106,103.8128,Siem Reap,4814927,0.0011612776716831733
310,41.6992,86.1303,Korla,1069639,0.0009873047604203476
314,49.2086,119.8167,Hailar,851974,0.0019248068401828836
315,30.5786,103.9472,Chengdu,62854385,0.03324195229827484
316,34.2294,117.2458,Xuzhou,20796535,0.003956285660361388
322,39.1244,117.3461,Tianjin,14241195,0.014644011119022146
323,28.8003,104.545,Yibin,52581734,0.00012248769369489304
325,29.7194,106.6419,Chongqing,16205267,0.03854021862865186
327,36.6469,119.1186,Weifang,9193768,0.0014348560048324669
329,46.75,125.1392,Daqing,6192883,0.001931536927252519
330,27.8111,107.2461,Zunyi,7545282,0.010579707473365377
334,30.8039,108.4272,Wanzhou,6879185,0.0015835910441560244
339,42.065,127.6025,Baishan,3207170,0.0019271623797428824
340,40.0922,94.6817,Dunhuang,506179,0.00012854477811464975
343,36.5167,103.6167,Lanzhou,6850245,0.018365416492312783
346,31.4947,120.4294,Wuxi,7494542,0.0028360615137459104
348,34.4478,108.7539,Xi'an,22353249,0.056176429451033835
349,39.4922,109.8631,Ordos,1651796,0.004538438767307915
355,40.5606,109.9964,Baotou,3343659,0.012014563478197843
358,45.6233,126.2503,Harbin,12100114,0.02318483662191866
363,23.4275,116.7625,Shantou,16909762,0.011786749749236243
370,29.9347,122.3619,Zhoushan,1484739,0.0038849466526240666
371,22.7947,100.9592,Simao,2213550,0.0002584356220999021
372,29.2981,90.9122,Lhasa,1019683,0.002261984499168779
373,18.3028,109.4122,Sanya,2888131,0.019597696640122918
375,26.6742,100.2436,Lijiang,1495973,0.010252624914698513
376,25.935,119.6633,Fuzhou,10913454,0.00034087926441649715
378,37.4017,121.3717,Yantai,6160152,0.00758246015927519
379,43.9072,87.4742,Urumqi,5237049,0.0068667147240545
382,35.0494,118.4119,Linyi,12843250,0.0015637373145574785
388,25.6503,100.3194,Dali,3767440,0.002813852244587365
389,24.7956,118.5881,Quanzhou,9437088,0.0008829883199847248
391,36.2661,120.3744,Qingdao,8200069,0.027120932021071138
394,38.9656,121.5386,Dalian,5749540,0.012422743613310704
398,28.8528,105.3933,Luzhou,9659760,0.0019069720579631304
399,21.9731,100.7631,Jinghong,1382281,0.0004549543341316343
400,27.9892,102.1844,Xichang,4562370,0.0014510082501420995
407,29.8267,121.4619,Ningbo,6757958,0.01296518920048929
412,31.1433,121.8053,Shanghai,20308438,0.028371719953750905
413,41.6397,123.4833,Shenyang,13195977,0.011724496428699402
414,24.4014,98.5322,Mangshi,1327739,0.00039068194507430943
416,23.7389,100.025,Lincang,2848292,0.0003112668449675926
418,30.7939,106.1597,Nanchong,12341109,0.0015351343687979705
420,40.08,116.5844,Beijing,28331507,0.08173059561533763
421,24.9378,98.4856,Tengchong,1002556,0.00011340206706525794
429,40.8514,111.8242,Hohhot,4401373,0.006557466887036545
430,24.5442,118.1278,Xiamen,8240158,0.007597939401934943
439,36.5286,102.0403,Xining,3472426,0.0003395332591167388
440,38.2806,114.6972,Shijiazhuang,24520869,0.009568174375266005
441,42.8828,129.4514,Yanji,1789684,0.0006178226108151867
445,31.7419,118.8619,Nanjing,13651608,0.013230691380698349
450,25.8514,114.7753,Ganzhou,7056603,0.015867878642852527
451,21.5394,109.2939,Beihai,5621760,0.008448959762910766
453,37.7469,112.6283,Taiyuan,11233266,0.029135249061679774
455,23.3925,113.2989,Guangzhou,39293380,0.031534191023513805
458,24.9922,102.7436,Kunming,11115277,0.052437189356094295
460,26.5386,106.8008,Guiyang,7252992,0.02549123978054622
461,25.2181,110.0392,Guilin,4941136,0.0007864114403081348
465,27.9131,120.8522,Wenzhou,9918949,0.0002971336681784417
469,21.2153,110.3583,Zhanjiang,11700739,0.008900885554832521
470,22.6083,108.1725,Nanning,8261012,0.023830925646882998
473,22.3089,113.9147,Hong Kong,36745880,0.10852982909894092
475,19.9347,110.4589,Haikou,5945540,0.06196969416692079
476,36.8572,117.2161,Jinan,24300017,0.02224935361067661
480,35.1164,111.0336,Yuncheng,12627248,0.0074357441279012705
481,34.5194,113.8411,Zhengzhou,32471775,0.010271469170607663
483,43.9961,125.6853,Changchun,16217434,0.01150004777355804
523,8.0958,98.9889,Krabi,613788,0.0016418064093644367
531,18.7714,98.9628,Chiang Mai,1497016,0.005189238810821403
538,13.6858,100.7489,Bangkok,23541053,0.02192462659156974
549,8.1122,98.3053,Phuket,711102,0.00012248769369489304
566,27.6967,85.3592,Kathmandu,4670436,0.00015647466065343426
575,17.9883,102.5633,Vientiane,1706759,0.0001002784245363478
596,14.5086,121.0194,Manila,26922690,0.00045327179722151416
733,50.0331,8.5706,Frankfurt,6970523,0.00014032247591464576
791,51.4775,-0.4614,London (UK),17233070,0.0002517055350302661
875,16.9072,96.1333,Yangon,11684460,0.0001716173717028261
884,21.7022,95.9781,Mandalay,7168138,0.00011945915148501465
1099,28.5664,77.1031,Delhi,62390146,0.00010869098794525953
1125,21.2211,105.8072,Hanoi,20834462,0.000233534281770996
1129,10.8189,106.6519,Ho Chi Minh City,16228217,0.0005518676848477419
1238,-8.7481,115.1672,Denpasar,5493498,0.003212273750420707
1314,-6.1256,106.6558,Jakarta,36994844,0.0007302152041910483
1535,49.0097,2.5478,Paris,13528665,0.00025204200606978363
1603,-27.3842,153.1175,Brisbane,1972855,0.00015277311579367669
1612,-33.9461,151.1772,Sydney (AU),4670715,0.0007191105090409314
1648,-37.6733,144.8433,Melbourne (AU),4144035,0.0004586558789913918
1738,-1.3192,36.9278,Nairobi,8886171,0.0001002784245363478
1890,55.4089,37.9064,Moscow,24597359,0.00015210011314379756
2375,37.6189,-122.3917,San Francisco,7595097,0.0002819909571290498
2393,33.9425,-118.4081,Los Angeles,19797290,0.0004973539250699313
2518,40.6397,-73.7789,New York,16714154,0.00031900646629746943
2682,43.6772,-79.6306,Toronto,7618258,0.0001753189165625836
