id,lat,lng,label,population,risk
69,23.8433,90.3978,Dhaka,57695473,0.0004899493630764434
105,24.9067,67.1608,Karachi,16780358,0.00010279330735033941
173,5.2972,100.2767,Penang,2621408,0.00039356064497968885
182,2.7456,101.7147,Kuala Lumpur,8711663,0.0017900764279070761
186,5.9372,116.0531,Kota Kinabalu,1537665,0.00035097026910507805
221,11.5467,104.8442,Phnom Penh,12169535,0.0005922623183071127
222,13.4106,103.8128,Siem Reap,4814927,0.0022097356667385697
276,47.4647,8.5492,Zurich,2620529,0.00024001114864364824
310,41.6992,86.1303,Korla,1069639,0.000855329907566123
311,41.1025,121.0619,Jinzhou,4242220,0.000791444343754207
315,30.5786,103.9472,Chengdu,62854385,0.047783032147799394
322,39.1244,117.3461,Tianjin,14241195,0.0014951461346424198
323,28.8003,104.545,Yibin,52581734,0.0014876207718105227
325,29.7194,106.6419,Chongqing,16205267,0.04650884357866104
328,37.1872,122.2289,Weihai,2392348,0.004545961531722035
329,46.75,125.1392,Daqing,6192883,0.0008306723124322273
330,27.8111,107.2461,Zunyi,7545282,0.008006509130664547
334,30.8039,108.4272,Wanzhou,6879185,0.0008281104824949035
336,46.8433,130.4653,Jiamusi,4290598,0.0015825684623688176
337,26.2572,105.8728,Anshun,4959935,0.001823059963132136
338,27.8833,109.3083,Tongren,3899266,0.002857077256646764
339,42.065,127.6025,Baishan,3207170,0.001370417189075582
341,27.8033,114.3078,Yichun (Jiangxi),6299510,0.0013851476895997796
343,36.5167,103.6167,Lanzhou,6850245,0.014282504285798
348,34.4478,108.7539,Xi'an,22353249,0.03755686028460714
349,39.4922,109.8631,Ordos,1651796,0.0024443029303679747
353,32.1506,112.2908,Xiangyang,11750932,0.001412687339810596
354,25.0536,99.1681,Baoshan,2095138,0.00179455963750253
355,40.5606,109.9964,Baotou,3343659,0.004681898472456957
358,45.6233,126.2503,Harbin,12100114,0.02749464530683917
360,30.3211,109.4853,Enshi,3774134,0.0026865556838093487
361,36.6367,109.5533,Yan'an,3357246,0.0010482674707397066
363,23.4275,116.7625,Shantou,16909762,0.004951850974268671
371,22.7947,100.9592,Simao,2213550,0.00029845282744132026
372,29.2981,90.9122,Lhasa,1019683,0.0004098922712018697
373,18.3028,109.4122,Sanya,2888131,0.028295856618223005
375,26.6742,100.2436,Lijiang,1495973,0.011268034773498936
376,25.935,119.6633,Fuzhou,10913454,0.013061953960722272
378,37.4017,121.3717,Yantai,6160152,0.008633996560173897
379,43.9072,87.4742,Urumqi,5237049,0.010969261749738569
380,34.5719,118.8739,Lianyungang,7795627,0.0013222228300272046
383,43.9553,81.3289,Yining,1687819,0.001320301450369074
387,38.27,109.7306,Yulin,3211960,0.003370723539438313
388,25.6503,100.3194,Dali,3767440,0.0012756295966768099
389,24.7956,118.5881,Quanzhou,9437088,0.006655946073167259
391,36.2661,120.3744,Qingdao,8200069,0.0106221342111292
394,38.9656,121.5386,Dalian,5749540,0.02609764917179212
397,24.2078,109.3914,Liuzhou,8005244,0.0013259054623633913
398,28.8528,105.3933,Luzhou,9659760,0.0013222228300272046
399,21.9731,100.7631,Jinghong,1382281,0.0006897718388027312
400,27.9892,102.1844,Xichang,4562370,0.0005474303376347751
402,30.5569,111.4797,Yichang,11664371,0.00010503488332751569
404,29.1044,110.4431,Zhangjiajie,2982561,0.0029355332228233554
405,31.4289,104.7408,Mianyang,8917604,0.0053257175570090385
406,41.1056,122.8561,Anshan,8750351,0.0021160688767386613
411,39.9678,119.7292,Qinhuangdao,4523764,0.0010000731116913293
412,31.1433,121.8053,Shanghai,20308438,0.0010889364669561868
413,41.6397,123.4833,Shenyang,13195977,0.01930256387767342
414,24.4014,98.5322,Mangshi,1327739,0.00039564212279734215
416,23.7389,100.025,Lincang,2848292,0.00020638716313939497
417,26.54,101.7981,Panzhihua,4045241,0.0026849545292908154
