id,lat,lng,label,population,risk
182,2.7456,101.7147,Kuala Lumpur,8711663,0.0047436926472006384
221,11.5467,104.8442,Phnom Penh,12169535,0.003048822119457185
222,13.4106,103.8128,Siem Reap,4814927,0.005128084497749931
223,10.5797,103.6369,Sihanoukville,1091383,0.00043558687095500247
312,35.2931,116.3467,Jining,25722140,0.002257444003674796
315,30.5786,103.9472,Chengdu,62854385,0.03897287019755518
322,39.1244,117.3461,Tianjin,14241195,0.020498323716847653
323,28.8003,104.545,Yibin,52581734,0.0025820606418055967
325,29.7194,106.6419,Chongqing,16205267,0.0366911157099054
330,27.8111,107.2461,Zunyi,7545282,0.0022202632574211587
331,23.72,106.9603,Baise,3943002,0.0030331123401796433
334,30.8039,108.4272,Wanzhou,6879185,0.0029704565339118754
338,27.8833,109.3083,Tongren,3899266,0.0005150965198547863
343,36.5167,103.6167,Lanzhou,6850245,0.010902256161887973
344,27.7069,118.0031,Wuyishan,6414192,0.0031174635525973386
346,31.4947,120.4294,Wuxi,7494542,0.0018919285549612028
348,34.4478,108.7539,Xi'an,22353249,0.03705291309428984
349,39.4922,109.8631,Ordos,1651796,0.0021544819054456145
353,32.1506,112.2908,Xiangyang,11750932,0.004961343094064224
355,40.5606,109.9964,Baotou,3343659,0.00012012243077369493
358,45.6233,126.2503,Harbin,12100114,0.014050608343954066
362,31.9194,119.7783,Changzhou,6991084,0.00021679241221799254
363,23.4275,116.7625,Shantou,16909762,0.007046611611914023
371,22.7947,100.9592,Simao,2213550,0.00012412652381172954
373,18.3028,109.4122,Sanya,2888131,0.01287340833704008
375,26.6742,100.2436,Lijiang,1495973,0.0051684113023960105
376,25.935,119.6633,Fuzhou,10913454,0.0298063834254745
378,37.4017,121.3717,Yantai,6160152,0.002214543146572986
379,43.9072,87.4742,Urumqi,5237049,0.0055808317527304965
380,34.5719,118.8739,Lianyungang,7795627,0.0007742177832378756
381,34.7414,112.3894,Luoyang,11740472,0.002582918624970141
387,38.27,109.7306,Yulin,3211960,0.0014863722788293619
388,25.6503,100.3194,Dali,3767440,0.003461242518310622
389,24.7956,118.5881,Quanzhou,9437088,0.01006626111971259
391,36.2661,120.3744,Qingdao,8200069,0.014327175968590553
394,38.9656,121.5386,Dalian,5749540,0.00860763141195954
395,32.5631,119.7189,Yangzhou,8985870,0.003537606108817964
398,28.8528,105.3933,Luzhou,9659760,0.001638241373717404
399,21.9731,100.7631,Jinghong,1382281,0.0002525431693703744
400,27.9892,102.1844,Xichang,4562370,0.005537930844147638
402,30.5569,111.4797,Yichang,11664371,0.004039832314913053
403,29.345,120.0325,Yiwu,6139309,0.000350643139915928
405,31.4289,104.7408,Mianyang,8917604,0.003020793571153041
407,29.8267,121.4619,Ningbo,6757958,0.011943317365876128
412,31.1433,121.8053,Shanghai,20308438,0.056746416427139734
413,41.6397,123.4833,Shenyang,13195977,0.011900988514711032
414,24.4014,98.5322,Mangshi,1327739,0.00015301310676146655
418,30.7939,106.1597,Nanchong,12341109,0.001846739622631496
420,40.08,116.5844,Beijing,28331507,0.06391772656880221
422,30.7403,117.6867,Chizhou,4495819,0.0006618175098313693
427,26.8578,114.7364,Ji'an,5652245,0.0009343810414298183
429,40.8514,111.8242,Hohhot,4401373,0.00897228882602754
430,24.5442,118.1278,Xiamen,8240158,0.026440094819317
432,32.9811,112.6156,Nanyang,12735325,0.0016568317468442226
436,44.5242,129.5689,Mudanjiang,3143833,0.00011240027340650637
438,31.9911,116.9892,Hefei,14358834,0.02154739310691188
439,36.5286,102.0403,Xining,3472426,0.0034738268033614387
440,38.2806,114.6972,Shijiazhuang,24520869,0.014203907479424413
441,42.8828,129.4514,Yanji,1789684,0.00011354433676097991
445,31.7419,118.8619,Nanjing,13651608,0.04536166839267587
447,24.2642,116.0983,Meixian,6486268,0.00037952972286566493
449,33.7875,119.1278,Huai'an,10190694,0.004545490608109466
450,25.8514,114.7753,Ganzhou,7056603,0.002659854221414195
452,27.3006,105.3017,Bijie,6594987,0.001220958898661389
453,37.7469,112.6283,Taiyuan,11233266,0.011507444517693295
455,23.3925,113.2989,Guangzhou,39293380,0.007477622383894278
456,28.1936,113.2178,Changsha,18325936,0.023621221351584284
457,30.2294,120.4344,Hangzhou,12817942,0.04251276433012
458,24.9922,102.7436,Kunming,11115277,0.007053475734635619
460,26.5386,106.8008,Guiyang,7252992,0.008340501962500383
461,25.2181,110.0392,Guilin,4941136,0.0036208337705658533
463,27.4414,109.7003,Huaihua,5255897,0.002441059762677185
465,27.9131,120.8522,Wenzhou,9918949,0.017568480016290744
472,28.8639,115.9022,Nanchang,10823928,0.020254646768198943
473,22.3089,113.9147,Hong Kong,36745880,0.025766265081852573
475,19.9347,110.4589,Haikou,5945540,0.02757410794042029
476,36.8572,117.2161,Jinan,24300017,0.03901977514769503
477,30.7839,114.2081,Wuhan,30649978,0.029047895934198844
478,25.4483,107.9608,Libo,3257335,0.00044016296992974933
480,35.1164,111.0336,Yuncheng,12627248,0.006280687991980049
481,34.5194,113.8411,Zhengzhou,32471775,0.04094116234302373
482,28.9186,111.6408,Changde,10758043,0.0022708862718901555
483,43.9961,125.6853,Changchun,16217434,0.009823728182937305
529,12.6797,101.005,U-Tapao,1370585,0.002878362651442324
531,18.7714,98.9628,Chiang Mai,1497016,0.0032598944208270058
538,13.6858,100.7489,Bangkok,23541053,0.018110461072576245
549,8.1122,98.3053,Phuket,711102,0.0032541743099788354
566,27.6967,85.3592,Kathmandu,4670436,0.00010954024372294528
575,17.9883,102.5633,Vientiane,1706759,0.0021650641439774137
596,14.5086,121.0194,Manila,26922690,0.0007078644253256202
602,11.6844,122.3811,Kalibo,1326601,0.0002116443073065335
733,50.0331,8.5706,Frankfurt,6970523,0.00013528076828024055
791,51.4775,-0.4614,London (UK),17233070,0.0005617154412857493
875,16.9072,96.1333,Yangon,11684460,0.0007622055556048207
884,21.7022,95.9781,Mandalay,7168138,0.0006623895157680817
1124,10.2269,103.9672,Phuquoc,87833,0.0003726656001440693
1125,21.2211,105.8072,Hanoi,20834462,0.0005637174878047666
1129,10.8189,106.6519,Ho Chi Minh City,16228217,0.002022347195557816
1137,11.9981,109.2192,Nha Trang,1733076,0.003294501114624915
1238,-8.7481,115.1672,Denpasar,5493498,0.0017374854076174313
1295,1.5492,124.9264,Manado,1850873,0.0007132985589459597
1314,-6.1256,106.6558,Jakarta,36994844,0.002501406981032389
1535,49.0097,2.5478,Paris,13528665,0.00024710903575003463
