id,lat,lng,label,population,risk
69,23.8433,90.3978,Dhaka,57695473,0.0001508204830490297
173,5.2972,100.2767,Penang,2621408,0.0001366807976493842
182,2.7456,101.7147,Kuala Lumpur,8711663,0.00102746316217976
221,11.5467,104.8442,Phnom Penh,12169535,0.0008530776679501968
222,13.4106,103.8128,Siem Reap,4814927,0.00011311493810469392
315,30.5786,103.9472,Chengdu,62854385,0.06819905202418089
322,39.1244,117.3461,Tianjin,14241195,0.04225324851469529
325,29.7194,106.6419,Chongqing,16205267,0.016500682847729344
343,36.5167,103.6167,Lanzhou,6850245,0.09801905213203108
358,45.6233,126.2503,Harbin,12100114,0.000565576387251783
363,23.4275,116.7625,Shantou,16909762,0.022778577607276758
373,18.3028,109.4122,Sanya,2888131,0.002059639835614121
376,25.935,119.6633,Fuzhou,10913454,0.0006362731175216969
379,43.9072,87.4742,Urumqi,5237049,0.00024508307286363396
394,38.9656,121.5386,Dalian,5749540,0.05742482723414681
399,21.9731,100.7631,Jinghong,1382281,0.00030635362898850336
412,31.1433,121.8053,Shanghai,20308438,0.055186088393048525
413,41.6397,123.4833,Shenyang,13195977,0.0002403695616090333
420,40.08,116.5844,Beijing,28331507,0.12453985820291352
430,24.5442,118.1278,Xiamen,8240158,0.03870425789360928
455,23.3925,113.2989,Guangzhou,39293380,0.1423932101901012
456,28.1936,113.2178,Changsha,18325936,0.019008070621235957
457,30.2294,120.4344,Hangzhou,12817942,0.06121418741684186
458,24.9922,102.7436,Kunming,11115277,0.0024838219139619185
460,26.5386,106.8008,Guiyang,7252992,0.046099165742260605
461,25.2181,110.0392,Guilin,4941136,0.0005043049827627568
465,27.9131,120.8522,Wenzhou,9918949,0.00011782844935929463
469,21.2153,110.3583,Zhanjiang,11700739,0.00032520597727859286
470,22.6083,108.1725,Nanning,8261012,0.027303186160198542
473,22.3089,113.9147,Hong Kong,36745880,0.09667580916671778
475,19.9347,110.4589,Haikou,5945540,0.045231949237274915
476,36.8572,117.2161,Jinan,24300017,0.017504580150364414
483,43.9961,125.6853,Changchun,16217434,0.0004901661457272679
538,13.6858,100.7489,Bangkok,23541053,0.0006268469433766522
596,14.5086,121.0194,Manila,26922690,0.0006362731175216969
1125,21.2211,105.8072,Hanoi,20834462,0.0004901661457272679
1129,10.8189,106.6519,Ho Chi Minh City,16228217,0.001564760178632252
1314,-6.1256,106.6558,Jakarta,36994844,0.0002733615952987684
1595,-34.945,138.5306,Adelaide,1303638,0.00016024665719407443
1612,-33.9461,151.1772,Sydney (AU),4670715,0.0010698813700145398
1648,-37.6733,144.8433,Melbourne (AU),4144035,0.0008200856342604618
1890,55.4089,37.9064,Moscow,24597359,0.00011782844935929463
2766,49.1939,-123.1844,Vancouver,2794226,0.0004053297300577085
2803,37.4692,126.4506,Seoul,27019922,0.000881356190385331
2821,1.3592,103.9894,Singapore,4091180,0.0007352492185909021
2825,25.0778,121.2328,Taipei,10434115,0.00018381251673876478
3106,35.5522,139.7797,Tokyo,32212732,0.00010368876395964915
3120,38.8122,139.7872,Shonai,341084,0.00021680455042849976
3127,35.7647,140.3864,Tokyo Narita,8512151,0.0004477479378924883
3151,34.4272,135.2442,Osaka,19601735,0.0001272546235043394
3181,25.2528,55.3644,Dubai,1501658,0.00017909900548416399
