id,lat,lng,label,population,risk
69,23.8433,90.3978,Dhaka,57695473,0.0004081832484881505
173,5.2972,100.2767,Penang,2621408,0.0003735430181583033
182,2.7456,101.7147,Kuala Lumpur,8711663,0.0007656560600130622
186,5.9372,116.0531,Kota Kinabalu,1537665,0.0008192233940307593
221,11.5467,104.8442,Phnom Penh,12169535,0.0008027961074059735
222,13.4106,103.8128,Siem Reap,4814927,0.001665944775755221
312,35.2931,116.3467,Jining,25722140,0.0025194512558436074
314,49.2086,119.8167,Hailar,851974,0.00014463185970052582
315,30.5786,103.9472,Chengdu,62854385,0.018101480751852483
322,39.1244,117.3461,Tianjin,14241195,0.021394087518898337
323,28.8003,104.545,Yibin,52581734,0.00018177190709343715
325,29.7194,106.6419,Chongqing,16205267,0.04718784053402795
327,36.6469,119.1186,Weifang,9193768,0.002400888871028729
328,37.1872,122.2289,Weihai,2392348,0.0069612563693130895
329,46.75,125.1392,Daqing,6192883,0.00048389179180120215
330,27.8111,107.2461,Zunyi,7545282,0.00020998405476992782
334,30.8039,108.4272,Wanzhou,6879185,0.007590137165087037
338,27.8833,109.3083,Tongren,3899266,0.0035315171937558955
339,42.065,127.6025,Baishan,3207170,0.000803510331669588
341,27.8033,114.3078,Yichun (Jiangxi),6299510,0.0034883062079818466
343,36.5167,103.6167,Lanzhou,6850245,0.006018828036332718
348,34.4478,108.7539,Xi'an,22353249,0.03135011624469287
352,37.5078,118.7894,Dongying,10565224,0.0026472986846471265
353,32.1506,112.2908,Xiangyang,11750932,0.004589651014496687
355,40.5606,109.9964,Baotou,3343659,0.0055960030940192295
358,45.6233,126.2503,Harbin,12100114,0.009115021202459809
363,23.4275,116.7625,Shantou,16909762,0.012581900425409909
371,22.7947,100.9592,Simao,2213550,0.00019534229666376505
373,18.3028,109.4122,Sanya,2888131,0.0045764377049177535
375,26.6742,100.2436,Lijiang,1495973,0.0013259706193909301
376,25.935,119.6633,Fuzhou,10913454,0.0005356735330194497
378,37.4017,121.3717,Yantai,6160152,0.004301101519359249
379,43.9072,87.4742,Urumqi,5237049,0.002678724873650296
380,34.5719,118.8739,Lianyungang,7795627,0.0033276041416479287
381,34.7414,112.3894,Luoyang,11740472,0.00450251475440415
382,35.0494,118.4119,Linyi,12843250,0.0018702149078545802
391,36.2661,120.3744,Qingdao,8200069,0.04154398396438076
393,29.5147,108.8317,Qianjiang,3949506,0.0033443885725449353
394,38.9656,121.5386,Dalian,5749540,0.03514875594855445
398,28.8528,105.3933,Luzhou,9659760,0.003363672820505006
399,21.9731,100.7631,Jinghong,1382281,0.0002953346577821879
402,30.5569,111.4797,Yichang,11664371,0.006713418107167463
404,29.1044,110.4431,Zhangjiajie,2982561,0.0003496162803443259
405,31.4289,104.7408,Mianyang,8917604,0.0035361596836098017
412,31.1433,121.8053,Shanghai,20308438,0.002727739784709288
413,41.6397,123.4833,Shenyang,13195977,0.021256597966114784
414,24.4014,98.5322,Mangshi,1327739,0.0003064052945702784
420,40.08,116.5844,Beijing,28331507,0.058826241257921665
