id,lat,lng,label,population,risk
315,30.5786,103.9472,Chengdu,62854385,0.06394139087427746
325,29.7194,106.6419,Chongqing,16205267,0.2933689513578989
348,34.4478,108.7539,Xi'an,22353249,0.11274795528380242
407,29.8267,121.4619,Ningbo,6757958,0.09343284765495964
412,31.1433,121.8053,Shanghai,20308438,0.05787548859249495
420,40.08,116.5844,Beijing,28331507,0.056388943159666215
457,30.2294,120.4344,Hangzhou,12817942,0.0684409322270933
458,24.9922,102.7436,Kunming,11115277,0.1004664991342398
473,22.3089,113.9147,Hong Kong,36745880,0.036654808216708204
475,19.9347,110.4589,Haikou,5945540,0.11602035111728128
575,17.9883,102.5633,Vientiane,1706759,0.00012969816091966285
