id,lat,lng,label,population,risk
221,11.5467,104.8442,Phnom Penh,12169535,0.0003674381573674208
223,10.5797,103.6369,Sihanoukville,1091383,0.0016076813025094952
315,30.5786,103.9472,Chengdu,62854385,0.025603958844733186
316,34.2294,117.2458,Xuzhou,20796535,0.01236781047196618
322,39.1244,117.3461,Tianjin,14241195,0.044081963597014766
325,29.7194,106.6419,Chongqing,16205267,0.0491300494998371
334,30.8039,108.4272,Wanzhou,6879185,0.001808152912237445
343,36.5167,103.6167,Lanzhou,6850245,0.003013215913062092
346,31.4947,120.4294,Wuxi,7494542,0.005881801919533708
348,34.4478,108.7539,Xi'an,22353249,0.04339399440940979
358,45.6233,126.2503,Harbin,12100114,0.008668300654558031
370,29.9347,122.3619,Zhoushan,1484739,0.02488248459503973
373,18.3028,109.4122,Sanya,2888131,0.008075262241668778
378,37.4017,121.3717,Yantai,6160152,0.0025050567763650177
379,43.9072,87.4742,Urumqi,5237049,0.0031064715050338823
391,36.2661,120.3744,Qingdao,8200069,0.012209220240106324
394,38.9656,121.5386,Dalian,5749540,0.001621083367550881
398,28.8528,105.3933,Luzhou,9659760,0.001704287460999125
405,31.4289,104.7408,Mianyang,8917604,0.001538437735360605
412,31.1433,121.8053,Shanghai,20308438,0.09786976584051478
413,41.6397,123.4833,Shenyang,13195977,0.013976050235733643
414,24.4014,98.5322,Mangshi,1327739,0.00017869332942193708
420,40.08,116.5844,Beijing,28331507,0.034263324822768615
429,40.8514,111.8242,Hohhot,4401373,0.0013374077648896725
437,25.0856,104.9594,Xingyi,7357766,0.001808152912237445
438,31.9911,116.9892,Hefei,14358834,0.025833468027515842
440,38.2806,114.6972,Shijiazhuang,24520869,0.004030650907942204
445,31.7419,118.8619,Nanjing,13651608,0.023213377378873013
449,33.7875,119.1278,Huai'an,10190694,0.010018551922716137
453,37.7469,112.6283,Taiyuan,11233266,0.002476019102795329
455,23.3925,113.2989,Guangzhou,39293380,0.033061053927203835
456,28.1936,113.2178,Changsha,18325936,0.027556183202303127
457,30.2294,120.4344,Hangzhou,12817942,0.0333966623057417
458,24.9922,102.7436,Kunming,11115277,0.049335546858826816
460,26.5386,106.8008,Guiyang,7252992,0.052227586328348376
461,25.2181,110.0392,Guilin,4941136,0.014450704410857228
463,27.4414,109.7003,Huaihua,5255897,0.002801575982809644
465,27.9131,120.8522,Wenzhou,9918949,0.0007929515613592338
469,21.2153,110.3583,Zhanjiang,11700739,0.0031137308982975577
470,22.6083,108.1725,Nanning,8261012,0.01965403007953655
472,28.8639,115.9022,Nanchang,10823928,0.0014652851404359081
473,22.3089,113.9147,Hong Kong,36745880,0.06757957503980698
475,19.9347,110.4589,Haikou,5945540,0.01626499989435739
476,36.8572,117.2161,Jinan,24300017,0.021343798653493336
477,30.7839,114.2081,Wuhan,30649978,0.03784612558515503
479,26.3417,111.6089,Yongzhou,18814432,0.003768195124329041
480,35.1164,111.0336,Yuncheng,12627248,0.007437550446166552
481,34.5194,113.8411,Zhengzhou,32471775,0.05741248428323952
483,43.9961,125.6853,Changchun,16217434,0.0022811317035871205
487,31.1319,107.4306,Dazhou,9124364,0.0029445306061411988
538,13.6858,100.7489,Bangkok,23541053,0.004326611653128864
596,14.5086,121.0194,Manila,26922690,0.02884835922383685
601,10.7131,122.5453,Ilo-Ilo,1732160,0.0001759012241620663
619,7.1253,125.6456,Davao,4597422,0.004400322709311529
624,8.6125,124.4569,Cagayan de Oro,2074040,0.00022895082203967036
884,21.7022,95.9781,Mandalay,7168138,0.0010302785986635314
1125,21.2211,105.8072,Hanoi,20834462,0.00012955265880515513
1129,10.8189,106.6519,Ho Chi Minh City,16228217,0.00010107344649343471
1137,11.9981,109.2192,Nha Trang,1733076,0.0034342620290500987
1238,-8.7481,115.1672,Denpasar,5493498,0.006239188477862596
1758,40.9769,28.8147,Istanbul,10841539,0.00017534276290409807
2803,37.4692,126.4506,Seoul,27019922,0.00010944966175806184
2821,1.3592,103.9894,Singapore,4091180,0.010261463170540174
2825,25.0778,121.2328,Taipei,10434115,0.012977043055156687
2828,22.5772,120.35,Kaohsiung,5680715,0.00391785078018129
