id,lat,lng,label,population,risk
182,2.7456,101.7147,Kuala Lumpur,8711663,0.0002199468895859541
221,11.5467,104.8442,Phnom Penh,12169535,0.0026569509070783212
222,13.4106,103.8128,Siem Reap,4814927,0.0004975754855107208
314,49.2086,119.8167,Hailar,851974,0.0010923587794450425
315,30.5786,103.9472,Chengdu,62854385,0.0634470193802923
316,34.2294,117.2458,Xuzhou,20796535,0.0018825033332662547
322,39.1244,117.3461,Tianjin,14241195,0.04081896619213436
323,28.8003,104.545,Yibin,52581734,0.0015137187856553444
325,29.7194,106.6419,Chongqing,16205267,0.05009361416950128
329,46.75,125.1392,Daqing,6192883,0.0021033958318502455
330,27.8111,107.2461,Zunyi,7545282,0.0034716810905985967
336,46.8433,130.4653,Jiamusi,4290598,0.00010685296573693996
338,27.8833,109.3083,Tongren,3899266,0.0015651594998404314
340,40.0922,94.6817,Dunhuang,506179,0.00017569274251097886
341,27.8033,114.3078,Yichun (Jiangxi),6299510,0.0009605419472181543
343,36.5167,103.6167,Lanzhou,6850245,0.0066171296980814505
346,31.4947,120.4294,Wuxi,7494542,0.005496970259194001
348,34.4478,108.7539,Xi'an,22353249,0.039878849235873884
349,39.4922,109.8631,Ordos,1651796,0.0019742266571595502
352,37.5078,118.7894,Dongying,10565224,0.0007059860338289124
355,40.5606,109.9964,Baotou,3343659,0.0002042499095768088
357,45.2925,131.1919,Jixi,2822034,0.0012491394781618786
358,45.6233,126.2503,Harbin,12100114,0.03505892960665208
362,31.9194,119.7783,Changzhou,6991084,0.00010817681152586204
363,23.4275,116.7625,Shantou,16909762,0.001984439152638391
372,29.2981,90.9122,Lhasa,1019683,0.00012084786316627851
375,26.6742,100.2436,Lijiang,1495973,0.00019706334246669718
376,25.935,119.6633,Fuzhou,10913454,0.004255962923098619
378,37.4017,121.3717,Yantai,6160152,0.00020273696241327016
379,43.9072,87.4742,Urumqi,5237049,0.014098350008539226
387,38.27,109.7306,Yulin,3211960,0.003325491124151485
389,24.7956,118.5881,Quanzhou,9437088,0.002734868468958546
391,36.2661,120.3744,Qingdao,8200069,0.00499353205236209
394,38.9656,121.5386,Dalian,5749540,0.007000854786161389
395,32.5631,119.7189,Yangzhou,8985870,0.0018000468958537614
397,24.2078,109.3914,Liuzhou,8005244,0.0020859967692612932
402,30.5569,111.4797,Yichang,11664371,0.00326516176027648
403,29.345,120.0325,Yiwu,6139309,0.0007767170285990259
405,31.4289,104.7408,Mianyang,8917604,0.0010944390988157336
407,29.8267,121.4619,Ningbo,6757958,0.002423576458228529
412,31.1433,121.8053,Shanghai,20308438,0.08818262900500022
413,41.6397,123.4833,Shenyang,13195977,0.024990165572138824
418,30.7939,106.1597,Nanchong,12341109,0.0014027051811770221
420,40.08,116.5844,Beijing,28331507,0.13754699535676246
429,40.8514,111.8242,Hohhot,4401373,0.011538606943926158
430,24.5442,118.1278,Xiamen,8240158,0.004444894089457167
438,31.9911,116.9892,Hefei,14358834,0.010599435596663723
439,36.5286,102.0403,Xining,3472426,0.0031354252474202838
440,38.2806,114.6972,Shijiazhuang,24520869,0.02760248406130963
441,42.8828,129.4514,Yanji,1789684,0.000163399927661447
445,31.7419,118.8619,Nanjing,13651608,0.03342190440166888
450,25.8514,114.7753,Ganzhou,7056603,0.0011901339600757961
