id,lat,lng,label,population,risk
11,-8.8583,13.2311,Luanda,3965845,0.0001780781921965013
43,36.6942,3.2147,Algiers,8395497,0.00028287231468242816
52,30.1219,31.4056,Cairo,48049701,0.000847518727039948
69,23.8433,90.3978,Dhaka,57695473,0.00037748691147049534
73,25.2611,51.565,Doha,698380,0.00018428727786679085
84,42.6953,23.4061,Sofia,2702359,0.00012996835586838551
103,5.6053,-0.1667,Accra,9477081,0.00012625136047714712
105,24.9067,67.1608,Karachi,16780358,0.0002736220454353371
115,31.5217,74.4036,Lahore,16428675,0.00015514260445676208
146,44.5722,26.1022,Bucharest,5122809,0.0002906442265780414
151,31.7225,35.9933,Amman,7093425,0.0001510454535154645
173,5.2972,100.2767,Penang,2621408,0.0007519326393641894
177,1.4842,110.3439,Kuching,936145,0.00010711724460545091
182,2.7456,101.7147,Kuala Lumpur,8711663,0.005923929936139171
183,6.3386,99.7322,Langkawi,116526,0.00014610353020316197
186,5.9372,116.0531,Kota Kinabalu,1537665,0.0016213309943823395
216,-6.8781,39.2025,Dar Es Salaam,5846361,0.00011809929303147483
221,11.5467,104.8442,Phnom Penh,12169535,0.002148765149963922
222,13.4106,103.8128,Siem Reap,4814927,0.0010690182692856354
228,8.9778,38.7994,Addis Ababa,20326311,0.000499007536025872
271,33.8208,35.4883,Beirut,4273551,0.0001455544216994936
276,47.4647,8.5492,Zurich,2620529,0.0007219431935831554
279,46.2381,6.1089,Geneva,1102297,0.00033017961307646183
296,-33.3931,-70.7858,Santiago (CL),10366280,0.0003968322147327237
311,41.1025,121.0619,Jinzhou,4242220,0.0008814363708086699
312,35.2931,116.3467,Jining,25722140,0.00036354815594447456
313,46.1947,122.0083,Ulanhot,3271330,0.0002737065219121417
314,49.2086,119.8167,Hailar,851974,0.0005622810558010728
315,30.5786,103.9472,Chengdu,62854385,0.03760866998399998
319,41.5414,120.4339,Chaoyang,3891636,0.0003196199470344609
321,42.8408,93.6708,Hami,560104,0.00016557555198207658
322,39.1244,117.3461,Tianjin,14241195,0.013179518130970331
323,28.8003,104.545,Yibin,52581734,0.0008699896979587412
325,29.7194,106.6419,Chongqing,16205267,0.02900406344342692
327,36.6469,119.1186,Weifang,9193768,0.000936895736648376
328,37.1872,122.2289,Weihai,2392348,0.002477550889768669
329,46.75,125.1392,Daqing,6192883,0.0008069696152169133
330,27.8111,107.2461,Zunyi,7545282,0.002544034538471321
334,30.8039,108.4272,Wanzhou,6879185,0.0004919536855875363
336,46.8433,130.4653,Jiamusi,4290598,0.0003442028450792873
337,26.2572,105.8728,Anshun,4959935,0.00042344257102973744
338,27.8833,109.3083,Tongren,3899266,0.00033165796282498084
339,42.065,127.6025,Baishan,3207170,0.002772545696718422
341,27.8033,114.3078,Yichun (Jiangxi),6299510,0.0003285323027713746
342,29.3519,89.31,Xigaze,533212,0.00010010562860403813
343,36.5167,103.6167,Lanzhou,6850245,0.007683508064749296
344,27.7069,118.0031,Wuyishan,6414192,0.0004201902000624039
345,23.4567,111.2481,Wuzhou,11705775,0.00013689550299595258
347,39.7925,106.7994,Wuhai,1112404,0.00023041189798260104
348,34.4478,108.7539,Xi'an,22353249,0.025935551448871046
349,39.4922,109.8631,Ordos,1651796,0.0010455335730422276
351,41.2628,80.2919,Aksu,1817143,0.0001277719522655479
352,37.5078,118.7894,Dongying,10565224,0.002177318488036318
353,32.1506,112.2908,Xiangyang,11750932,0.0024427462315890604
355,40.5606,109.9964,Baotou,3343659,0.0013466529815825065
358,45.6233,126.2503,Harbin,12100114,0.01932342701756679
360,30.3211,109.4853,Enshi,3774134,0.0005527351150836861
361,36.6367,109.5533,Yan'an,3357246,0.00018500533172110945
363,23.4275,116.7625,Shantou,16909762,0.00709634844703606
366,36.0789,106.2164,Guyuan,5702804,0.0005217741784149611
367,32.39,105.6931,Guangyuan,7423759,0.001207138684996734
368,43.5575,122.2,Tongliao,4930093,0.0002192186469601272
370,29.9347,122.3619,Zhoushan,1484739,0.0004251743578116293
371,22.7947,100.9592,Simao,2213550,0.00014935590117049562
372,29.2981,90.9122,Lhasa,1019683,0.0004011405606675122
373,18.3028,109.4122,Sanya,2888131,0.019694958272797408
374,47.7514,129.0178,Yichun (Heilongjiang),2862117,0.00019983110165801716
375,26.6742,100.2436,Lijiang,1495973,0.0019117640259668895
376,25.935,119.6633,Fuzhou,10913454,0.00819590526300344
