id,lat,lng,label,population,risk
173,5.2972,100.2767,Penang,2621408,0.0012268869623117662
182,2.7456,101.7147,Kuala Lumpur,8711663,0.010189645408122228
221,11.5467,104.8442,Phnom Penh,12169535,0.0065316463630221006
222,13.4106,103.8128,Siem Reap,4814927,0.003034798281323692
223,10.5797,103.6369,Sihanoukville,1091383,0.007213390142666589
315,30.5786,103.9472,Chengdu,62854385,0.03157424068281934
316,34.2294,117.2458,Xuzhou,20796535,0.0007509882837731576
322,39.1244,117.3461,Tianjin,14241195,0.0039299410338129795
323,28.8003,104.545,Yibin,52581734,0.00013785957560036506
325,29.7194,106.6419,Chongqing,16205267,0.04960173586269853
343,36.5167,103.6167,Lanzhou,6850245,0.0017141165617679606
346,31.4947,120.4294,Wuxi,7494542,0.005577331048698578
348,34.4478,108.7539,Xi'an,22353249,0.021050333107628327
355,40.5606,109.9964,Baotou,3343659,0.0020578211251649965
358,45.6233,126.2503,Harbin,12100114,0.011610417004656108
362,31.9194,119.7783,Changzhou,6991084,0.0002864205261521349
370,29.9347,122.3619,Zhoushan,1484739,0.007472742345147912
371,22.7947,100.9592,Simao,2213550,0.00016178039605868987
373,18.3028,109.4122,Sanya,2888131,0.00660529734898641
375,26.6742,100.2436,Lijiang,1495973,0.0004979309744075994
376,25.935,119.6633,Fuzhou,10913454,0.012874444119623909
378,37.4017,121.3717,Yantai,6160152,0.003192801741512923
379,43.9072,87.4742,Urumqi,5237049,0.002179943298012136
381,34.7414,112.3894,Luoyang,11740472,0.00016366880733881473
382,35.0494,118.4119,Linyi,12843250,0.0003065644107410009
391,36.2661,120.3744,Qingdao,8200069,0.014652139725061743
394,38.9656,121.5386,Dalian,5749540,0.003903502256108349
395,32.5631,119.7189,Yangzhou,8985870,0.002462586774985603
397,24.2078,109.3914,Liuzhou,8005244,0.00010575522412773217
398,28.8528,105.3933,Luzhou,9659760,0.00017814723146888765
399,21.9731,100.7631,Jinghong,1382281,0.00032293124615119864
402,30.5569,111.4797,Yichang,11664371,0.016482712999218052
403,29.345,120.0325,Yiwu,6139309,0.020250244204315367
404,29.1044,110.4431,Zhangjiajie,2982561,0.006801070507797856
405,31.4289,104.7408,Mianyang,8917604,0.0020370478079191593
407,29.8267,121.4619,Ningbo,6757958,0.022178389171585097
412,31.1433,121.8053,Shanghai,20308438,0.10575903890887747
413,41.6397,123.4833,Shenyang,13195977,0.005832276769344261
414,24.4014,98.5322,Mangshi,1327739,0.00037329084431415415
418,30.7939,106.1597,Nanchong,12341109,0.0010468512062535443
420,40.08,116.5844,Beijing,28331507,0.04887089146351425
429,40.8514,111.8242,Hohhot,4401373,0.0009253585793725863
432,32.9811,112.6156,Nanyang,12735325,0.003042352266371818
438,31.9911,116.9892,Hefei,14358834,0.007937310102768935
439,36.5286,102.0403,Xining,3472426,0.0004790461817510955
440,38.2806,114.6972,Shijiazhuang,24520869,0.012356998806593623
441,42.8828,129.4514,Yanji,1789684,0.0001246401300934451
443,29.7328,118.2572,Huangshan,1892668,0.003448376894815578
445,31.7419,118.8619,Nanjing,13651608,0.019468410661001943
451,21.5394,109.2939,Beihai,5621760,0.0001693342677976077
453,37.7469,112.6283,Taiyuan,11233266,0.009883710543347407
455,23.3925,113.2989,Guangzhou,39293380,0.02588674781484818
456,28.1936,113.2178,Changsha,18325936,0.06534919786758744
457,30.2294,120.4344,Hangzhou,12817942,0.04173367026405827
458,24.9922,102.7436,Kunming,11115277,0.042753453146641
460,26.5386,106.8008,Guiyang,7252992,0.04129050536964927
461,25.2181,110.0392,Guilin,4941136,0.012191441361356263
465,27.9131,120.8522,Wenzhou,9918949,0.008721661603328669
469,21.2153,110.3583,Zhanjiang,11700739,0.013062033860730257
470,22.6083,108.1725,Nanning,8261012,0.015509512778928815
472,28.8639,115.9022,Nanchang,10823928,0.022049342559656016
473,22.3089,113.9147,Hong Kong,36745880,0.009505390970683987
475,19.9347,110.4589,Haikou,5945540,0.03126830581804452
476,36.8572,117.2161,Jinan,24300017,0.014386492629464656
477,30.7839,114.2081,Wuhan,30649978,0.04097261003799068
479,26.3417,111.6089,Yongzhou,18814432,0.0032488268001346714
481,34.5194,113.8411,Zhengzhou,32471775,0.04170723137304442
483,43.9961,125.6853,Changchun,16217434,0.005477241285029639
523,8.0958,98.9889,Krabi,613788,0.0003166362397262246
531,18.7714,98.9628,Chiang Mai,1497016,0.00015485595697674394
538,13.6858,100.7489,Bangkok,23541053,0.0306394397071185
549,8.1122,98.3053,Phuket,711102,0.00010575522412773217
575,17.9883,102.5633,Vientiane,1706759,0.00017625882018876282
577,19.8978,102.1608,Luang Prabang,711323,0.00016366880733881473
596,14.5086,121.0194,Manila,26922690,0.0003122298711997938
733,50.0331,8.5706,Frankfurt,6970523,0.0003122298711997938
791,51.4775,-0.4614,London (UK),17233070,0.00035818298752710937
837,52.3081,4.7642,Amsterdam,9166721,0.0002152874974341324
875,16.9072,96.1333,Yangon,11684460,0.0018733788872711352
884,21.7022,95.9781,Mandalay,7168138,0.00019010769835265464
1099,28.5664,77.1031,Delhi,62390146,0.0002152874974341324
1125,21.2211,105.8072,Hanoi,20834462,0.0005287763472570792
1129,10.8189,106.6519,Ho Chi Minh City,16228217,0.0010883979540544288
1238,-8.7481,115.1672,Denpasar,5493498,0.0001321941151415721
1314,-6.1256,106.6558,Jakarta,36994844,0.0014018866905681669
1535,49.0097,2.5478,Paris,13528665,0.0002971219011035398
1603,-27.3842,153.1175,Brisbane,1972855,0.00017248177101009468
1612,-33.9461,151.1772,Sydney (AU),4670715,0.0008957722984554685
1615,-31.9403,115.9669,Perth,1700500,0.00011142068458652512
1648,-37.6733,144.8433,Melbourne (AU),4144035,0.0006502689741380372
1890,55.4089,37.9064,Moscow,24597359,0.0003116003252336128
1918,52.2681,104.3889,Irkutsk,1220082,0.00036573697257523635
2375,37.6189,-122.3917,San Francisco,7595097,0.00043938795853954484
2393,33.9425,-118.4081,Los Angeles,19797290,0.0006559344345968303
2518,40.6397,-73.7789,New York,16714154,0.0002977514470697209
2682,43.6772,-79.6306,Toronto,7618258,0.00010701420275088512
2766,49.1939,-123.1844,Vancouver,2794226,0.0002272479643178994
2801,33.5114,126.4931,Jeju,527344,0.0008529665720314307
2803,37.4692,126.4506,Seoul,27019922,0.0007654667079032305
2821,1.3592,103.9894,Singapore,4091180,0.00879657156791613
2825,25.0778,121.2328,Taipei,10434115,0.006993066730739845
2874,40.4936,-3.5667,Madrid,6752288,0.00012023364825780507
3046,-37.0097,174.7917,Auckland,1473397,0.0002410968424817913
3099,41.8003,12.2389,Rome,4729924,0.00015548538963371586
3106,35.5522,139.7797,Tokyo,32212732,0.00033426216706878463
3127,35.7647,140.3864,Tokyo Narita,8512151,0.0005149273557839782
3141,34.8583,136.8053,Nagoya,11834566,0.0002448737783512502
3147,33.5858,130.4506,Fukuoka,3931988,0.00012149262688095808
3151,34.4272,135.2442,Osaka,19601735,0.0008221213124911601
3181,25.2528,55.3644,Dubai,1501658,0.0006937041332190469
