id,lat,lng,label,population,risk
69,23.8433,90.3978,Dhaka,57695473,0.00010376984679307434
182,2.7456,101.7147,Kuala Lumpur,8711663,0.00020001436996542251
221,11.5467,104.8442,Phnom Penh,12169535,0.0002526913501415484
222,13.4106,103.8128,Siem Reap,4814927,0.004778956423139429
314,49.2086,119.8167,Hailar,851974,0.0001623878944462702
315,30.5786,103.9472,Chengdu,62854385,0.039104189403410136
316,34.2294,117.2458,Xuzhou,20796535,0.0015609039428916135
322,39.1244,117.3461,Tianjin,14241195,0.0017154138183557686
325,29.7194,106.6419,Chongqing,16205267,0.05186985699371082
330,27.8111,107.2461,Zunyi,7545282,0.0063485739174056295
338,27.8833,109.3083,Tongren,3899266,0.0018203284885820602
343,36.5167,103.6167,Lanzhou,6850245,0.024154998932043897
348,34.4478,108.7539,Xi'an,22353249,0.015121876102038525
349,39.4922,109.8631,Ordos,1651796,0.005470491145192597
353,32.1506,112.2908,Xiangyang,11750932,0.0034354938103779357
355,40.5606,109.9964,Baotou,3343659,0.009464044778614232
358,45.6233,126.2503,Harbin,12100114,0.02794774606742828
363,23.4275,116.7625,Shantou,16909762,0.007774814804826155
373,18.3028,109.4122,Sanya,2888131,0.057806916207205725
375,26.6742,100.2436,Lijiang,1495973,0.010529071629376928
376,25.935,119.6633,Fuzhou,10913454,0.007673817441930598
378,37.4017,121.3717,Yantai,6160152,0.004780540750575324
379,43.9072,87.4742,Urumqi,5237049,0.01832131339436778
380,34.5719,118.8739,Lianyungang,7795627,0.0036850166482321712
387,38.27,109.7306,Yulin,3211960,0.0016044714858878355
388,25.6503,100.3194,Dali,3767440,0.00687494826111501
389,24.7956,118.5881,Quanzhou,9437088,0.0028588187994156747
391,36.2661,120.3744,Qingdao,8200069,0.000965613744010794
394,38.9656,121.5386,Dalian,5749540,0.024132026932791924
395,32.5631,119.7189,Yangzhou,8985870,0.0023007589763719733
396,29.3058,94.3386,Nyingchi,182206,0.00033348926897488915
398,28.8528,105.3933,Luzhou,9659760,0.0019062752755284035
399,21.9731,100.7631,Jinghong,1382281,0.0003703235451299738
402,30.5569,111.4797,Yichang,11664371,0.006466998240465884
405,31.4289,104.7408,Mianyang,8917604,0.012954195996286224
406,41.1056,122.8561,Anshan,8750351,0.0027364337647040405
407,29.8267,121.4619,Ningbo,6757958,0.01871104432678038
411,39.9678,119.7292,Qinhuangdao,4523764,0.0031479484686147523
412,31.1433,121.8053,Shanghai,20308438,0.05255386639214325
413,41.6397,123.4833,Shenyang,13195977,0.022535080770524813
414,24.4014,98.5322,Mangshi,1327739,0.00010456197486490247
429,40.8514,111.8242,Hohhot,4401373,0.01139131162627668
430,24.5442,118.1278,Xiamen,8240158,0.04283039706783858
436,44.5242,129.5689,Mudanjiang,3143833,0.0006285599343587979
438,31.9911,116.9892,Hefei,14358834,0.020187189710479517
439,36.5286,102.0403,Xining,3472426,0.0013759402201676436
442,33.4261,120.2031,Yancheng,6283873,0.008003345999254109
445,31.7419,118.8619,Nanjing,13651608,0.023044028154069498
449,33.7875,119.1278,Huai'an,10190694,0.006790981901286596
451,21.5394,109.2939,Beihai,5621760,0.015161482933383366
455,23.3925,113.2989,Guangzhou,39293380,0.05998766660437379
456,28.1936,113.2178,Changsha,18325936,0.0057612050705353295
457,30.2294,120.4344,Hangzhou,12817942,0.050348559810871794
458,24.9922,102.7436,Kunming,11115277,0.03453356465934422
460,26.5386,106.8008,Guiyang,7252992,0.013253623401711306
461,25.2181,110.0392,Guilin,4941136,0.002478197446767456
465,27.9131,120.8522,Wenzhou,9918949,0.01028350943188183
469,21.2153,110.3583,Zhanjiang,11700739,0.0025562228817032785
470,22.6083,108.1725,Nanning,8261012,0.01966992494653452
472,28.8639,115.9022,Nanchang,10823928,0.011261797438918593
473,22.3089,113.9147,Hong Kong,36745880,0.049853870875204515
475,19.9347,110.4589,Haikou,5945540,0.05574419410470813
483,43.9961,125.6853,Changchun,16217434,0.024178366888393428
484,42.16,118.8408,Chifeng,9056162,0.03117966089587145
538,13.6858,100.7489,Bangkok,23541053,0.00810196690664194
549,8.1122,98.3053,Phuket,711102,0.007200912277761412
575,17.9883,102.5633,Vientiane,1706759,0.00012317716278346168
596,14.5086,121.0194,Manila,26922690,0.00033586565319037345
1129,10.8189,106.6519,Ho Chi Minh City,16228217,0.0002055592664682193
1238,-8.7481,115.1672,Denpasar,5493498,0.00012476141892711794
1314,-6.1256,106.6558,Jakarta,36994844,0.0003085369851894656
1612,-33.9461,151.1772,Sydney (AU),4670715,0.0004206242123828548
1648,-37.6733,144.8433,Melbourne (AU),4144035,0.00047726190421036076
2801,33.5114,126.4931,Jeju,527344,0.0011652320142941824
2803,37.4692,126.4506,Seoul,27019922,0.002781189464161885
2821,1.3592,103.9894,Singapore,4091180,0.001581499486635863
2825,25.0778,121.2328,Taipei,10434115,0.009538109501898677
3046,-37.0097,174.7917,Auckland,1473397,0.00028873356951704437
3106,35.5522,139.7797,Tokyo,32212732,0.00010931474329587116
3127,35.7647,140.3864,Tokyo Narita,8512151,0.0002103121061914274
3151,34.4272,135.2442,Osaka,19601735,0.0001148597110909074
