id,lat,lng,label,population,risk
221,11.5467,104.8442,"Phnom Penh",12169535,0.011138976915473964
276,47.4647,8.5492,"Zurich",2620529,0.0001600810058006745
315,30.5786,103.9472,"Chengdu",62854385,0.0011956056592766964
322,39.1244,117.3461,"Tianjin",14241195,0.00016675128532942746
325,29.7194,106.6419,"Chongqing",16205267,0.0001267308087652037
346,31.4947,120.4294,"Wuxi",7494542,0.01943984939187591
348,34.4478,108.7539,"Xi'an",22353249,0.0002017688271330314
373,18.3028,109.4122,"Sanya",2888131,0.011334075763230316
376,25.935,119.6633,"Fuzhou",10913454,0.00044189048591007987
391,36.2661,120.3744,"Qingdao",8200069,0.00030015207347131067
394,38.9656,121.5386,"Dalian",5749540,0.0001467410470473156
407,29.8267,121.4619,"Ningbo",6757958,0.0069618604596142
412,31.1433,121.8053,"Shanghai",20308438,0.00874443030708016
420,40.08,116.5844,"Beijing",28331507,0.0009688242594050802
430,24.5442,118.1278,"Xiamen",8240158,0.005202635840118693
445,31.7419,118.8619,"Nanjing",13651608,0.005219311088712465
455,23.3925,113.2989,"Guangzhou",39293380,0.013643579384191275
456,28.1936,113.2178,"Changsha",18325936,0.0006019717918628279
457,30.2294,120.4344,"Hangzhou",12817942,0.00889617398873602
458,24.9922,102.7436,"Kunming",11115277,0.00026846922120397297
460,26.5386,106.8008,"Guiyang",7252992,0.00010171823602661899
470,22.6083,108.1725,"Nanning",8261012,0.0004568980895836454
472,28.8639,115.9022,"Nanchang",10823928,0.00027847449042106565
473,22.3089,113.9147,"Hong Kong",36745880,0.30895319920339676
475,19.9347,110.4589,"Haikou",5945540,0.0009071261997906115
476,36.8572,117.2161,"Jinan",24300017,0.00020343647205323798
477,30.7839,114.2081,"Wuhan",30649978,0.0004118752785629489
481,34.5194,113.8411,"Zhengzhou",32471775,0.0001467410470473156
538,13.6858,100.7489,"Bangkok",23541053,0.02771070636077865
566,27.6967,85.3592,"Kathmandu",4670436,0.0001467410470473156
596,14.5086,121.0194,"Manila",26922690,0.00024178930369725515
748,48.3539,11.7861,"Munich",4802084,0.00017842359916257978
758,7.1803,79.8853,"Colombo",9032691,0.00016174865072088112
791,51.4775,-0.4614,"London (UK)",17233070,0.00010505322571495873
875,16.9072,96.1333,"Yangon",11684460,0.0001700862750177672
1053,12.9944,80.1806,"Chennai",10117338,0.00016508364040922088
1085,13.1989,77.7056,"Bengaluru",20037284,0.00017675625439444667
1090,19.0886,72.8681,"Mumbai",28236589,0.00013340078814188318
1099,28.5664,77.1031,"Delhi",62390146,0.0001567460161123348
1125,21.2211,105.8072,"Hanoi",20834462,0.04152103673014729
1129,10.8189,106.6519,"Ho Chi Minh City",16228217,0.1008611016554254
1139,16.0439,108.1994,"Da Nang",1821939,0.00010171823602661899
1314,-6.1256,106.6558,"Jakarta",36994844,0.0009571516454198544
1535,49.0097,2.5478,"Paris",13528665,0.00011839318446831766
1612,-33.9461,151.1772,"Sydney (AU)",4670715,0.0001600810058006745
1648,-37.6733,144.8433,"Melbourne (AU)",4144035,0.00019343120283614535
2803,37.4692,126.4506,"Seoul",27019922,0.02929150738111158
2821,1.3592,103.9894,"Singapore",4091180,0.00016174865072088112
2823,24.4297,118.3617,"Kinmen",127723,0.20898921877869694
2825,25.0778,121.2328,"Taipei",10434115,0.0009138008197404482
2826,24.0231,121.6178,"Hualien",820866,0.0054427584617473485
2827,23.5686,119.6283,"Magong",258608,0.1352685348946873
2828,22.5772,120.35,"Kaohsiung",5680715,0.0004552319349094687
2884,41.2969,2.0783,"Barcelona (ES)",4148999,0.00010171823602661899
3046,-37.0097,174.7917,"Auckland",1473397,0.00015007603673565533
3127,35.7647,140.3864,"Tokyo Narita",8512151,0.023805394415963275
3135,26.1958,127.6458,"Okinawa",1306046,0.01276980308128406
3139,33.8458,131.0347,"Kitakyushu",2199219,0.00015841366103254138
