id,lat,lng,label,population,risk
52,30.1219,31.4056,"Cairo",48049701,0.0008178015558894132
69,23.8433,90.3978,"Dhaka",57695473,0.000304730060192983
151,31.7225,35.9933,"Amman",7093425,0.0001520009595912437
169,4.3133,118.1219,"Tawau",556718,0.00017020466507033436
173,5.2972,100.2767,"Penang",2621408,0.0027498520173751487
177,1.4842,110.3439,"Kuching",936145,0.0003336739602602387
179,1.6389,103.6703,"Johor Bahru",3162256,0.00010130362566039021
182,2.7456,101.7147,"Kuala Lumpur",8711663,0.026098109049479862
186,5.9372,116.0531,"Kota Kinabalu",1537665,0.0038788459586507076
221,11.5467,104.8442,"Phnom Penh",12169535,0.004435333279873017
222,13.4106,103.8128,"Siem Reap",4814927,0.0012663408910055457
276,47.4647,8.5492,"Zurich",2620529,0.0004977803706426585
279,46.2381,6.1089,"Geneva",1102297,0.0002120731827572418
296,-33.3931,-70.7858,"Santiago (CL)",10366280,0.00010976835501575194
315,30.5786,103.9472,"Chengdu",62854385,0.005475220055714004
316,34.2294,117.2458,"Xuzhou",20796535,0.0009038140728793682
322,39.1244,117.3461,"Tianjin",14241195,0.0028679030664936385
325,29.7194,106.6419,"Chongqing",16205267,0.005704404732434594
328,37.1872,122.2289,"Weihai",2392348,0.0003079157016889058
343,36.5167,103.6167,"Lanzhou",6850245,0.0008363693318737516
346,31.4947,120.4294,"Wuxi",7494542,0.0039023287356059
348,34.4478,108.7539,"Xi'an",22353249,0.0030115303225475005
358,45.6233,126.2503,"Harbin",12100114,0.0027035235950406146
362,31.9194,119.7783,"Changzhou",6991084,0.001186881708643397
363,23.4275,116.7625,"Shantou",16909762,0.0010111249274096928
373,18.3028,109.4122,"Sanya",2888131,0.0007782084870519727
375,26.6742,100.2436,"Lijiang",1495973,0.0009057254512235872
376,25.935,119.6633,"Fuzhou",10913454,0.006500179809773142
378,37.4017,121.3717,"Yantai",6160152,0.0015456767795157802
389,24.7956,118.5881,"Quanzhou",9437088,0.0021151797769423946
391,36.2661,120.3744,"Qingdao",8200069,0.002961652155445123
394,38.9656,121.5386,"Dalian",5749540,0.002121460050499596
395,32.5631,119.7189,"Yangzhou",8985870,0.0004581873181885543
403,29.345,120.0325,"Yiwu",6139309,0.0008820606390157705
407,29.8267,121.4619,"Ningbo",6757958,0.0039154354048615125
412,31.1433,121.8053,"Shanghai",20308438,0.05543929955651193
413,41.6397,123.4833,"Shenyang",13195977,0.0031433251561141175
420,40.08,116.5844,"Beijing",28331507,0.017811326386801087
429,40.8514,111.8242,"Hohhot",4401373,0.0006773599413314739
430,24.5442,118.1278,"Xiamen",8240158,0.008849732309094246
438,31.9911,116.9892,"Hefei",14358834,0.0028856516756495007
440,38.2806,114.6972,"Shijiazhuang",24520869,0.002191908397748512
442,33.4261,120.2031,"Yancheng",6283873,0.0005167122335155811
443,29.7328,118.2572,"Huangshan",1892668,0.0012183741350140604
445,31.7419,118.8619,"Nanjing",13651608,0.006312772641304816
449,33.7875,119.1278,"Huai'an",10190694,0.0009106404521944419
453,37.7469,112.6283,"Taiyuan",11233266,0.002039725402904644
455,23.3925,113.2989,"Guangzhou",39293380,0.009743989424719175
456,28.1936,113.2178,"Changsha",18325936,0.003101092551538626
457,30.2294,120.4344,"Hangzhou",12817942,0.007186641612035829
458,24.9922,102.7436,"Kunming",11115277,0.002126101990399847
460,26.5386,106.8008,"Guiyang",7252992,0.0022487039699839433
461,25.2181,110.0392,"Guilin",4941136,0.003009072822062073
465,27.9131,120.8522,"Wenzhou",9918949,0.0025609885668858323
470,22.6083,108.1725,"Nanning",8261012,0.0023809538998737887
472,28.8639,115.9022,"Nanchang",10823928,0.0020424559644606757
473,22.3089,113.9147,"Hong Kong",36745880,0.14975006754474424
475,19.9347,110.4589,"Haikou",5945540,0.0027580436856599064
476,36.8572,117.2161,"Jinan",24300017,0.0019323235225563395
477,30.7839,114.2081,"Wuhan",30649978,0.0031783672944859518
481,34.5194,113.8411,"Zhengzhou",32471775,0.004110397110038744
483,43.9961,125.6853,"Changchun",16217434,0.001888907680647124
512,60.3172,24.9633,"Helsinki",1565388,0.00021635106853558104
523,8.0958,98.9889,"Krabi",613788,0.00012642475265587126
528,17.3864,102.7883,"Udon Thani",2521825,0.0001796705965067957
529,12.6797,101.005,"U-Tapao",1370585,0.0001394403960935032
530,9.5503,100.0625,"Ko Samui",127979,0.0002563081914949329
531,18.7714,98.9628,"Chiang Mai",1497016,0.0029661120600927493
536,6.9328,100.395,"Hat Yai",1959614,0.0003053671917688348
537,15.2514,104.8703,"Ubon Ratchathani",3726570,0.0001039431613984414
538,13.6858,100.7489,"Bangkok",23541053,0.0416541781316692
545,19.9522,99.8831,"Chiang Rai",1542645,0.0002918964520079749
549,8.1122,98.3053,"Phuket",711102,0.0008795121127123628
566,27.6967,85.3592,"Kathmandu",4670436,0.00035060340258762557
575,17.9883,102.5633,"Vientiane",1706759,0.0002026982771387607
596,14.5086,121.0194,"Manila",26922690,0.019110524976763646
597,11.9244,121.9542,"Caticlan",485256,0.00015764410157259384
601,10.7131,122.5453,"Ilo-Ilo",1732160,0.0001787604038603397
602,11.6844,122.3811,"Kalibo",1326601,0.0005756012193478557
607,11.2275,125.0278,"Tacloban",2055059,0.00011504742649185427
608,9.7422,118.7586,"Puerto Princesa",760747,0.0004856749034681459
615,10.3075,123.9794,"Cebu",4439843,0.004642127391154156
616,15.1861,120.5603,"Angeles",12020296,0.0011936170949071638
619,7.1253,125.6456,"Davao",4597422,0.00021161810281735037
622,10.7767,123.0192,"Bacolod",2756636,0.00011076955709685157
626,-26.1392,28.2461,"Johannesburg",13748925,0.00039147071819343337
635,-33.9647,18.6017,"Cape Town",3657016,0.00018840837054942498
720,50.9014,4.4844,"Brussels",6677903,0.00021644207797022472
733,50.0331,8.5706,"Frankfurt",6970523,0.0026063157871392666
735,53.6303,9.9883,"Hamburg",3726203,0.00018058077276991512
742,52.5597,13.2878,"Berlin",5387837,0.0002815203279250576
748,48.3539,11.7861,"Munich",4802084,0.0006599754026808591
750,51.2894,6.7667,"Duesseldorf",5382885,0.00019496170517723104
753,13.4833,144.7961,"Guam",208888,0.0013270502621307325
758,7.1803,79.8853,"Colombo",9032691,0.0003536980346489048
789,53.3536,-2.275,"Manchester",5485344,0.00018185503592161887
791,51.4775,-0.4614,"London (UK)",17233070,0.004172016657427049
814,33.3675,-7.59,"Casablanca",8180563,0.0002320972735292444
830,47.4369,19.2556,"Budapest",4865499,0.00017366336763686126
837,52.3081,4.7642,"Amsterdam",9166721,0.001664182924957498
856,47.8431,106.7667,"Ulaanbaatar",1484007,0.00011477438180458672
875,16.9072,96.1333,"Yangon",11684460,0.0021028012486972777
915,37.9364,23.9444,"Athens (GR)",4646597,0.00013843919401240355
1024,19.4364,-99.0722,"Mexico City",20670987,0.00011595761913831027
1053,12.9944,80.1806,"Chennai",10117338,0.00037080951222891547
1085,13.1989,77.7056,"Bengaluru",20037284,0.00042068767933129325
1090,19.0886,72.8681,"Mumbai",28236589,0.000509248706241319
1094,17.2311,78.4314,"Hyderabad (IN)",31863233,0.00012515048950416749
1095,22.6547,88.4467,"Kolkata",72296808,0.00014162483550832637
1099,28.5664,77.1031,"Delhi",62390146,0.0014226197199917923
1111,24.7444,84.9511,"Gaya",24170199,0.0002042456013610685
1120,11.75,108.3667,"Dalat",2517209,0.00036006933402408695
1124,10.2269,103.9672,"Phuquoc",87833,0.0003019994986369516
1125,21.2211,105.8072,"Hanoi",20834462,0.0131601881605337
1128,14.0044,108.0172,"Pleiku",1320677,0.00013643678985020426
1129,10.8189,106.6519,"Ho Chi Minh City",16228217,0.016371413137593323
1130,16.4008,107.7031,"Hue",1815500,0.0001980563372385102
1137,11.9981,109.2192,"Nha Trang",1733076,0.00013425233405204453
1138,18.7375,105.6708,"Vinh City",8096702,0.00018476763273027414
1139,16.0439,108.1994,"Da Nang",1821939,0.002327617030204884
1173,60.1939,11.1003,"Oslo",1300337,0.00016392439151313238
1175,50.1008,14.26,"Prague",3395494,0.00039301804241574124
1205,32.0072,34.8806,"Tel Aviv",4546752,0.0005046067663410685
1238,-8.7481,115.1672,"Denpasar",5493498,0.004614002674298711
1248,-6.9714,110.3742,"Semarang",18252088,0.00013388826354679675
1254,-7.3797,112.7869,"Surabaya",14697428,0.002235779335980955
1290,3.5581,98.6717,"Medan",10164885,0.00017593883286966467
1295,1.5492,124.9264,"Manado",1850873,0.00013889429033563157
1308,-7.7881,110.4317,"Yogyakarta",21930984,0.00014490150282222942
1314,-6.1256,106.6558,"Jakarta",36994844,0.007688881887326114
1439,38.7742,-9.1342,"Lisbon",3796257,0.0003830060052214082
1479,4.1917,73.5292,"Male",172562,0.00046483166225100406
1535,49.0097,2.5478,"Paris",13528665,0.0032741187875996356
1564,55.6203,12.6503,"Copenhagen",2357021,0.00030345579704127917
1595,-34.945,138.5306,"Adelaide",1303638,0.0002046096718663163
1603,-27.3842,153.1175,"Brisbane",1972855,0.0032818553759445014
1612,-33.9461,151.1772,"Sydney (AU)",4670715,0.004250838708213346
1615,-31.9403,115.9669,"Perth",1700500,0.00047502573469796096
1648,-37.6733,144.8433,"Melbourne (AU)",4144035,0.002199371908639437
1699,48.1103,16.5781,"Vienna",2819261,0.0027498520173751487
1722,7.3672,134.5442,"Koror",25584,0.0005093397320592993
1758,40.9769,28.8147,"Istanbul",10841539,0.0024225493728734287
1789,4.9442,114.9283,"Bandar Seri Begawan",391353,0.0004428961931347824
1890,55.4089,37.9064,"Moscow",24597359,0.00026804958816419765
2042,-23.4319,-46.4694,"Sao Paulo",23797477,0.00028170236317768144
2076,30.4942,-81.6878,"Jacksonville (US-FL)",1359465,0.00013998650185137487
2181,30.1944,-97.67,"Austin",1488404,0.0003246631251470053
2195,27.9756,-82.5333,"Tampa",3021308,0.0002280014393868656
2204,33.6367,-84.4281,"Atlanta",4756209,0.0002621333851122434
2217,41.9786,-87.9047,"Chicago",9723114,0.0009442262921619479
2257,35.8778,-78.7875,"Raleigh",1592870,0.0003587950708723832
2272,32.7336,-117.1897,"San Diego",3859323,0.00027351069489292383
2299,45.5886,-122.5975,"Portland (US-OR)",2775676,0.00042997155913179416
2303,40.7883,-111.9778,"Salt Lake City",1873818,0.0001539123379354628
2305,25.7933,-80.2906,"Miami",5181145,0.00021944568421352364
2334,29.9844,-95.3414,"Houston",5803516,0.0010320591780614782
2335,39.1753,-76.6683,"Baltimore",8035632,0.0007951379293793595
2346,61.1744,-149.9964,"Anchorage",392877,0.0004271499881411191
2366,39.8617,-104.6731,"Denver",3201129,0.0002355559760957713
2375,37.6189,-122.3917,"San Francisco",7595097,0.008574765299413659
2393,33.9425,-118.4081,"Los Angeles",19797290,0.010407969652107768
2396,36.08,-115.1522,"Las Vegas",1646212,0.0004469920272771612
2397,42.2125,-83.3533,"Detroit",4388129,0.00023610208185364297
2429,47.4489,-122.3094,"Seattle",4500055,0.0012535072828205379
2441,33.4342,-112.0117,"Phoenix",3973284,0.0002911682946141428
2489,42.3644,-71.0053,"Boston",5294555,0.0007257818100295239
2511,21.3278,-157.9222,"Honolulu",1093438,0.0011453772614617376
2518,40.6397,-73.7789,"New York",16714154,0.004848921518818631
2528,44.8819,-93.2217,"Minneapolis",3364034,0.0002001497672186897
2532,28.4294,-81.3089,"Orlando",3230600,0.00023901467866229825
2533,32.8969,-97.0381,"Dallas",6658743,0.0005478405729976601
2571,59.6519,17.9186,"Stockholm",2241423,0.00027605922119633143
2642,53.3075,-113.5861,"Edmonton",1387873,0.00010567252087337313
2682,43.6772,-79.6306,"Toronto",7618258,0.0012963770189718814
2716,51.1139,-114.0203,"Calgary",1610469,0.00027651431751955937
2766,49.1939,-123.1844,"Vancouver",2794226,0.0037915591785090486
2777,45.4706,-73.7408,"Montreal",5049937,0.00023928773973290235
2800,36.7167,127.4992,"Cheongju",4827368,0.002106988108657637
2801,33.5114,126.4931,"Jeju",527344,0.002803188887044053
2803,37.4692,126.4506,"Seoul",27019922,0.054027329005290316
2804,35.8942,128.6589,"Daegu",4110186,0.0056533433443818285
2806,35.1403,129.0628,"Pusan",4350635,0.012660860465668734
2808,35.1264,126.8089,"Gwangju",2122499,0.0024205469523278923
2809,35.5936,129.3517,"Ulsan",1877600,0.00017648493862753632
2821,1.3592,103.9894,"Singapore",4091180,0.03340061723845269
2823,24.4297,118.3617,"Kinmen",127723,0.02216073817550213
2824,22.7931,121.1819,"Taitung",814509,0.005833195959757911
2826,24.0231,121.6178,"Hualien",820866,0.0015092694233567682
2827,23.5686,119.6283,"Magong",258608,0.011226044252684449
2828,22.5772,120.35,"Kaohsiung",5680715,0.01314926593069291
2852,52.1658,20.9672,"Warsaw",6532383,0.00028661736414853606
2874,40.4936,-3.5667,"Madrid",6752288,0.0006122816913766409
2884,41.2969,2.0783,"Barcelona (ES)",4148999,0.0008741420318016168
2925,53.4214,-6.27,"Dublin",2249671,0.0001222378926955122
3037,-45.0183,168.7467,"Queenstown",36427,0.00010913122343990006
3041,-43.4894,172.5322,"Christchurch",450914,0.0006433190214240762
3046,-37.0097,174.7917,"Auckland",1473397,0.002415631951357038
3085,45.5053,12.3519,"Venice",3258564,0.0001712968929694142
3093,45.63,8.7231,"Milan",8907478,0.000832091462478749
3099,41.8003,12.2389,"Rome",4729924,0.0013240466558874333
3105,39.4286,141.1353,"Hanamaki",1407246,0.0005176224097787005
3106,35.5522,139.7797,"Tokyo",32212732,0.03039727860057328
3107,31.8772,131.4486,"Miyazaki",902807,0.0008715935054982094
3108,36.3947,136.4067,"Komatsu",1479677,0.002262447754432071
3110,34.7569,133.8553,"Okayama",2017693,0.0015190993704993082
3111,43.6708,142.4475,"Asahikawa",674463,0.0006221116933183502
3115,31.8033,130.7194,"Kagoshima",1760168,0.0013134884965518923
3122,38.1397,140.9169,"Sendai",2131405,0.0036622218290445216
3123,33.5461,133.6694,"Kochi (JP)",902711,0.0002330074497923638
3127,35.7647,140.3864,"Tokyo Narita",8512151,0.051579476486552124
3128,40.7347,140.6908,"Aomori",799208,0.00030973608698181776
3129,32.9169,129.9136,"Nagasaki",2172181,0.0006698964304405483
3132,39.6156,140.2186,"Akita",752202,0.0004474471236003892
3135,26.1958,127.6458,"Okinawa",1306046,0.019110798037834248
3137,33.8272,132.6997,"Matsuyama",1202529,0.00011613965439093415
3139,33.8458,131.0347,"Kitakyushu",2199219,0.0015732554069966885
3140,37.2275,140.4306,"Fukushima",2053602,0.00023601107241899935
3141,34.8583,136.8053,"Nagoya",11834566,0.015561712240554026
3143,36.6483,137.1875,"Toyama",1516469,0.0011958925437566305
3144,34.4361,132.9194,"Hiroshima",1535236,0.00169858793175348
3145,34.2142,134.0156,"Takamatsu",1179894,0.001651986431965005
3147,33.5858,130.4506,"Fukuoka",3931988,0.01576941654448162
3151,34.4272,135.2442,"Osaka",19601735,0.04947549200052112
3152,37.9558,139.1208,"Niigata",2202929,0.0009267507440766895
3158,42.7753,141.6922,"Sapporo",3205804,0.013066348045764236
3159,41.77,140.8219,"Hakodate",592469,0.002996967354887561
3181,25.2528,55.3644,"Dubai",1501658,0.0014015944435220265
3205,-34.8222,-58.5358,"Buenos Aires",15821757,0.00019223114362119963
