id,lat,lng,label,population,risk
182,2.7456,101.7147,Kuala Lumpur,8711663,0.00042247836634026726
221,11.5467,104.8442,Phnom Penh,12169535,0.0002162242131355956
222,13.4106,103.8128,Siem Reap,4814927,0.0013590344322784733
312,35.2931,116.3467,Jining,25722140,0.0021114572384774532
314,49.2086,119.8167,Hailar,851974,0.002032320438072534
315,30.5786,103.9472,Chengdu,62854385,0.041420640761796884
322,39.1244,117.3461,Tianjin,14241195,0.0049663019846904475
325,29.7194,106.6419,Chongqing,16205267,0.03296951527488758
328,37.1872,122.2289,Weihai,2392348,0.00024551105037310344
330,27.8111,107.2461,Zunyi,7545282,0.00234294798846226
334,30.8039,108.4272,Wanzhou,6879185,0.003673318701733683
343,36.5167,103.6167,Lanzhou,6850245,0.011000950802887887
346,31.4947,120.4294,Wuxi,7494542,0.004353147476988148
347,39.7925,106.7994,Wuhai,1112404,0.0018522374748718821
348,34.4478,108.7539,Xi'an,22353249,0.0035536788237806195
349,39.4922,109.8631,Ordos,1651796,0.0012203902425100212
353,32.1506,112.2908,Xiangyang,11750932,0.0033577061494190967
354,25.0536,99.1681,Baoshan,2095138,0.00024738040506447584
355,40.5606,109.9964,Baotou,3343659,0.014201629587958063
358,45.6233,126.2503,Harbin,12100114,0.01146206289208493
360,30.3211,109.4853,Enshi,3774134,0.0024333010291778144
362,31.9194,119.7783,Changzhou,6991084,0.0002112392112107344
363,23.4275,116.7625,Shantou,16909762,0.004891838599054564
370,29.9347,122.3619,Zhoushan,1484739,0.00014051459103879446
371,22.7947,100.9592,Simao,2213550,0.00032153220354453254
372,29.2981,90.9122,Lhasa,1019683,0.00010156928102619224
373,18.3028,109.4122,Sanya,2888131,0.019126182202558253
375,26.6742,100.2436,Lijiang,1495973,0.0003477034496297532
376,25.935,119.6633,Fuzhou,10913454,0.016152009165548025
378,37.4017,121.3717,Yantai,6160152,0.009115999312470384
379,43.9072,87.4742,Urumqi,5237049,0.016048258942674632
382,35.0494,118.4119,Linyi,12843250,0.0038331501261602624
389,24.7956,118.5881,Quanzhou,9437088,0.0013814669128997476
391,36.2661,120.3744,Qingdao,8200069,0.009128150258167309
394,38.9656,121.5386,Dalian,5749540,0.014047717870842635
397,24.2078,109.3914,Liuzhou,8005244,0.00010561957756476645
399,21.9731,100.7631,Jinghong,1382281,0.0009932603857218496
402,30.5569,111.4797,Yichang,11664371,0.0073123655643049955
405,31.4289,104.7408,Mianyang,8917604,0.0007751668178948817
407,29.8267,121.4619,Ningbo,6757958,0.012682763731253013
412,31.1433,121.8053,Shanghai,20308438,0.07358975267809066
413,41.6397,123.4833,Shenyang,13195977,0.021128592685162824
414,24.4014,98.5322,Mangshi,1327739,0.00032246690893081943
416,23.7389,100.025,Lincang,2848292,0.00019472638181940657
420,40.08,116.5844,Beijing,28331507,0.040239819938027686
421,24.9378,98.4856,Tengchong,1002556,0.0008773592171515312
429,40.8514,111.8242,Hohhot,4401373,0.011567994056805524
430,24.5442,118.1278,Xiamen,8240158,0.02722025741029974
438,31.9911,116.9892,Hefei,14358834,0.020727300506901712
439,36.5286,102.0403,Xining,3472426,0.005045438785095367
442,33.4261,120.2031,Yancheng,6283873,0.0007910565290557522
445,31.7419,118.8619,Nanjing,13651608,0.04660379007785339
451,21.5394,109.2939,Beihai,5621760,0.003288850883938529
455,23.3925,113.2989,Guangzhou,39293380,0.05787455376642703
456,28.1936,113.2178,Changsha,18325936,0.025029351840342738
457,30.2294,120.4344,Hangzhou,12817942,0.04570399832399938
458,24.9922,102.7436,Kunming,11115277,0.05079679454325913
460,26.5386,106.8008,Guiyang,7252992,0.01889219897965162
461,25.2181,110.0392,Guilin,4941136,0.015231342754689488
465,27.9131,120.8522,Wenzhou,9918949,0.01236590494247751
469,21.2153,110.3583,Zhanjiang,11700739,0.0011502877500707699
470,22.6083,108.1725,Nanning,8261012,0.012535706370753814
472,28.8639,115.9022,Nanchang,10823928,0.026975681065312927
473,22.3089,113.9147,Hong Kong,36745880,0.06433510818535405
