id,lat,lng,label,population,risk
69,23.8433,90.3978,Dhaka,57695473,0.000241129601332648
173,5.2972,100.2767,Penang,2621408,0.00032671038267515135
182,2.7456,101.7147,Kuala Lumpur,8711663,0.005229678919975723
186,5.9372,116.0531,Kota Kinabalu,1537665,0.0010022973075558446
221,11.5467,104.8442,Phnom Penh,12169535,0.00037219925644966216
222,13.4106,103.8128,Siem Reap,4814927,0.00043908333423352535
223,10.5797,103.6369,Sihanoukville,1091383,0.0019868616666704328
310,41.6992,86.1303,Korla,1069639,0.0004614422586653552
312,35.2931,116.3467,Jining,25722140,0.0007397725022138443
313,46.1947,122.0083,Ulanhot,3271330,0.003777889840881289
314,49.2086,119.8167,Hailar,851974,0.003800248765313119
315,30.5786,103.9472,Chengdu,62854385,0.03846277353055735
319,41.5414,120.4339,Chaoyang,3891636,0.0014130464564467036
323,28.8003,104.545,Yibin,52581734,0.0006694189337633238
325,29.7194,106.6419,Chongqing,16205267,0.03661661900078796
328,37.1872,122.2289,Weihai,2392348,0.002199657082660415
329,46.75,125.1392,Daqing,6192883,0.0021437597368859328
330,27.8111,107.2461,Zunyi,7545282,0.0036952003248909367
331,23.72,106.9603,Baise,3943002,0.00042366335644010254
334,30.8039,108.4272,Wanzhou,6879185,0.00102619824711447
339,42.065,127.6025,Baishan,3207170,0.003202532650225671
343,36.5167,103.6167,Lanzhou,6850245,0.008236763607544694
344,27.7069,118.0031,Wuyishan,6414192,0.0003587067888910072
348,34.4478,108.7539,Xi'an,22353249,0.0321955241363498
352,37.5078,118.7894,Dongying,10565224,0.002049331804769812
353,32.1506,112.2908,Xiangyang,11750932,0.0038357146968905384
355,40.5606,109.9964,Baotou,3343659,0.004622903548418753
357,45.2925,131.1919,Jixi,2822034,0.00042828933243067597
358,45.6233,126.2503,Harbin,12100114,0.0280932369181361
360,30.3211,109.4853,Enshi,3774134,0.0009219207622133263
361,36.6367,109.5533,Yan'an,3357246,0.0015167456813384359
363,23.4275,116.7625,Shantou,16909762,0.0012033350013204995
365,30.5511,97.1106,Qamdo,458789,0.00042366335644010254
366,36.0789,106.2164,Guyuan,5702804,0.002499189765316817
370,29.9347,122.3619,Zhoushan,1484739,0.002303163542650707
371,22.7947,100.9592,Simao,2213550,0.0001985319582153824
372,29.2981,90.9122,Lhasa,1019683,0.00012201043334239988
373,18.3028,109.4122,Sanya,2888131,0.04160227708877379
375,26.6742,100.2436,Lijiang,1495973,0.003498210347107444
376,25.935,119.6633,Fuzhou,10913454,0.01605776656040508
378,37.4017,121.3717,Yantai,6160152,0.003721414235097396
379,43.9072,87.4742,Urumqi,5237049,0.012112762907514854
380,34.5719,118.8739,Lianyungang,7795627,0.0014818580097704286
382,35.0494,118.4119,Linyi,12843250,0.005692855923974407
383,43.9553,81.3289,Yining,1687819,0.0014276954093292756
386,37.0381,79.865,Hotan,1394729,0.0019427220084263718
387,38.27,109.7306,Yulin,3211960,0.0011358726982221314
388,25.6503,100.3194,Dali,3767440,0.0006973676239980179
389,24.7956,118.5881,Quanzhou,9437088,0.015215836813731391
391,36.2661,120.3744,Qingdao,8200069,0.0036817078573322826
394,38.9656,121.5386,Dalian,5749540,0.022098535306162556
395,32.5631,119.7189,Yangzhou,8985870,0.002660713846217798
397,24.2078,109.3914,Liuzhou,8005244,0.0008577351848801754
398,28.8528,105.3933,Luzhou,9659760,0.0013461623786628404
399,21.9731,100.7631,Jinghong,1382281,0.0030782092115405318
400,27.9892,102.1844,Xichang,4562370,0.0010630133942223386
402,30.5569,111.4797,Yichang,11664371,0.002777712773766745
403,29.345,120.0325,Yiwu,6139309,0.003381982409774441
404,29.1044,110.4431,Zhangjiajie,2982561,0.00016692104710749891
405,31.4289,104.7408,Mianyang,8917604,0.00941407742886527
407,29.8267,121.4619,Ningbo,6757958,0.011547235928849792
412,31.1433,121.8053,Shanghai,20308438,0.06014265695137835
413,41.6397,123.4833,Shenyang,13195977,0.0008035725844390228
414,24.4014,98.5322,Mangshi,1327739,0.001068217630222324
418,30.7939,106.1597,Nanchong,12341109,0.0015664750359955474
420,40.08,116.5844,Beijing,28331507,0.0010425044299091056
422,30.7403,117.6867,Chizhou,4495819,0.0005502997657730759
429,40.8514,111.8242,Hohhot,4401373,0.011056495764419295
430,24.5442,118.1278,Xiamen,8240158,0.03393740121591295
431,45.4661,84.9539,Karamay,5802370,0.0008662161813402848
432,32.9811,112.6156,Nanyang,12735325,0.0017279991168965287
435,29.3392,117.1764,Jingdezhen,4398562,0.0009431232013212394
436,44.5242,129.5689,Mudanjiang,3143833,0.0017224093510936644
439,36.5286,102.0403,Xining,3472426,0.0011225729955649162
440,38.2806,114.6972,Shijiazhuang,24520869,0.0008348211393605262
442,33.4261,120.2031,Yancheng,6283873,0.0029440555955597392
445,31.7419,118.8619,Nanjing,13651608,0.0017998946657789374
451,21.5394,109.2939,Beihai,5621760,0.0012004437706632544
452,27.3006,105.3017,Bijie,6594987,0.001895305659112
453,37.7469,112.6283,Taiyuan,11233266,0.003072426750226041
454,32.8808,115.7336,Fuyang,25324297,0.0010925040648889217
455,23.3925,113.2989,Guangzhou,39293380,0.0528353313820846
456,28.1936,113.2178,Changsha,18325936,0.03050279818612925
457,30.2294,120.4344,Hangzhou,12817942,0.026352323593690326
458,24.9922,102.7436,Kunming,11115277,0.034637081810558815
460,26.5386,106.8008,Guiyang,7252992,0.018197093051506973
461,25.2181,110.0392,Guilin,4941136,0.01273380173684642
462,34.5597,105.86,Tianshui,8609117,0.002303549037758679
463,27.4414,109.7003,Huaihua,5255897,0.0014207564279959618
465,27.9131,120.8522,Wenzhou,9918949,0.008311935882192322
468,43.9156,115.9633,Xilinhot,881461,0.0021387482310924813
469,21.2153,110.3583,Zhanjiang,11700739,0.0008107043306737758
470,22.6083,108.1725,Nanning,8261012,0.013814548079510016
472,28.8639,115.9022,Nanchang,10823928,0.008388071946652241
473,22.3089,113.9147,Hong Kong,36745880,0.07642883163577338
474,39.5425,76.02,Kashi,3476362,0.00013762314134235554
475,19.9347,110.4589,Haikou,5945540,0.034235391918137466
477,30.7839,114.2081,Wuhan,30649978,0.024004827662589028
479,26.3417,111.6089,Yongzhou,18814432,0.0006227735746648966
480,35.1164,111.0336,Yuncheng,12627248,0.005973113677757664
481,34.5194,113.8411,Zhengzhou,32471775,0.003517292545774057
482,28.9186,111.6408,Changde,10758043,0.0014132391866532366
483,43.9961,125.6853,Changchun,16217434,0.017321046658176128
484,42.16,118.8408,Chifeng,9056162,0.0036510606666468773
485,36.2475,113.1258,Changzhi,8931656,0.0018432632991121477
486,39.7189,113.1461,Datong,7535077,0.002417656734650382
488,47.2397,123.9181,Qiqihar,4106294,0.0045963041431043225
531,18.7714,98.9628,Chiang Mai,1497016,0.0005514562510969927
536,6.9328,100.395,Hat Yai,1959614,0.0001443693577742297
538,13.6858,100.7489,Bangkok,23541053,0.019831608650610302
549,8.1122,98.3053,Phuket,711102,0.007533806217743814
566,27.6967,85.3592,Kathmandu,4670436,0.00013357539066628703
575,17.9883,102.5633,Vientiane,1706759,0.00013376815556772646
596,14.5086,121.0194,Manila,26922690,0.0007499882440072818
602,11.6844,122.3811,Kalibo,1326601,0.0021852008599843762
615,10.3075,123.9794,Cebu,4439843,0.00012952763999021853
758,7.1803,79.8853,Colombo,9032691,0.00011198745645040171
791,51.4775,-0.4614,London (UK),17233070,0.0008664089115468175
827,15.1189,145.7294,Saipan,118045,0.00010736144576492152
843,41.6692,44.9547,Tbilisi,2621024,0.00023688912045004672
856,47.8431,106.7667,Ulaanbaatar,1484007,0.00018426850044078296
875,16.9072,96.1333,Yangon,11684460,0.00019544796265669786
1099,28.5664,77.1031,Delhi,62390146,0.00010157898445043127
1125,21.2211,105.8072,Hanoi,20834462,0.00032439737733241133
1129,10.8189,106.6519,Ho Chi Minh City,16228217,0.0005607082377730463
1137,11.9981,109.2192,Nha Trang,1733076,0.0039290054150873934
1238,-8.7481,115.1672,Denpasar,5493498,0.0014620048208878714
1295,1.5492,124.9264,Manado,1850873,0.002177490888435118
1314,-6.1256,106.6558,Jakarta,36994844,0.0007021863648900309
1595,-34.945,138.5306,Adelaide,1303638,0.00011352943688229067
1603,-27.3842,153.1175,Brisbane,1972855,0.0001836902404313713
1612,-33.9461,151.1772,Sydney (AU),4670715,0.001136258193330104
