id,lat,lng,label,population,risk
322,39.1244,117.3461,Tianjin,14241195,0.11891747864169848
325,29.7194,106.6419,Chongqing,16205267,0.10174305386697427
343,36.5167,103.6167,Lanzhou,6850245,0.06911585582108687
348,34.4478,108.7539,Xi'an,22353249,0.31241409095168193
391,36.2661,120.3744,Qingdao,8200069,0.06308566771638548
420,40.08,116.5844,Beijing,28331507,0.16170428844511225
455,23.3925,113.2989,Guangzhou,39293380,0.02618950724821453
457,30.2294,120.4344,Hangzhou,12817942,0.07984217720400485
473,22.3089,113.9147,Hong Kong,36745880,0.03859768243150891
475,19.9347,110.4589,Haikou,5945540,0.027950732930632414
476,36.8572,117.2161,Jinan,24300017,0.0001492557155482567
