id,lat,lng,label,population,risk
115,31.5217,74.4036,Lahore,16428675,0.00041468864641371
221,11.5467,104.8442,Phnom Penh,12169535,0.00011268724682457192
314,49.2086,119.8167,Hailar,851974,0.011705942015682513
315,30.5786,103.9472,Chengdu,62854385,0.0013387234212971773
322,39.1244,117.3461,Tianjin,14241195,0.00010367236444030952
325,29.7194,106.6419,Chongqing,16205267,0.018061497381694682
336,46.8433,130.4653,Jiamusi,4290598,0.01611426331435334
343,36.5167,103.6167,Lanzhou,6850245,0.00010817939995867669
348,34.4478,108.7539,Xi'an,22353249,0.06462383060989099
349,39.4922,109.8631,Ordos,1651796,0.014085894494206096
356,43.4233,112.0911,Erenhot,360972,0.017849645617295698
358,45.6233,126.2503,Harbin,12100114,0.03836321534793559
376,25.935,119.6633,Fuzhou,10913454,0.00017128438799604142
379,43.9072,87.4742,Urumqi,5237049,0.00030650924645503336
394,38.9656,121.5386,Dalian,5749540,0.007982758268995856
412,31.1433,121.8053,Shanghai,20308438,0.023393853455248973
420,40.08,116.5844,Beijing,28331507,0.15272715727470276
429,40.8514,111.8242,Hohhot,4401373,0.5077367752123908
445,31.7419,118.8619,Nanjing,13651608,0.00011719428234293906
455,23.3925,113.2989,Guangzhou,39293380,0.046377526110950126
457,30.2294,120.4344,Hangzhou,12817942,0.0238310797132971
460,26.5386,106.8008,Guiyang,7252992,0.00013071701159309668
473,22.3089,113.9147,Hong Kong,36745880,0.00019382199963046141
475,19.9347,110.4589,Haikou,5945540,0.0006490780224471162
483,43.9961,125.6853,Changchun,16217434,0.04993409776564154
538,13.6858,100.7489,Bangkok,23541053,0.0003515836583763453
1648,-37.6733,144.8433,Melbourne (AU),4144035,0.00011719428234293906
3106,35.5522,139.7797,Tokyo,32212732,0.00038764399926092283
3127,35.7647,140.3864,Tokyo Narita,8512151,0.00011719428234293906
3141,34.8583,136.8053,Nagoya,11834566,0.0006535858693130115
3151,34.4272,135.2442,Osaka,19601735,0.00014874677636162142
