id,lat,lng,label,population,risk
69,23.8433,90.3978,Dhaka,57695473,0.0001580517807097319
182,2.7456,101.7147,Kuala Lumpur,8711663,0.0004974688516229119
186,5.9372,116.0531,Kota Kinabalu,1537665,0.0005536955110586898
221,11.5467,104.8442,Phnom Penh,12169535,0.0009891093567284922
222,13.4106,103.8128,Siem Reap,4814927,0.0001450236575719951
223,10.5797,103.6369,Sihanoukville,1091383,0.002895330489118009
312,35.2931,116.3467,Jining,25722140,0.0014080665965711663
315,30.5786,103.9472,Chengdu,62854385,0.04525080964515185
322,39.1244,117.3461,Tianjin,14241195,0.014784527611527657
323,28.8003,104.545,Yibin,52581734,0.00012548144200929252
325,29.7194,106.6419,Chongqing,16205267,0.0637264121846219
329,46.75,125.1392,Daqing,6192883,0.00034215980769493733
330,27.8111,107.2461,Zunyi,7545282,0.005043600549273206
338,27.8833,109.3083,Tongren,3899266,0.0007604313633421722
343,36.5167,103.6167,Lanzhou,6850245,0.016044484940791248
348,34.4478,108.7539,Xi'an,22353249,0.04298391498494177
349,39.4922,109.8631,Ordos,1651796,0.0020608444304098575
353,32.1506,112.2908,Xiangyang,11750932,0.0017399410179101242
355,40.5606,109.9964,Baotou,3343659,0.00012376726237679154
358,45.6233,126.2503,Harbin,12100114,0.024464428224978248
363,23.4275,116.7625,Shantou,16909762,0.004750124751439825
367,32.39,105.6931,Guangyuan,7423759,0.002805847806786353
371,22.7947,100.9592,Simao,2213550,0.00018685082547915748
372,29.2981,90.9122,Lhasa,1019683,0.00014296660498567707
373,18.3028,109.4122,Sanya,2888131,0.00912037669416238
375,26.6742,100.2436,Lijiang,1495973,0.00543547298569115
378,37.4017,121.3717,Yantai,6160152,0.012936590252872427
379,43.9072,87.4742,Urumqi,5237049,0.006351899077156736
380,34.5719,118.8739,Lianyungang,7795627,0.0017563976237372524
381,34.7414,112.3894,Luoyang,11740472,0.00010833921369891976
382,35.0494,118.4119,Linyi,12843250,0.0026553386139386483
388,25.6503,100.3194,Dali,3767440,0.0003702731682689237
389,24.7956,118.5881,Quanzhou,9437088,0.00048684065402531014
391,36.2661,120.3744,Qingdao,8200069,0.019678990336344036
394,38.9656,121.5386,Dalian,5749540,0.01187925460900748
397,24.2078,109.3914,Liuzhou,8005244,0.0049373184498727974
398,28.8528,105.3933,Luzhou,9659760,0.005068628238399423
399,21.9731,100.7631,Jinghong,1382281,0.0006109507276437241
400,27.9892,102.1844,Xichang,4562370,0.002633396472835811
402,30.5569,111.4797,Yichang,11664371,0.0022116964962113797
404,29.1044,110.4431,Zhangjiajie,2982561,0.006478409076315285
405,31.4289,104.7408,Mianyang,8917604,0.002287808182451482
408,36.5258,114.425,Handan,26271177,0.0040424916265562345
412,31.1433,121.8053,Shanghai,20308438,0.015472275771319115
413,41.6397,123.4833,Shenyang,13195977,0.017395639132019004
414,24.4014,98.5322,Mangshi,1327739,0.00048684065402531014
418,30.7939,106.1597,Nanchong,12341109,0.0036612473877358906
420,40.08,116.5844,Beijing,28331507,0.04501698898944365
