id,lat,lng,label,population,risk
43,36.6942,3.2147,Algiers,8395497,0.00015209694891050242
69,23.8433,90.3978,Dhaka,57695473,0.00034296003050590066
105,24.9067,67.1608,Karachi,16780358,0.00011759689038735288
108,33.6167,73.0992,Islamabad,15343183,0.00043087950002011343
115,31.5217,74.4036,Lahore,16428675,0.0001600727340685231
173,5.2972,100.2767,Penang,2621408,0.00023426638641276895
177,1.4842,110.3439,Kuching,936145,0.0002466938114114662
182,2.7456,101.7147,Kuala Lumpur,8711663,0.00197299399457773
186,5.9372,116.0531,Kota Kinabalu,1537665,0.004682545244685383
221,11.5467,104.8442,Phnom Penh,12169535,0.0017986389800123727
222,13.4106,103.8128,Siem Reap,4814927,0.001039823658827595
223,10.5797,103.6369,Sihanoukville,1091383,0.0007920169541495254
311,41.1025,121.0619,Jinzhou,4242220,0.0028403174943381045
314,49.2086,119.8167,Hailar,851974,0.00011073399849593535
315,30.5786,103.9472,Chengdu,62854385,0.04190493113814653
322,39.1244,117.3461,Tianjin,14241195,0.023100000077121017
323,28.8003,104.545,Yibin,52581734,0.0013160094589817985
325,29.7194,106.6419,Chongqing,16205267,0.027727827518644072
328,37.1872,122.2289,Weihai,2392348,0.0009873316755856002
329,46.75,125.1392,Daqing,6192883,0.0007118878376629308
330,27.8111,107.2461,Zunyi,7545282,0.002554857516854611
338,27.8833,109.3083,Tongren,3899266,0.001730937288524475
343,36.5167,103.6167,Lanzhou,6850245,0.01775434930040556
346,31.4947,120.4294,Wuxi,7494542,0.000445532711552017
348,34.4478,108.7539,Xi'an,22353249,0.016340960729062718
353,32.1506,112.2908,Xiangyang,11750932,0.007848039271307223
354,25.0536,99.1681,Baoshan,2095138,0.00010516946538865564
355,40.5606,109.9964,Baotou,3343659,0.00014875823572356092
358,45.6233,126.2503,Harbin,12100114,0.012983513655170894
360,30.3211,109.4853,Enshi,3774134,0.017618945950816898
363,23.4275,116.7625,Shantou,16909762,0.01207278688398028
364,44.8958,82.3,Bole,532021,0.00021275021621518412
370,29.9347,122.3619,Zhoushan,1484739,0.00010164525329704772
371,22.7947,100.9592,Simao,2213550,0.00023333895866370038
372,29.2981,90.9122,Lhasa,1019683,0.00019772600687394763
373,18.3028,109.4122,Sanya,2888131,0.027403415909571013
375,26.6742,100.2436,Lijiang,1495973,0.0102426155942095
376,25.935,119.6633,Fuzhou,10913454,0.011965948061998152
377,27.7917,99.6781,Deqen,748566,0.00017991954767263718
378,37.4017,121.3717,Yantai,6160152,0.006115780629632333
379,43.9072,87.4742,Urumqi,5237049,0.020213497061492603
382,35.0494,118.4119,Linyi,12843250,0.004122568857028289
388,25.6503,100.3194,Dali,3767440,0.0019607520684837
389,24.7956,118.5881,Quanzhou,9437088,0.01257099707767896
391,36.2661,120.3744,Qingdao,8200069,0.023252467990453725
394,38.9656,121.5386,Dalian,5749540,0.013747708010558284
397,24.2078,109.3914,Liuzhou,8005244,0.004853747044968465
399,21.9731,100.7631,Jinghong,1382281,0.0011347915191378913
402,30.5569,111.4797,Yichang,11664371,0.007268766279230085
403,29.345,120.0325,Yiwu,6139309,0.0011984125352073136
405,31.4289,104.7408,Mianyang,8917604,0.003628995735300689
407,29.8267,121.4619,Ningbo,6757958,0.012909691000635982
412,31.1433,121.8053,Shanghai,20308438,0.0659711177184649
413,41.6397,123.4833,Shenyang,13195977,0.02425649323197403
414,24.4014,98.5322,Mangshi,1327739,0.0035065762740375908
416,23.7389,100.025,Lincang,2848292,0.00020904053860604165
417,26.54,101.7981,Panzhihua,4045241,0.0009917833154262767
420,40.08,116.5844,Beijing,28331507,0.05932763493977827
421,24.9378,98.4856,Tengchong,1002556,0.0013017271784849641
429,40.8514,111.8242,Hohhot,4401373,0.007547903087925549
430,24.5442,118.1278,Xiamen,8240158,0.032681364994798574
434,28.5653,121.4303,Taizhou,5349916,0.002916736933215557
436,44.5242,129.5689,Mudanjiang,3143833,0.00018622600962431903
437,25.0856,104.9594,Xingyi,7357766,0.0022057765233016945
439,36.5286,102.0403,Xining,3472426,0.004339214249757281
441,42.8828,129.4514,Yanji,1789684,0.0003596535964406079
442,33.4261,120.2031,Yancheng,6283873,0.0026034543569699287
443,29.7328,118.2572,Huangshan,1892668,0.0008923638486624355
445,31.7419,118.8619,Nanjing,13651608,0.0006595813533256026
451,21.5394,109.2939,Beihai,5621760,0.006580789190366264
452,27.3006,105.3017,Bijie,6594987,0.00221189748634871
453,37.7469,112.6283,Taiyuan,11233266,0.008926420669710165
455,23.3925,113.2989,Guangzhou,39293380,0.03920094442114616
457,30.2294,120.4344,Hangzhou,12817942,0.02247102360580476
458,24.9922,102.7436,Kunming,11115277,0.04520951526437416
460,26.5386,106.8008,Guiyang,7252992,0.015240112805121109
461,25.2181,110.0392,Guilin,4941136,0.002127131264503905
465,27.9131,120.8522,Wenzhou,9918949,0.017582591070182743
467,25.6756,116.7456,Longyan,5754349,0.001367017551147857
468,43.9156,115.9633,Xilinhot,881461,0.00039600847707476277
469,21.2153,110.3583,Zhanjiang,11700739,0.010450728738453605
470,22.6083,108.1725,Nanning,8261012,0.018838503658412463
473,22.3089,113.9147,Hong Kong,36745880,0.07623858819605893
475,19.9347,110.4589,Haikou,5945540,0.04181571330984818
476,36.8572,117.2161,Jinan,24300017,0.006430547096953898
480,35.1164,111.0336,Yuncheng,12627248,0.0020061956609296093
483,43.9961,125.6853,Changchun,16217434,0.01116020529067866
485,36.2475,113.1258,Changzhi,8931656,0.0016445017434733302
486,39.7189,113.1461,Datong,7535077,0.0026826560457074546
523,8.0958,98.9889,Krabi,613788,0.0003284922844915317
530,9.5503,100.0625,Ko Samui,127979,0.00010238721552858172
531,18.7714,98.9628,Chiang Mai,1497016,0.001814776116007344
535,9.1361,99.1392,Surat Thani,891190,0.0012672271533489465
538,13.6858,100.7489,Bangkok,23541053,0.016552412553106636
549,8.1122,98.3053,Phuket,711102,0.005061489191403237
566,27.6967,85.3592,Kathmandu,4670436,0.0002511454178650109
575,17.9883,102.5633,Vientiane,1706759,0.0002197986070112681
596,14.5086,121.0194,Manila,26922690,0.001261477121337
615,10.3075,123.9794,Cebu,4439843,0.00010554042981085673
626,-26.1392,28.2461,Johannesburg,13748925,0.00013762916950900154
733,50.0331,8.5706,Frankfurt,6970523,0.0003846939453426688
742,52.5597,13.2878,Berlin,5387837,0.00015525016319277739
748,48.3539,11.7861,Munich,4802084,0.00014467756030508552
750,51.2894,6.7667,Duesseldorf,5382885,0.00013354852747765798
758,7.1803,79.8853,Colombo,9032691,0.00018845179615752545
789,53.3536,-2.275,Manchester,5485344,0.00013966949052467338
791,51.4775,-0.4614,London (UK),17233070,0.0019427601103777226
837,52.3081,4.7642,Amsterdam,9166721,0.00020495989657469808
875,16.9072,96.1333,Yangon,11684460,0.0003062341854495448
884,21.7022,95.9781,Mandalay,7168138,0.000185113082970584
1085,13.1989,77.7056,Bengaluru,20037284,0.0002947341881999161
1090,19.0886,72.8681,Mumbai,28236589,0.0001320646697888537
