id,lat,lng,label,population,risk
108,33.6167,73.0992,Islamabad,15343183,0.00017675370612684876
173,5.2972,100.2767,Penang,2621408,0.00016676882505439324
182,2.7456,101.7147,Kuala Lumpur,8711663,0.004622045906247787
186,5.9372,116.0531,Kota Kinabalu,1537665,0.0006037668996373249
221,11.5467,104.8442,Phnom Penh,12169535,0.00044464607185034315
222,13.4106,103.8128,Siem Reap,4814927,0.0018592068933953483
223,10.5797,103.6369,Sihanoukville,1091383,0.00041692208175597625
310,41.6992,86.1303,Korla,1069639,0.000983511206276721
313,46.1947,122.0083,Ulanhot,3271330,0.0003382114368388676
314,49.2086,119.8167,Hailar,851974,0.0005500184765213482
315,30.5786,103.9472,Chengdu,62854385,0.006818933121311767
317,40.9264,107.7389,Bayannur,1447780,0.0009337992240385453
321,42.8408,93.6708,Hami,560104,0.0012628755487813393
322,39.1244,117.3461,Tianjin,14241195,0.017742610102980567
323,28.8003,104.545,Yibin,52581734,0.0013967155009610426
325,29.7194,106.6419,Chongqing,16205267,0.020336874503023808
327,36.6469,119.1186,Weifang,9193768,0.0010813418443623589
328,37.1872,122.2289,Weihai,2392348,0.0012373822309299652
329,46.75,125.1392,Daqing,6192883,0.0006339340042187802
330,27.8111,107.2461,Zunyi,7545282,0.0024038080257722844
331,23.72,106.9603,Baise,3943002,0.00022943991802234785
334,30.8039,108.4272,Wanzhou,6879185,0.0010544676232443735
336,46.8433,130.4653,Jiamusi,4290598,0.0005225069286710766
337,26.2572,105.8728,Anshun,4959935,0.0014188097237868953
338,27.8833,109.3083,Tongren,3899266,0.0020343672731314845
340,40.0922,94.6817,Dunhuang,506179,0.0013889612730115864
341,27.8033,114.3078,Yichun (Jiangxi),6299510,0.0005217633712567458
342,29.3519,89.31,Xigaze,533212,0.000827895704197305
343,36.5167,103.6167,Lanzhou,6850245,0.0007138130719184178
344,27.7069,118.0031,Wuyishan,6414192,0.0010739062893390422
346,31.4947,120.4294,Wuxi,7494542,0.006611799868359368
347,39.7925,106.7994,Wuhai,1112404,0.0017575522566760048
349,39.4922,109.8631,Ordos,1651796,0.008329625023869651
350,38.4933,106.0119,Yinchuan,3423935,0.0008344814711242457
351,41.2628,80.2919,Aksu,1817143,0.0020591170335685274
352,37.5078,118.7894,Dongying,10565224,0.0007361197369883659
353,32.1506,112.2908,Xiangyang,11750932,0.0021852036666766108
354,25.0536,99.1681,Baoshan,2095138,0.0024411982431329607
355,40.5606,109.9964,Baotou,3343659,0.002089177926587932
356,43.4233,112.0911,Erenhot,360972,0.00011333907486455642
358,45.6233,126.2503,Harbin,12100114,0.01427286245806279
360,30.3211,109.4853,Enshi,3774134,0.003116346444226129
361,36.6367,109.5533,Yan'an,3357246,0.0019033994892330966
362,31.9194,119.7783,Changzhou,6991084,0.004128750082499738
363,23.4275,116.7625,Shantou,16909762,0.003552069846224495
365,30.5511,97.1106,Qamdo,458789,0.0018960659955857887
366,36.0789,106.2164,Guyuan,5702804,0.001877374484554253
368,43.5575,122.2,Tongliao,4930093,0.0015229074558733337
369,36.4006,94.7883,Golmud,187051,0.0015646527679179574
371,22.7947,100.9592,Simao,2213550,0.00023676924236361958
372,29.2981,90.9122,Lhasa,1019683,0.014201374925924904
373,18.3028,109.4122,Sanya,2888131,0.022398540881761467
375,26.6742,100.2436,Lijiang,1495973,0.008300201476702528
376,25.935,119.6633,Fuzhou,10913454,0.015880322768365845
378,37.4017,121.3717,Yantai,6160152,0.006443119024868128
379,43.9072,87.4742,Urumqi,5237049,0.033468698272533605
380,34.5719,118.8739,Lianyungang,7795627,0.0009771378815938757
382,35.0494,118.4119,Linyi,12843250,0.0017912246869650262
383,43.9553,81.3289,Yining,1687819,0.0001222617255965412
384,34.8189,102.6208,Xiahe,2164199,0.0002796830154307585
386,37.0381,79.865,Hotan,1394729,0.0011527231458182024
387,38.27,109.7306,Yulin,3211960,0.02347860805353926
388,25.6503,100.3194,Dali,3767440,0.0017652002539434164
389,24.7956,118.5881,Quanzhou,9437088,0.008254419723780103
390,32.8267,97.1219,Yushu,353799,0.0006786535268007346
391,36.2661,120.3744,Qingdao,8200069,0.016301068848755526
392,38.5419,102.3486,Jinchang,2050162,0.0017177189439482336
393,29.5147,108.8317,Qianjiang,3949506,0.0012004168980574805
394,38.9656,121.5386,Dalian,5749540,0.013855940376306814
395,32.5631,119.7189,Yangzhou,8985870,0.0023704542684094033
396,29.3058,94.3386,Nyingchi,182206,0.0031884713030963037
397,24.2078,109.3914,Liuzhou,8005244,0.002176280107066789
399,21.9731,100.7631,Jinghong,1382281,0.0012793399852186846
400,27.9892,102.1844,Xichang,4562370,0.002490697783127041
402,30.5569,111.4797,Yichang,11664371,0.002200604983015641
403,29.345,120.0325,Yiwu,6139309,0.002169163224969613
404,29.1044,110.4431,Zhangjiajie,2982561,0.00024845368050883254
406,41.1056,122.8561,Anshan,8750351,0.0019186913144618835
407,29.8267,121.4619,Ningbo,6757958,0.009324926898973629
410,38.8075,100.6608,Zhangye,1204657,0.003515423186278149
412,31.1433,121.8053,Shanghai,20308438,0.06522297046546248
413,41.6397,123.4833,Shenyang,13195977,0.016153526228431716
414,24.4014,98.5322,Mangshi,1327739,0.0017747602505276804
415,43.0303,89.0972,Turpan,816835,0.0002703354610905897
417,26.54,101.7981,Panzhihua,4045241,0.001974670409820853
418,30.7939,106.1597,Nanchong,12341109,0.0004557993948253208
419,27.3258,103.7547,Zhaotong,7135359,0.00024016835650913427
420,40.08,116.5844,Beijing,28331507,0.05451269384986685
421,24.9378,98.4856,Tengchong,1002556,0.0008027210401520777
422,30.7403,117.6867,Chizhou,4495819,0.0012282471188338913
425,39.8572,98.3414,Jiayuguan,1106084,0.002903583404885222
427,26.8578,114.7364,Ji'an,5652245,0.0008803694547287154
429,40.8514,111.8242,Hohhot,4401373,0.0111043609171114
430,24.5442,118.1278,Xiamen,8240158,0.01789950027764455
431,45.4661,84.9539,Karamay,5802370,0.0018369002283254
434,28.5653,121.4303,Taizhou,5349916,0.002055824150105057
435,29.3392,117.1764,Jingdezhen,4398562,0.0005772113514454799
437,25.0856,104.9594,Xingyi,7357766,0.0010295054014432415
438,31.9911,116.9892,Hefei,14358834,0.014045759423845488
439,36.5286,102.0403,Xining,3472426,0.0164038919082574
440,38.2806,114.6972,Shijiazhuang,24520869,0.004055562993289093
442,33.4261,120.2031,Yancheng,6283873,0.0012921928652664194
443,29.7328,118.2572,Huangshan,1892668,0.0003553132000084993
445,31.7419,118.8619,Nanjing,13651608,0.02491579421308036
447,24.2642,116.0983,Meixian,6486268,0.00019682969895380419
449,33.7875,119.1278,Huai'an,10190694,0.0021054299207811807
450,25.8514,114.7753,Ganzhou,7056603,0.00035626919966692567
451,21.5394,109.2939,Beihai,5621760,0.006178732023092185
452,27.3006,105.3017,Bijie,6594987,0.002231409433449377
453,37.7469,112.6283,Taiyuan,11233266,0.001211570240152451
454,32.8808,115.7336,Fuyang,25324297,0.0004015198565391087
455,23.3925,113.2989,Guangzhou,39293380,0.04726950934157783
456,28.1936,113.2178,Changsha,18325936,0.024274849557446444
457,30.2294,120.4344,Hangzhou,12817942,0.0325925776818068
458,24.9922,102.7436,Kunming,11115277,0.023438031183397164
459,47.7506,88.0858,Altay,258536,0.0015614661151365315
460,26.5386,106.8008,Guiyang,7252992,0.012305627603265257
461,25.2181,110.0392,Guilin,4941136,0.011928538853357044
462,34.5597,105.86,Tianshui,8609117,0.003335064456216284
463,27.4414,109.7003,Huaihua,5255897,0.001409037265838542
465,27.9131,120.8522,Wenzhou,9918949,0.01331750012636863
466,37.5728,105.1514,Zhongwei,2009788,0.001059991178950837
468,43.9156,115.9633,Xilinhot,881461,0.0003685909836644184
469,21.2153,110.3583,Zhanjiang,11700739,0.004072770987140769
470,22.6083,108.1725,Nanning,8261012,0.013761402640804641
471,30.5825,117.0503,Anqing,4642340,0.00032068477006105155
472,28.8639,115.9022,Nanchang,10823928,0.01773283766415221
473,22.3089,113.9147,Hong Kong,36745880,0.07276304600215391
474,39.5425,76.02,Kashi,3476362,0.002590227959165442
475,19.9347,110.4589,Haikou,5945540,0.02475253071373353
476,36.8572,117.2161,Jinan,24300017,0.015480502468899494
