id,lat,lng,label,population,risk
69,23.8433,90.3978,Dhaka,57695473,0.00021175007351547737
173,5.2972,100.2767,Penang,2621408,0.0008901921465009449
177,1.4842,110.3439,Kuching,936145,0.00013195489599521974
179,1.6389,103.6703,Johor Bahru,3162256,0.00011914373880538515
182,2.7456,101.7147,Kuala Lumpur,8711663,0.007187789199628602
186,5.9372,116.0531,Kota Kinabalu,1537665,0.0014716355002614785
221,11.5467,104.8442,Phnom Penh,12169535,0.005070654559657418
222,13.4106,103.8128,Siem Reap,4814927,0.001705713591534752
312,35.2931,116.3467,Jining,25722140,0.003041001811286169
315,30.5786,103.9472,Chengdu,62854385,0.030774220953641906
316,34.2294,117.2458,Xuzhou,20796535,0.003665271021131049
322,39.1244,117.3461,Tianjin,14241195,0.0322237114672659
323,28.8003,104.545,Yibin,52581734,0.0013061886105725305
325,29.7194,106.6419,Chongqing,16205267,0.033319065094038584
328,37.1872,122.2289,Weihai,2392348,0.0010470372653375547
330,27.8111,107.2461,Zunyi,7545282,0.0022015052331265947
334,30.8039,108.4272,Wanzhou,6879185,0.001829066683734668
338,27.8833,109.3083,Tongren,3899266,0.0024643169042811
341,27.8033,114.3078,Yichun (Jiangxi),6299510,0.0007123001289198183
343,36.5167,103.6167,Lanzhou,6850245,0.00832139326685047
344,27.7069,118.0031,Wuyishan,6414192,0.0044723736934898645
346,31.4947,120.4294,Wuxi,7494542,0.01614461568520285
348,34.4478,108.7539,Xi'an,22353249,0.030840106886079362
349,39.4922,109.8631,Ordos,1651796,0.002821199027336322
353,32.1506,112.2908,Xiangyang,11750932,0.004738479661266241
355,40.5606,109.9964,Baotou,3343659,0.0019141693684283567
358,45.6233,126.2503,Harbin,12100114,0.015817748261042142
360,30.3211,109.4853,Enshi,3774134,0.00106753513660707
361,36.6367,109.5533,Yan'an,3357246,0.0002620796125591918
362,31.9194,119.7783,Changzhou,6991084,0.00919547995953971
370,29.9347,122.3619,Zhoushan,1484739,0.008103420629388904
372,29.2981,90.9122,Lhasa,1019683,0.00031533738598415664
373,18.3028,109.4122,Sanya,2888131,0.004301436298450138
375,26.6742,100.2436,Lijiang,1495973,0.0002534778087638876
376,25.935,119.6633,Fuzhou,10913454,0.0015640588367942256
378,37.4017,121.3717,Yantai,6160152,0.00387665506534887
379,43.9072,87.4742,Urumqi,5237049,0.00541399346692749
380,34.5719,118.8739,Lianyungang,7795627,0.001696745791384758
382,35.0494,118.4119,Linyi,12843250,0.0024584603696326678
388,25.6503,100.3194,Dali,3767440,0.00015611306024129756
391,36.2661,120.3744,Qingdao,8200069,0.014916941133137298
394,38.9656,121.5386,Dalian,5749540,0.010104705827176578
395,32.5631,119.7189,Yangzhou,8985870,0.0068466464681444655
397,24.2078,109.3914,Liuzhou,8005244,0.0039189318610152474
398,28.8528,105.3933,Luzhou,9659760,0.0010752218177437845
399,21.9731,100.7631,Jinghong,1382281,0.00025146463115529504
400,27.9892,102.1844,Xichang,4562370,0.00037609887531145673
402,30.5569,111.4797,Yichang,11664371,0.0011528207865351384
405,31.4289,104.7408,Mianyang,8917604,0.001139277570749991
406,41.1056,122.8561,Anshan,8750351,0.0016961967309667904
407,29.8267,121.4619,Ningbo,6757958,0.002485546801202961
408,36.5258,114.425,Handan,26271177,0.002064974921496223
412,31.1433,121.8053,Shanghai,20308438,0.08544197527278362
413,41.6397,123.4833,Shenyang,13195977,0.01861570418090504
414,24.4014,98.5322,Mangshi,1327739,0.00029063016132011124
418,30.7939,106.1597,Nanchong,12341109,0.00034443702810600966
420,40.08,116.5844,Beijing,28331507,0.06840423917375563
427,26.8578,114.7364,Ji'an,5652245,0.000259883403830288
429,40.8514,111.8242,Hohhot,4401373,0.005077426184021475
432,32.9811,112.6156,Nanyang,12735325,0.0015029313181692692
435,29.3392,117.1764,Jingdezhen,4398562,0.0005622266344472649
438,31.9911,116.9892,Hefei,14358834,0.02162925353132326
439,36.5286,102.0403,Xining,3472426,0.0014116061024724573
440,38.2806,114.6972,Shijiazhuang,24520869,0.019791219014495636
442,33.4261,120.2031,Yancheng,6283873,0.001459007374191955
443,29.7328,118.2572,Huangshan,1892668,0.0006650818883206317
445,31.7419,118.8619,Nanjing,13651608,0.032270563678567434
449,33.7875,119.1278,Huai'an,10190694,0.00414898356412837
450,25.8514,114.7753,Ganzhou,7056603,0.000787153861507267
452,27.3006,105.3017,Bijie,6594987,0.0011650829162499713
453,37.7469,112.6283,Taiyuan,11233266,0.015989600712854518
454,32.8808,115.7336,Fuyang,25324297,0.0010267224581313175
455,23.3925,113.2989,Guangzhou,39293380,0.026316122534532502
456,28.1936,113.2178,Changsha,18325936,0.028257012305233493
457,30.2294,120.4344,Hangzhou,12817942,0.018936715070417318
458,24.9922,102.7436,Kunming,11115277,0.0284478984781818
460,26.5386,106.8008,Guiyang,7252992,0.030548195605745974
461,25.2181,110.0392,Guilin,4941136,0.009165648291765508
465,27.9131,120.8522,Wenzhou,9918949,0.0004727315652387342
469,21.2153,110.3583,Zhanjiang,11700739,0.0015785171422949965
470,22.6083,108.1725,Nanning,8261012,0.01691914142064059
471,30.5825,117.0503,Anqing,4642340,0.0007004040614456077
472,28.8639,115.9022,Nanchang,10823928,0.004132329082841661
473,22.3089,113.9147,Hong Kong,36745880,0.02869515375594257
475,19.9347,110.4589,Haikou,5945540,0.016696776398664185
476,36.8572,117.2161,Jinan,24300017,0.01907196426303441
477,30.7839,114.2081,Wuhan,30649978,0.0322465885124987
480,35.1164,111.0336,Yuncheng,12627248,0.0012712324667452108
481,34.5194,113.8411,Zhengzhou,32471775,0.034283561912709
483,43.9961,125.6853,Changchun,16217434,0.011827988989713665
484,42.16,118.8408,Chifeng,9056162,0.0005662529896644503
485,36.2475,113.1258,Changzhi,8931656,0.0011440360175054552
486,39.7189,113.1461,Datong,7535077,0.002204616498628157
531,18.7714,98.9628,Chiang Mai,1497016,0.00021669151844828645
538,13.6858,100.7489,Bangkok,23541053,0.009164733202049885
545,19.9522,99.8831,Chiang Rai,1542645,0.00011767958867179384
549,8.1122,98.3053,Phuket,711102,0.0004884709897527851
566,27.6967,85.3592,Kathmandu,4670436,0.00011017590571242461
575,17.9883,102.5633,Vientiane,1706759,0.0002002200353389229
596,14.5086,121.0194,Manila,26922690,0.011600865553924757
615,10.3075,123.9794,Cebu,4439843,0.0018728076295346366
619,7.1253,125.6456,Davao,4597422,0.00010926084893976704
626,-26.1392,28.2461,Johannesburg,13748925,0.00019747476619205148
635,-33.9647,18.6017,Cape Town,3657016,0.00010486843148195928
733,50.0331,8.5706,Frankfurt,6970523,0.0003365673158489842
748,48.3539,11.7861,Munich,4802084,0.00018521266942018446
758,7.1803,79.8853,Colombo,9032691,0.00023316300155765
789,53.3536,-2.275,Manchester,5485344,0.00013890951853662146
791,51.4775,-0.4614,London (UK),17233070,0.0006211579443433175
830,47.4369,19.2556,Budapest,4865499,0.0002304177324107786
837,52.3081,4.7642,Amsterdam,9166721,0.00040629657238331235
875,16.9072,96.1333,Yangon,11684460,0.00034718226430991485
884,21.7022,95.9781,Mandalay,7168138,0.0001299416854436609
1053,12.9944,80.1806,Chennai,10117338,0.0004053815156106548
1085,13.1989,77.7056,Bengaluru,20037284,0.00022071787366547167
1090,19.0886,72.8681,Mumbai,28236589,0.0001257323320491306
1094,17.2311,78.4314,Hyderabad (IN),31863233,0.00013890951853662146
1099,28.5664,77.1031,Delhi,62390146,0.00031332420837556384
1125,21.2211,105.8072,Hanoi,20834462,0.0003947665342067579
1129,10.8189,106.6519,Ho Chi Minh City,16228217,0.00287116253708238
1205,32.0072,34.8806,Tel Aviv,4546752,0.00014842637910458332
1238,-8.7481,115.1672,Denpasar,5493498,0.0016345201848668328
1254,-7.3797,112.7869,Surabaya,14697428,0.0002240121702873444
1290,3.5581,98.6717,Medan,10164885,0.00011090799725070336
1314,-6.1256,106.6558,Jakarta,36994844,0.0022123032127078376
1479,4.1917,73.5292,Male,172562,0.00018557869871784077
1535,49.0097,2.5478,Paris,13528665,0.0003038073478076021
1564,55.6203,12.6503,Copenhagen,2357021,0.00013653027868740632
1603,-27.3842,153.1175,Brisbane,1972855,0.00026921723327793856
1612,-33.9461,151.1772,Sydney (AU),4670715,0.0018213800025979536
1615,-31.9403,115.9669,Perth,1700500,0.00029154525103573505
1648,-37.6733,144.8433,Melbourne (AU),4144035,0.0015785171422949965
1758,40.9769,28.8147,Istanbul,10841539,0.00015629605841864256
1890,55.4089,37.9064,Moscow,24597359,0.0004970727606051234
2217,41.9786,-87.9047,Chicago,9723114,0.00013488313037646996
2375,37.6189,-122.3917,San Francisco,7595097,0.0003455351159989785
2393,33.9425,-118.4081,Los Angeles,19797290,0.0013173526194514285
2396,36.08,-115.1522,Las Vegas,1646212,0.00013616424938975004
2429,47.4489,-122.3094,Seattle,4500055,0.00019710873689439518
2511,21.3278,-157.9222,Honolulu,1093438,0.00011950976810304143
2518,40.6397,-73.7789,New York,16714154,0.0004677901203059251
2682,43.6772,-79.6306,Toronto,7618258,0.0003515746488247564
2766,49.1939,-123.1844,Vancouver,2794226,0.0006385444842253386
2801,33.5114,126.4931,Jeju,527344,0.00036401977671693473
2803,37.4692,126.4506,Seoul,27019922,0.00838673013886996
2806,35.1403,129.0628,Pusan,4350635,0.00019454653181080127
2821,1.3592,103.9894,Singapore,4091180,0.0090637080946648
2822,24.265,120.6208,Taichung Cingcyuangang,5824361,0.0005710114034769481
2825,25.0778,121.2328,Taipei,10434115,0.01779469226346342
2828,22.5772,120.35,Kaohsiung,5680715,0.003221273035773545
2874,40.4936,-3.5667,Madrid,6752288,0.00014952446699755215
2979,-9.4433,147.22,Port Moresby,443614,0.00018283346251393552
3046,-37.0097,174.7917,Auckland,1473397,0.000434847154087198
3081,43.8086,11.2028,Florence (IT),1721779,0.0002472552777607647
3085,45.5053,12.3519,Venice,3258564,0.0002278555273271846
3093,45.63,8.7231,Milan,8907478,0.0003819553770169233
3099,41.8003,12.2389,Rome,4729924,0.0007209018997721567
3106,35.5522,139.7797,Tokyo,32212732,0.00050549150033715
3127,35.7647,140.3864,Tokyo Narita,8512151,0.006936324568473307
3141,34.8583,136.8053,Nagoya,11834566,0.00026921723327793856
3145,34.2142,134.0156,Takamatsu,1179894,0.0001174965904944488
3147,33.5858,130.4506,Fukuoka,3931988,0.00027360965073574634
3151,34.4272,135.2442,Osaka,19601735,0.003771054542328632
3158,42.7753,141.6922,Sapporo,3205804,0.00037317060798724034
3181,25.2528,55.3644,Dubai,1501658,0.0007988669308041327
3205,-34.8222,-58.5358,Buenos Aires,15821757,0.0008603604787267452
