id,lat,lng,label,population,risk
315,30.5786,103.9472,"Chengdu",62854385,0.2748713299640927
322,39.1244,117.3461,"Tianjin",14241195,0.0005967450025422148
325,29.7194,106.6419,"Chongqing",16205267,0.3958681347899003
346,31.4947,120.4294,"Wuxi",7494542,0.00022732850671557675
348,34.4478,108.7539,"Xi'an",22353249,0.22147701243777504
412,31.1433,121.8053,"Shanghai",20308438,0.06734674528690629
420,40.08,116.5844,"Beijing",28331507,0.00011366425335778838
438,31.9911,116.9892,"Hefei",14358834,0.0007104092559000033
439,36.5286,102.0403,"Xining",3472426,0.00011366425335778838
445,31.7419,118.8619,"Nanjing",13651608,0.0003978300016948099
455,23.3925,113.2989,"Guangzhou",39293380,0.0002841657483370215
456,28.1936,113.2178,"Changsha",18325936,0.0009945698892944743
465,27.9131,120.8522,"Wenzhou",9918949,0.00022732850671557675
470,22.6083,108.1725,"Nanning",8261012,0.00048307563424187594
473,22.3089,113.9147,"Hong Kong",36745880,0.00025574712752629916
476,36.8572,117.2161,"Jinan",24300017,0.0355772693469663
