id,lat,lng,label,population,risk
315,30.5786,103.9472,Chengdu,62854385,0.045930104418049934
322,39.1244,117.3461,Tianjin,14241195,0.0009737248756039402
325,29.7194,106.6419,Chongqing,16205267,0.04381101497337389
348,34.4478,108.7539,Xi'an,22353249,0.0319909856835108
389,24.7956,118.5881,Quanzhou,9437088,0.010687867637026113
405,31.4289,104.7408,Mianyang,8917604,0.026511720785313345
407,29.8267,121.4619,Ningbo,6757958,0.0892162978267744
412,31.1433,121.8053,Shanghai,20308438,0.044913469173476064
420,40.08,116.5844,Beijing,28331507,0.0719203046648412
451,21.5394,109.2939,Beihai,5621760,0.0017989154582197734
455,23.3925,113.2989,Guangzhou,39293380,0.024693000952740882
456,28.1936,113.2178,Changsha,18325936,0.030291093285328818
457,30.2294,120.4344,Hangzhou,12817942,0.029617738021828457
458,24.9922,102.7436,Kunming,11115277,0.0656656003066669
460,26.5386,106.8008,Guiyang,7252992,0.38659515530519895
473,22.3089,113.9147,Hong Kong,36745880,0.038123802064993086
476,36.8572,117.2161,Jinan,24300017,0.0007525739491854639
477,30.7839,114.2081,Wuhan,30649978,0.03925266269170269
478,25.4483,107.9608,Libo,3257335,0.01569182279766162
2803,37.4692,126.4506,Seoul,27019922,0.00017494012545836023
