id,lat,lng,label,population,risk
182,2.7456,101.7147,Kuala Lumpur,8711663,0.0018144808946762285
222,13.4106,103.8128,Siem Reap,4814927,0.005929890941791287
314,49.2086,119.8167,Hailar,851974,0.0001631441010010579
315,30.5786,103.9472,Chengdu,62854385,0.07439073478521223
322,39.1244,117.3461,Tianjin,14241195,0.005793605933864683
325,29.7194,106.6419,Chongqing,16205267,0.03570568258778141
346,31.4947,120.4294,Wuxi,7494542,0.00033225700872574135
348,34.4478,108.7539,Xi'an,22353249,0.15362406449404348
353,32.1506,112.2908,Xiangyang,11750932,0.002800309168213679
358,45.6233,126.2503,Harbin,12100114,0.013799605212606252
362,31.9194,119.7783,Changzhou,6991084,0.0004814741327858336
363,23.4275,116.7625,Shantou,16909762,0.0007570285520008545
369,36.4006,94.7883,Golmud,187051,0.023733490385984872
372,29.2981,90.9122,Lhasa,1019683,0.030133912886982837
373,18.3028,109.4122,Sanya,2888131,0.01649247800852212
375,26.6742,100.2436,Lijiang,1495973,0.0005481244350682291
376,25.935,119.6633,Fuzhou,10913454,0.002431245353641809
378,37.4017,121.3717,Yantai,6160152,0.012957025435465888
379,43.9072,87.4742,Urumqi,5237049,0.029987679987223938
381,34.7414,112.3894,Luoyang,11740472,0.008900307699476506
390,32.8267,97.1219,Yushu,353799,0.04986838280823591
391,36.2661,120.3744,Qingdao,8200069,0.011741402758644985
394,38.9656,121.5386,Dalian,5749540,0.01194632779046894
399,21.9731,100.7631,Jinghong,1382281,0.00023775275256141416
403,29.345,120.0325,Yiwu,6139309,0.0005590670086473821
404,29.1044,110.4431,Zhangjiajie,2982561,0.0049460522108081715
405,31.4289,104.7408,Mianyang,8917604,0.0051002432807844104
407,29.8267,121.4619,Ningbo,6757958,0.002700830966133204
412,31.1433,121.8053,Shanghai,20308438,0.03549777315259564
413,41.6397,123.4833,Shenyang,13195977,0.0010087081024426142
415,43.0303,89.0972,Turpan,816835,0.004482484140071972
420,40.08,116.5844,Beijing,28331507,0.10300561680133782
429,40.8514,111.8242,Hohhot,4401373,0.015694663386505842
430,24.5442,118.1278,Xiamen,8240158,0.0076727475882689715
438,31.9911,116.9892,Hefei,14358834,0.0068450896488770506
440,38.2806,114.6972,Shijiazhuang,24520869,0.0034558699755797236
441,42.8828,129.4514,Yanji,1789684,0.00016214941925420063
445,31.7419,118.8619,Nanjing,13651608,0.014492967686625903
449,33.7875,119.1278,Huai'an,10190694,0.0052504552656519815
451,21.5394,109.2939,Beihai,5621760,0.003933365023256886
453,37.7469,112.6283,Taiyuan,11233266,0.01610948721700928
455,23.3925,113.2989,Guangzhou,39293380,0.024865551559281218
456,28.1936,113.2178,Changsha,18325936,0.04071540069751016
457,30.2294,120.4344,Hangzhou,12817942,0.02679144791136393
458,24.9922,102.7436,Kunming,11115277,0.017426577459404374
460,26.5386,106.8008,Guiyang,7252992,0.01715997607121417
461,25.2181,110.0392,Guilin,4941136,0.0018642199957164655
465,27.9131,120.8522,Wenzhou,9918949,0.0012315391963162053
469,21.2153,110.3583,Zhanjiang,11700739,0.0002984344271808047
470,22.6083,108.1725,Nanning,8261012,0.012082612798395544
472,28.8639,115.9022,Nanchang,10823928,0.0010037343355870868
473,22.3089,113.9147,Hong Kong,36745880,0.018066221747275117
475,19.9347,110.4589,Haikou,5945540,0.01442233812017422
476,36.8572,117.2161,Jinan,24300017,0.0067038306950343
477,30.7839,114.2081,Wuhan,30649978,0.023271912036863632
481,34.5194,113.8411,Zhengzhou,32471775,0.04925559761343962
483,43.9961,125.6853,Changchun,16217434,0.0015608118016801336
538,13.6858,100.7489,Bangkok,23541053,0.004018916069335776
549,8.1122,98.3053,Phuket,711102,0.0002029353102089997
566,27.6967,85.3592,Kathmandu,4670436,0.00023974229511574923
733,50.0331,8.5706,Frankfurt,6970523,0.00024173183767008433
758,7.1803,79.8853,Colombo,9032691,0.00020989879867948263
1125,21.2211,105.8072,Hanoi,20834462,0.00036707427201753534
1129,10.8189,106.6519,Ho Chi Minh City,16228217,0.00015717547333805277
1137,11.9981,109.2192,Nha Trang,1733076,0.0040149369842271045
1314,-6.1256,106.6558,Jakarta,36994844,0.0001253424343474511
1535,49.0097,2.5478,Paris,13528665,0.00034220472149741664
1612,-33.9461,151.1772,Sydney (AU),4670715,0.0008256683968375851
1648,-37.6733,144.8433,Melbourne (AU),4144035,0.0002874918536016517
2393,33.9425,-118.4081,Los Angeles,19797290,0.0007311641406732581
2766,49.1939,-123.1844,Vancouver,2794226,0.0003242986594477808
2803,37.4692,126.4506,Seoul,27019922,0.0007023155050444693
2821,1.3592,103.9894,Singapore,4091180,0.00031335608586862784
2825,25.0778,121.2328,Taipei,10434115,0.0006595398924747147
3099,41.8003,12.2389,Rome,4729924,0.00017309199283335362
3106,35.5522,139.7797,Tokyo,32212732,0.0001054468297434802
3127,35.7647,140.3864,Tokyo Narita,8512151,0.00026660138819020295
3141,34.8583,136.8053,Nagoya,11834566,0.00010843123310529301
3147,33.5858,130.4506,Fukuoka,3931988,0.0003034081940363321
3151,34.4272,135.2442,Osaka,19601735,0.00028649699279417404
3181,25.2528,55.3644,Dubai,1501658,0.00011340499996082039
