id,lat,lng,label,population,risk
69,23.8433,90.3978,Dhaka,57695473,0.00024600808832518645
182,2.7456,101.7147,Kuala Lumpur,8711663,0.0008723695485467352
222,13.4106,103.8128,Siem Reap,4814927,0.0038680863734936594
315,30.5786,103.9472,Chengdu,62854385,0.056834871471240514
325,29.7194,106.6419,Chongqing,16205267,0.0838294727614817
343,36.5167,103.6167,Lanzhou,6850245,0.003993707578434693
348,34.4478,108.7539,Xi'an,22353249,0.00032801078443358184
355,40.5606,109.9964,Baotou,3343659,0.004176905064289364
358,45.6233,126.2503,Harbin,12100114,0.07365938916876186
360,30.3211,109.4853,Enshi,3774134,0.013499045209604215
363,23.4275,116.7625,Shantou,16909762,0.0020814736461041822
371,22.7947,100.9592,Simao,2213550,0.00011515287588028479
372,29.2981,90.9122,Lhasa,1019683,0.00030358468329183503
373,18.3028,109.4122,Sanya,2888131,0.017367131583097873
375,26.6742,100.2436,Lijiang,1495973,0.0018598916589207426
376,25.935,119.6633,Fuzhou,10913454,0.008966213502666262
379,43.9072,87.4742,Urumqi,5237049,0.010506818141730555
380,34.5719,118.8739,Lianyungang,7795627,0.005913299579903082
388,25.6503,100.3194,Dali,3767440,0.007847835865794342
389,24.7956,118.5881,Quanzhou,9437088,0.03864247829144878
394,38.9656,121.5386,Dalian,5749540,0.08032952623823401
397,24.2078,109.3914,Liuzhou,8005244,0.00013260009098153258
399,21.9731,100.7631,Jinghong,1382281,0.0015283914314669108
405,31.4289,104.7408,Mianyang,8917604,0.009810667192997991
412,31.1433,121.8053,Shanghai,20308438,0.0021879027574073368
413,41.6397,123.4833,Shenyang,13195977,0.026188531787185224
414,24.4014,98.5322,Mangshi,1327739,0.0004501425463543657
420,40.08,116.5844,Beijing,28331507,0.003372580439770025
429,40.8514,111.8242,Hohhot,4401373,0.0017953364919666074
430,24.5442,118.1278,Xiamen,8240158,0.03494188706724518
440,38.2806,114.6972,Shijiazhuang,24520869,0.0068760160919849505
451,21.5394,109.2939,Beihai,5621760,0.00010991855432340426
453,37.7469,112.6283,Taiyuan,11233266,0.0005007399412275029
455,23.3925,113.2989,Guangzhou,39293380,0.028948708852867718
456,28.1936,113.2178,Changsha,18325936,0.00789145437462698
457,30.2294,120.4344,Hangzhou,12817942,0.00028962659715782435
458,24.9922,102.7436,Kunming,11115277,0.10389571537227517
460,26.5386,106.8008,Guiyang,7252992,0.06472109152431063
461,25.2181,110.0392,Guilin,4941136,0.041924332270533285
465,27.9131,120.8522,Wenzhou,9918949,0.0002913714756944553
469,21.2153,110.3583,Zhanjiang,11700739,0.0001430687340952936
470,22.6083,108.1725,Nanning,8261012,0.0002372846378010687
472,28.8639,115.9022,Nanchang,10823928,0.02051289602818059
473,22.3089,113.9147,Hong Kong,36745880,0.13789893284548285
475,19.9347,110.4589,Haikou,5945540,0.026635184890519338
483,43.9961,125.6853,Changchun,16217434,0.001036374940763526
538,13.6858,100.7489,Bangkok,23541053,0.006333402520461442
575,17.9883,102.5633,Vientiane,1706759,0.0005042296983007647
596,14.5086,121.0194,Manila,26922690,0.00022681599468730762
668,43.3533,77.0422,Almaty,2169922,0.00013085552649791396
1129,10.8189,106.6519,Ho Chi Minh City,16228217,0.00034371343505121103
1137,11.9981,109.2192,Nha Trang,1733076,0.007149940352578158
1314,-6.1256,106.6558,Jakarta,36994844,0.0001954106934520493
1603,-27.3842,153.1175,Brisbane,1972855,0.0002547318529023165
1612,-33.9461,151.1772,Sydney (AU),4670715,0.00038558737940023053
1648,-37.6733,144.8433,Melbourne (AU),4144035,0.0008060695030559687
2375,37.6189,-122.3917,San Francisco,7595097,0.00012562120494103346
2393,33.9425,-118.4081,Los Angeles,19797290,0.00020064501500892984
2766,49.1939,-123.1844,Vancouver,2794226,0.0003611609642054712
2803,37.4692,126.4506,Seoul,27019922,0.00047980328310600554
2821,1.3592,103.9894,Singapore,4091180,0.00728254044355969
2825,25.0778,121.2328,Taipei,10434115,0.01732525795280187
3046,-37.0097,174.7917,Auckland,1473397,0.00022507143020368905
3106,35.5522,139.7797,Tokyo,32212732,0.00013783441253841303
3127,35.7647,140.3864,Tokyo Narita,8512151,0.00028788203267420584
3141,34.8583,136.8053,Nagoya,11834566,0.00011515287588028479
3147,33.5858,130.4506,Fukuoka,3931988,0.0001936661289684307
3151,34.4272,135.2442,Osaka,19601735,0.016639575333130055
3161,43.0614,74.4775,Bishkek,2096218,0.00015004762013579267
3181,25.2528,55.3644,Dubai,1501658,0.0007153430423704432
