id,lat,lng,label,population,risk
315,30.5786,103.9472,Chengdu,62854385,0.00026159458627930454
322,39.1244,117.3461,Tianjin,14241195,0.06054372365450145
325,29.7194,106.6419,Chongqing,16205267,0.08765721610024198
348,34.4478,108.7539,Xi'an,22353249,0.13786838447212071
373,18.3028,109.4122,Sanya,2888131,0.00012310341618506688
391,36.2661,120.3744,Qingdao,8200069,0.02955247706121056
394,38.9656,121.5386,Dalian,5749540,0.00018465443182174982
404,29.1044,110.4431,Zhangjiajie,2982561,0.00010002109286546027
407,29.8267,121.4619,Ningbo,6757958,0.00012310341618506688
410,38.8075,100.6608,Zhangye,1204657,0.0001692666779125791
412,31.1433,121.8053,Shanghai,20308438,0.03369951759462725
413,41.6397,123.4833,Shenyang,13195977,0.039339186876173916
420,40.08,116.5844,Beijing,28331507,0.2884309440445695
430,24.5442,118.1278,Xiamen,8240158,0.011017742591902326
439,36.5286,102.0403,Xining,3472426,0.00026159458627930454
445,31.7419,118.8619,Nanjing,13651608,0.05037231583707372
455,23.3925,113.2989,Guangzhou,39293380,0.051187875103729984
456,28.1936,113.2178,Changsha,18325936,0.0025543920773329607
457,30.2294,120.4344,Hangzhou,12817942,0.05237274461894143
458,24.9922,102.7436,Kunming,11115277,0.00026928777077803943
465,27.9131,120.8522,Wenzhou,9918949,0.00010771566227589612
472,28.8639,115.9022,Nanchang,10823928,0.00016157349341384419
473,22.3089,113.9147,Hong Kong,36745880,0.08010944733010604
475,19.9347,110.4589,Haikou,5945540,0.07099211242720595
477,30.7839,114.2081,Wuhan,30649978,0.0006155156960136335
483,43.9961,125.6853,Changchun,16217434,0.0002385122629596979
1612,-33.9461,151.1772,Sydney (AU),4670715,0.0006385980193332402
2766,49.1939,-123.1844,Vancouver,2794226,0.00016157349341384419
