id,lat,lng,label,population,risk
221,11.5467,104.8442,Phnom Penh,12169535,0.015392944709684482
315,30.5786,103.9472,Chengdu,62854385,0.04684506478888354
322,39.1244,117.3461,Tianjin,14241195,0.0259792405625087
325,29.7194,106.6419,Chongqing,16205267,0.11180257614181296
343,36.5167,103.6167,Lanzhou,6850245,0.04964925701006752
348,34.4478,108.7539,Xi'an,22353249,0.04199889398668037
358,45.6233,126.2503,Harbin,12100114,0.02498177605395289
363,23.4275,116.7625,Shantou,16909762,0.007362415776190326
373,18.3028,109.4122,Sanya,2888131,0.01791295366233471
376,25.935,119.6633,Fuzhou,10913454,0.03373499600474602
379,43.9072,87.4742,Urumqi,5237049,0.011553648193314052
381,34.7414,112.3894,Luoyang,11740472,0.012400551861539991
394,38.9656,121.5386,Dalian,5749540,0.02835245265349212
413,41.6397,123.4833,Shenyang,13195977,0.046909053103678544
420,40.08,116.5844,Beijing,28331507,0.04038224905972496
429,40.8514,111.8242,Hohhot,4401373,0.016087405717629746
430,24.5442,118.1278,Xiamen,8240158,0.07040592483892913
440,38.2806,114.6972,Shijiazhuang,24520869,0.01093258527744072
451,21.5394,109.2939,Beihai,5621760,0.027996753112837225
455,23.3925,113.2989,Guangzhou,39293380,0.04906583455834775
458,24.9922,102.7436,Kunming,11115277,0.02297367361966275
460,26.5386,106.8008,Guiyang,7252992,0.049122294915816635
461,25.2181,110.0392,Guilin,4941136,0.02396360983213096
470,22.6083,108.1725,Nanning,8261012,0.02327855894022409
473,22.3089,113.9147,Hong Kong,36745880,0.07536125237740697
483,43.9961,125.6853,Changchun,16217434,0.033608901533868266
538,13.6858,100.7489,Bangkok,23541053,0.040634438001480484
2801,33.5114,126.4931,Jeju,527344,0.014773763952523413
2821,1.3592,103.9894,Singapore,4091180,0.00022772291106487046
2825,25.0778,121.2328,Taipei,10434115,0.00947402914814131
3151,34.4272,135.2442,Osaka,19601735,0.015692183892870488
