id,lat,lng,label,population,risk
182,2.7456,101.7147,Kuala Lumpur,8711663,0.0007351477439679349
221,11.5467,104.8442,Phnom Penh,12169535,0.0003767305432953505
314,49.2086,119.8167,Hailar,851974,0.00010726366211341044
315,30.5786,103.9472,Chengdu,62854385,0.003003379713696417
323,28.8003,104.545,Yibin,52581734,0.00021191093060363465
325,29.7194,106.6419,Chongqing,16205267,0.008499982883101347
328,37.1872,122.2289,Weihai,2392348,0.012693726570885308
339,42.065,127.6025,Baishan,3207170,0.017405553467876433
343,36.5167,103.6167,Lanzhou,6850245,0.000601722500188558
346,31.4947,120.4294,Wuxi,7494542,0.0001491226636921359
348,34.4478,108.7539,Xi'an,22353249,0.0014729118815590561
354,25.0536,99.1681,Baoshan,2095138,0.00011249597844660371
358,45.6233,126.2503,Harbin,12100114,0.00023022427322640077
363,23.4275,116.7625,Shantou,16909762,0.000518004497031107
373,18.3028,109.4122,Sanya,2888131,0.002260383259772102
376,25.935,119.6633,Fuzhou,10913454,0.0025874060915323485
378,37.4017,121.3717,Yantai,6160152,0.05841939626335847
379,43.9072,87.4742,Urumqi,5237049,0.0003139422763838518
389,24.7956,118.5881,Quanzhou,9437088,0.00010203134578021711
391,36.2661,120.3744,Qingdao,8200069,0.09485237890727087
394,38.9656,121.5386,Dalian,5749540,0.04505069429270673
403,29.345,120.0325,Yiwu,6139309,0.0006069548165217513
404,29.1044,110.4431,Zhangjiajie,2982561,0.00021452732422682088
405,31.4289,104.7408,Mianyang,8917604,0.0006932887423892093
407,29.8267,121.4619,Ningbo,6757958,0.01802289373397533
412,31.1433,121.8053,Shanghai,20308438,0.061182086600248924
413,41.6397,123.4833,Shenyang,13195977,0.0003898115695849233
420,40.08,116.5844,Beijing,28331507,0.09483668195827127
429,40.8514,111.8242,Hohhot,4401373,0.001326405611490106
430,24.5442,118.1278,Xiamen,8240158,0.0004787618890755676
438,31.9911,116.9892,Hefei,14358834,0.0014964575405150154
439,36.5286,102.0403,Xining,3472426,0.0004264382548304555
445,31.7419,118.8619,Nanjing,13651608,0.013494278975387923
451,21.5394,109.2939,Beihai,5621760,0.0005284691296974937
453,37.7469,112.6283,Taiyuan,11233266,0.0002590022485155535
455,23.3925,113.2989,Guangzhou,39293380,0.01560553957146789
456,28.1936,113.2178,Changsha,18325936,0.0029902986874068447
457,30.2294,120.4344,Hangzhou,12817942,0.0010647869693513666
458,24.9922,102.7436,Kunming,11115277,0.003000763320073232
460,26.5386,106.8008,Guiyang,7252992,0.0007429964539243144
461,25.2181,110.0392,Guilin,4941136,0.0014938411468918293
465,27.9131,120.8522,Wenzhou,9918949,0.0010438577040185935
469,21.2153,110.3583,Zhanjiang,11700739,0.00013080932106936984
470,22.6083,108.1725,Nanning,8261012,0.0010386253876854
472,28.8639,115.9022,Nanchang,10823928,0.004803314427015719
473,22.3089,113.9147,Hong Kong,36745880,0.007304386592680609
475,19.9347,110.4589,Haikou,5945540,0.0011118782872632856
476,36.8572,117.2161,Jinan,24300017,0.001203445000377116
477,30.7839,114.2081,Wuhan,30649978,0.005072781308197658
481,34.5194,113.8411,Zhengzhou,32471775,0.020612916219130868
483,43.9961,125.6853,Changchun,16217434,0.03888697416331596
