id,lat,lng,label,population,risk
182,2.7456,101.7147,Kuala Lumpur,8711663,0.00024060251530692368
221,11.5467,104.8442,Phnom Penh,12169535,0.00034996643598250526
322,39.1244,117.3461,Tianjin,14241195,0.01519293274505682
343,36.5167,103.6167,Lanzhou,6850245,0.0004024617163499884
344,27.7069,118.0031,Wuyishan,6414192,0.0005555726226612859
348,34.4478,108.7539,Xi'an,22353249,0.057521415855590376
354,25.0536,99.1681,Baoshan,2095138,0.0011592648034736339
358,45.6233,126.2503,Harbin,12100114,0.0001049897733096979
363,23.4275,116.7625,Shantou,16909762,0.000958034339011274
372,29.2981,90.9122,Lhasa,1019683,0.0572589410286035
373,18.3028,109.4122,Sanya,2888131,0.03501417719670168
375,26.6742,100.2436,Lijiang,1495973,0.022874704046610548
376,25.935,119.6633,Fuzhou,10913454,0.0006299402147087243
378,37.4017,121.3717,Yantai,6160152,0.00046370607887450733
379,43.9072,87.4742,Urumqi,5237049,0.0006299402147087243
382,35.0494,118.4119,Linyi,12843250,0.0001224887250490379
388,25.6503,100.3194,Dali,3767440,0.00035871630556480943
389,24.7956,118.5881,Quanzhou,9437088,0.0002887228608832547
391,36.2661,120.3744,Qingdao,8200069,0.01703463304360666
394,38.9656,121.5386,Dalian,5749540,0.0005468227530789815
399,21.9731,100.7631,Jinghong,1382281,0.0013167498571508153
407,29.8267,121.4619,Ningbo,6757958,0.0022266638505857588
412,31.1433,121.8053,Shanghai,20308438,0.09010332380245277
414,24.4014,98.5322,Mangshi,1327739,0.00014436103672899316
416,23.7389,100.025,Lincang,2848292,0.00010061562594381421
420,40.08,116.5844,Beijing,28331507,0.0867698896413356
430,24.5442,118.1278,Xiamen,8240158,0.031221411891501138
438,31.9911,116.9892,Hefei,14358834,0.003000965102023476
440,38.2806,114.6972,Shijiazhuang,24520869,0.00017498321799125263
441,42.8828,129.4514,Yanji,1789684,0.00035434137077365737
445,31.7419,118.8619,Nanjing,13651608,0.0406442678656609
451,21.5394,109.2939,Beihai,5621760,0.00011811379025788577
453,37.7469,112.6283,Taiyuan,11233266,0.0007743012514377174
455,23.3925,113.2989,Guangzhou,39293380,0.07986242037864487
456,28.1936,113.2178,Changsha,18325936,0.036094699473336725
457,30.2294,120.4344,Hangzhou,12817942,0.06202286390233822
458,24.9922,102.7436,Kunming,11115277,0.08662990353939776
460,26.5386,106.8008,Guiyang,7252992,0.05080205382783908
461,25.2181,110.0392,Guilin,4941136,0.00031059517256321
465,27.9131,120.8522,Wenzhou,9918949,0.0016010977832429177
469,21.2153,110.3583,Zhanjiang,11700739,0.00016623413583421683
470,22.6083,108.1725,Nanning,8261012,0.03949375214434429
472,28.8639,115.9022,Nanchang,10823928,0.001592348701085882
473,22.3089,113.9147,Hong Kong,36745880,0.13616332706823708
475,19.9347,110.4589,Haikou,5945540,0.00015748505367718107
476,36.8572,117.2161,Jinan,24300017,0.0006474383790227958
477,30.7839,114.2081,Wuhan,30649978,0.03103767959135285
483,43.9961,125.6853,Changchun,16217434,0.0003893376994018005
538,13.6858,100.7489,Bangkok,23541053,0.00039808756898410466
575,17.9883,102.5633,Vientiane,1706759,0.00034996643598250526
577,19.8978,102.1608,Luang Prabang,711323,0.00016623413583421683
875,16.9072,96.1333,Yangon,11684460,0.00024935159746395947
884,21.7022,95.9781,Mandalay,7168138,0.00020123125188762842
1125,21.2211,105.8072,Hanoi,20834462,0.00014436103672899316
1129,10.8189,106.6519,Ho Chi Minh City,16228217,0.00025372574482984315
2766,49.1939,-123.1844,Vancouver,2794226,0.00037183953508772896
2803,37.4692,126.4506,Seoul,27019922,0.0005293245887649098
2821,1.3592,103.9894,Singapore,4091180,0.0003018460904061742
3106,35.5522,139.7797,Tokyo,32212732,0.00010061562594381421
3127,35.7647,140.3864,Tokyo Narita,8512151,0.0001137388554667337
