id,lat,lng,label,population,risk
221,11.5467,104.8442,Phnom Penh,12169535,0.00045936808741893243
315,30.5786,103.9472,Chengdu,62854385,0.044150377699146814
322,39.1244,117.3461,Tianjin,14241195,0.005053048961608257
325,29.7194,106.6419,Chongqing,16205267,0.11137124054562647
348,34.4478,108.7539,Xi'an,22353249,0.05014257899087017
373,18.3028,109.4122,Sanya,2888131,0.05184734541250762
391,36.2661,120.3744,Qingdao,8200069,0.02742937931709766
399,21.9731,100.7631,Jinghong,1382281,0.00018374723496757296
407,29.8267,121.4619,Ningbo,6757958,0.09971350012156036
412,31.1433,121.8053,Shanghai,20308438,0.07939922166126878
413,41.6397,123.4833,Shenyang,13195977,0.0001939562313423713
414,24.4014,98.5322,Mangshi,1327739,0.0001735382385927746
420,40.08,116.5844,Beijing,28331507,0.06435236454920504
430,24.5442,118.1278,Xiamen,8240158,0.03973023506355025
445,31.7419,118.8619,Nanjing,13651608,0.08831096255719605
455,23.3925,113.2989,Guangzhou,39293380,0.04273144112633551
458,24.9922,102.7436,Kunming,11115277,0.11334141882334048
473,22.3089,113.9147,Hong Kong,36745880,0.08477893278225768
475,19.9347,110.4589,Haikou,5945540,0.09579355788393726
1125,21.2211,105.8072,Hanoi,20834462,0.00015312208331552757
1129,10.8189,106.6519,Ho Chi Minh City,16228217,0.00013270592803828058
